seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960539979231568,0.7606837606837606,0.19985621854780733
1,0.9490944689182574,0.9738627795928625,0.5068247411433332,0.9992264053635895,"[[   3  205]
 [   3 3875]]",0.9997413347128815,0.9772727272727273,0.02246860744015422,0.9775255792073386,0.9997305308542171,0.9880239520958084,0.011706578758408748,0.9596482152095189,0.7636363636363637,0.19601185157315526
2,0.9368575624082232,0.967258883248731,0.5322269111754672,0.9827230531201651,"[[  17  191]
 [  67 3811]]",0.9872162796764936,0.8616600790513834,0.1255562006251102,0.8728179394830742,0.9885931558935361,0.8724489795918368,0.11614417630169938,0.9514740412209758,0.7154150197628458,0.23605902145812996
3,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960656591974987,0.7701612903225806,0.19049530165240636
4,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9598749348619072,0.782258064516129,0.17761687034577822
5,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9606013478486263,0.7543859649122807,0.20621538293634556
6,0.9444444444444444,0.9712985206726515,0.538498730511366,0.9904589994842703,"[[  18  190]
 [  37 3841]]",0.9921793534932221,0.9,0.09217935349322204,0.9070940620073569,0.9934764881761348,0.9346733668341709,0.05880312134196386,0.9543795620437956,0.792,0.16237956204379556
7,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9594805194805195,0.7796610169491526,0.17981950253136691
8,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9638773388773388,0.7100840336134454,0.25379330526389343
9,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9581818181818181,0.8008474576271186,0.15733436055469951
10,0.9393049437102301,0.9686155403695267,0.5198667532828183,0.9868488911810211,"[[  11  197]
 [  51 3827]]",0.9901247401247402,0.8991596638655462,0.09096507625919392,0.9081276605130241,0.9905071874152428,0.9162303664921466,0.07427682092309618,0.9498440748440748,0.7689075630252101,0.18093651181886472
11,0.9373470386686246,0.9674465920651069,0.5529589994842703,0.9809179989685405,"[[  26  182]
 [  74 3804]]",0.9820639459318949,0.8702928870292888,0.11177105890260619,0.886187595659522,0.9850948509485095,0.898936170212766,0.08615868073574351,0.9485313231089161,0.7573221757322176,0.19120914737669847
12,0.9380812530592266,0.9679544015199494,0.5214970048002538,0.9853017019082001,"[[  12  196]
 [  57 3821]]",0.9853747714808044,0.9494163424124513,0.035958429068353115,0.9635078651198717,0.986420423682781,0.9642857142857143,0.022134709397066743,0.9501175241577435,0.7587548638132295,0.191362660344514
13,0.9486049926578561,0.9736247174076865,0.4997421351211965,0.999484270242393,"[[   0  208]
 [   2 3876]]",0.9994806543754868,1.0,-0.0005193456245131678,1.0005196154845415,0.9994598973805023,1.0,-0.0005401026194976621,0.9610490781615165,0.7446808510638298,0.21636822709768677
14,0.9486049926578561,0.9736247174076865,0.4997421351211965,0.999484270242393,"[[   0  208]
 [   2 3876]]",0.999478759447485,1.0,-0.0005212405525150121,1.0005215123859192,0.999457111834962,1.0,-0.0005428881650380024,0.9596038571800886,0.7791164658634538,0.18048739131663472
15,0.9488497307880568,0.9737536104483235,0.49987106756059824,0.9997421351211965,"[[   0  208]
 [   1 3877]]",0.9997397866250325,1.0,-0.0002602133749675106,1.0002602811035919,0.9997287767832926,1.0,-0.0002712232167073614,0.9591465001301067,0.7860082304526749,0.17313826967743184
16,0.9346549192364171,0.966095238095238,0.5265166917919626,0.9809179989685405,"[[  15  193]
 [  74 3804]]",0.9867118290776447,0.8467741935483871,0.13993763552925753,0.8581778069286268,0.987513572204126,0.8556701030927835,0.13184346911134248,0.9491922876498177,0.7096774193548387,0.23951486829497892
17,0.9287812041116006,0.9629157639862368,0.5279721406752094,0.9742135121196493,"[[  17  191]
 [ 100 3778]]",0.9776970954356846,0.8652173913043478,0.11247970413133679,0.8849544458539961,0.9786947141316074,0.8764705882352941,0.10222412589631324,0.9429460580912863,0.691304347826087,0.2516417102651993
18,0.933186490455213,0.9652804273178176,0.5325678382988853,0.978597215059309,"[[  18  190]
 [  83 3795]]",0.9815152304087478,0.8775510204081632,0.10396421000058453,0.894077843338927,0.9829129373474369,0.8952879581151832,0.08762497923225365,0.9455870866961729,0.7387755102040816,0.20681157649209125
19,0.9400391581008322,0.968944099378882,0.5384528603165787,0.9855595667870036,"[[  19  189]
 [  56 3822]]",0.9895833333333334,0.8577235772357723,0.13185975609756106,0.8667522464698331,0.989956568946797,0.9020618556701031,0.08789471327669385,0.9505208333333334,0.7764227642276422,0.17409806910569114
