seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960539979231568,0.7606837606837606,0.19985621854780733
1,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9599068804966373,0.759090909090909,0.20081597140572827
2,0.9400391581008322,0.9688888888888888,0.5543772563176895,0.983754512635379,"[[  26  182]
 [  63 3815]]",0.9890425254369946,0.8142292490118577,0.1748132764251369,0.8232499898344633,0.9910374796306355,0.8469387755102041,0.14409870412043135,0.9543438559874772,0.7233201581027668,0.23102369788471033
3,0.9016152716593245,0.9479544277576385,0.5273101221882811,0.944043321299639,"[[  23  185]
 [ 217 3661]]",0.948931735278791,0.8225806451612904,0.12635109011750068,0.8668491257905087,0.9487388120423108,0.8534031413612565,0.09533567068105431,0.9132360604481501,0.7217741935483871,0.19146186689976297
4,0.9290259422418012,0.9630855397148677,0.5190014182568334,0.9755028365136669,"[[  13  195]
 [  95 3783]]",0.9775924960917144,0.9112903225806451,0.06630217351106926,0.9321781071600522,0.9785559174809989,0.9175257731958762,0.061030144285122656,0.9411151641479938,0.7419354838709677,0.19917968027702604
5,0.9466470876162506,0.972544080604534,0.5146350716070932,0.9956162970603404,"[[   7  201]
 [  17 3861]]",0.997926386728875,0.9298245614035088,0.06810182532536624,0.9317566643882433,0.9981111710739342,0.9418604651162791,0.056250705957655134,0.9590461378952825,0.7368421052631579,0.22220403263212463
6,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9590719499478624,0.796,0.16307194994786234
7,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9594805194805195,0.7796610169491526,0.17981950253136691
8,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9638773388773388,0.7100840336134454,0.25379330526389343
9,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9581818181818181,0.8008474576271186,0.15733436055469951
10,0.9412628487518355,0.9696969696969696,0.5095236442258103,0.9902011346054668,"[[   6  202]
 [  38 3840]]",0.9896049896049897,0.9831932773109243,0.0064117122940653415,0.9935209377868793,0.9902359641985354,0.9895287958115183,0.0007071683870171208,0.9498440748440748,0.8025210084033614,0.14732306644071347
11,0.9231522271169849,0.9599387598877264,0.5090822985678581,0.9700876740587931,"[[  10  198]
 [ 116 3762]]",0.9721861190538081,0.9205020920502092,0.051684027003598976,0.94683731233079,0.9728997289972899,0.9148936170212766,0.05800611197601335,0.935014296854692,0.7322175732217573,0.20279672363293466
12,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9616087751371115,0.7626459143968871,0.1989628607402244
13,0.9402838962310328,0.9690119380238761,0.5567811024715357,0.983754512635379,"[[  27  181]
 [  63 3815]]",0.9875357050116853,0.8212765957446808,0.1662591092670045,0.8316424323462439,0.9886578449905482,0.88,0.1086578449905482,0.9522202025447936,0.7446808510638298,0.2075393514809638
14,0.9397944199706314,0.9688607594936708,0.5246744455905106,0.9868488911810211,"[[  13  195]
 [  51 3827]]",0.9877508470158979,0.9317269076305221,0.056023939385375754,0.9432813046380774,0.989413680781759,0.9381443298969072,0.05126935088485174,0.9520458691686213,0.751004016064257,0.2010418531043643
15,0.938570729319628,0.9681996705941974,0.5263046971079461,0.9853017019082001,"[[  14  194]
 [  57 3821]]",0.9903721051262034,0.8600823045267489,0.1302898005994545,0.8684435880967672,0.9910496338486574,0.8743455497382199,0.11670408411043753,0.9518605256310174,0.7283950617283951,0.22346546390262234
16,0.9488497307880568,0.9737536104483235,0.49987106756059824,0.9997421351211965,"[[   0  208]
 [   1 3877]]",1.0,0.9959677419354839,0.0040322580645161255,0.9959677419354839,1.0,0.9948453608247423,0.005154639175257714,0.9598749348619072,0.7782258064516129,0.18164912841029435
17,0.9375917767988252,0.9676354867368956,0.5371635359225612,0.9829809179989686,"[[  19  189]
 [  66 3812]]",0.983661825726141,0.9043478260869565,0.07931399963918451,0.9193686310021895,0.9851672060409924,0.9352941176470588,0.04987308839393356,0.9494294605809128,0.7391304347826086,0.21029902579830417
18,0.942486539402839,0.970249398658058,0.5397421847105962,0.9881382155750387,"[[  19  189]
 [  46 3832]]",0.9947930226503515,0.8163265306122449,0.1784664920381066,0.8205993729603854,0.9959316517493898,0.837696335078534,0.15823531667085577,0.9573027857328821,0.710204081632653,0.24709870410022905
19,0.9344101811062163,0.9657814096016343,0.5741609473558933,0.9752449716348633,"[[  36  172]
 [  96 3782]]",0.9833333333333333,0.7235772357723578,0.2597560975609755,0.735841256717652,0.9856134636264929,0.7783505154639175,0.2072629481625754,0.9484375,0.7154471544715447,0.23299034552845532
