seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.926823299069995,0.9617695946809871,0.5474149045899949,0.9698298091799897,"[[  26  182]
 [ 117 3761]]",0.9701453790238836,0.8803418803418803,0.08980349868200332,0.9074329470369075,0.9732432432432433,0.898876404494382,0.0743668387488613,0.9389927310488058,0.7264957264957265,0.2124970045530793
1,0.917523250122369,0.9568114827630398,0.5197663347482842,0.9626095925734915,"[[  16  192]
 [ 145 3733]]",0.9609415416451113,0.9545454545454546,0.0063960870996566666,0.9933439373547045,0.9628132578819725,0.9580838323353293,0.004729425546643129,0.9275737196068288,0.740909090909091,0.1866646286977378
2,0.9375917767988252,0.9676272692649487,0.5394384496370056,0.9827230531201651,"[[  20  188]
 [  67 3811]]",0.9853900339159927,0.8774703557312253,0.10791967818476733,0.8904802418633272,0.9872351982618143,0.8979591836734694,0.08927601458834489,0.9506913644664754,0.7391304347826086,0.21156092968386675
3,0.9324522760646109,0.9648318042813455,0.5458305232673464,0.9762764311500773,"[[  24  184]
 [  92 3786]]",0.9749869723814487,0.9193548387096774,0.05563213367177133,0.9429406389545008,0.9780309194467046,0.9424083769633508,0.035622542483353836,0.943460135487233,0.7620967741935484,0.18136336129368458
4,0.924620655898189,0.9606037349705807,0.539429771492046,0.9682826199071687,"[[  23  185]
 [ 123 3755]]",0.967430953621678,0.9153225806451613,0.052108372976516715,0.9461373726140934,0.9698697068403909,0.9381443298969072,0.03172537694348365,0.9346013548723293,0.7701612903225806,0.1644400645497487
5,0.9341654429760157,0.9657804350591528,0.5399083091998254,0.9788550799381124,"[[  21  187]
 [  82 3796]]",0.9823742871954381,0.8464912280701754,0.13588305912526266,0.8616789334814609,0.9838100377765785,0.872093023255814,0.11171701452076455,0.9471228615863142,0.7149122807017544,0.23221058088455981
6,0.9106705824767499,0.9529699780956062,0.532080622446146,0.9535843218153688,"[[  23  185]
 [ 180 3698]]",0.9569864442127216,0.848,0.10898644421272163,0.886114955053119,0.9570535471595543,0.8894472361809045,0.06760631097864978,0.9197080291970803,0.772,0.14770802919708026
7,0.9278022515907979,0.962386841769731,0.5274564109176023,0.9731820526044352,"[[  17  191]
 [ 104 3774]]",0.9761038961038961,0.8771186440677966,0.09898525203609954,0.8985914794201748,0.9778018408229562,0.8804347826086957,0.0973670582142605,0.9407792207792208,0.7161016949152542,0.2246775258639666
8,0.933186490455213,0.9652096342551294,0.5507671480144405,0.9765342960288809,"[[  26  182]
 [  91 3787]]",0.9797297297297297,0.8361344537815126,0.14359527594821708,0.8534337873080267,0.9805877595039094,0.8875739644970414,0.09301379500686802,0.9467255717255717,0.7142857142857143,0.2324398574398574
9,0.9415075868820362,0.969743005443727,0.5346766275241004,0.9876224858174316,"[[  17  191]
 [  48 3830]]",0.9911688311688311,0.8686440677966102,0.12252476337222096,0.8763835589667058,0.992138791000271,0.8994708994708994,0.0926678915293716,0.951948051948052,0.7711864406779662,0.18076161127008583
10,0.9304943710230054,0.9637570188871873,0.5493488911810211,0.9736977823620423,"[[  26  182]
 [ 102 3776]]",0.9773908523908524,0.8277310924369747,0.1496597599538777,0.8468782886725548,0.9796582587469488,0.8586387434554974,0.12101951529145138,0.9417879417879418,0.7478991596638656,0.19388878212407623
11,0.9366128242780225,0.9671111111111111,0.5366478061649542,0.9819494584837545,"[[  19  189]
 [  70 3808]]",0.9831037171822199,0.899581589958159,0.08352212722406094,0.9150424052271384,0.9853658536585366,0.9148936170212766,0.07047223663725999,0.9480114374837536,0.7531380753138075,0.1948733621699461
12,0.9366128242780225,0.9672027352159047,0.5116237553060657,0.984785972150593,"[[   8  200]
 [  59 3819]]",0.9861582658657613,0.9455252918287937,0.04063297403696753,0.9587967008507551,0.986420423682781,0.9540816326530612,0.032338791029719816,0.9493340297727866,0.7470817120622568,0.20225231771052976
13,0.9312285854136074,0.9642448148619418,0.5269865513547823,0.9770500257864879,"[[  16  192]
 [  89 3789]]",0.9797455206439886,0.8851063829787233,0.09463913766526522,0.9034043681025877,0.9802862543883338,0.9085714285714286,0.07171482581690525,0.9439106725525838,0.723404255319149,0.22050641723343478
14,0.9353891336270191,0.966412213740458,0.5473777125401674,0.9793708096957194,"[[  24  184]
 [  80 3798]]",0.979410998175658,0.8995983935742972,0.07981260460136086,0.9185095891816334,0.9823561346362649,0.9226804123711341,0.05967572226513085,0.9468334636434714,0.7590361445783133,0.18779731906515817
15,0.9400391581008322,0.9689755603393693,0.5293532054588012,0.9865910263022176,"[[  15  193]
 [  52 3826]]",0.9885506115014312,0.9053497942386831,0.08320081726274808,0.9158355512659276,0.9902359641985354,0.9162303664921466,0.07400559770638881,0.9521207390059849,0.7489711934156379,0.20314954559034704
16,0.9351443954968184,0.9663321051962902,0.5335992978140993,0.980660134089737,"[[  18  190]
 [  75 3803]]",0.9812402292860865,0.9153225806451613,0.0659176486409252,0.9328221095369434,0.9834419109663409,0.9278350515463918,0.05560685941994914,0.9468473163105784,0.7540322580645161,0.19281505824606227
17,0.9312285854136074,0.9642174964981536,0.5338112924981157,0.9762764311500773,"[[  19  189]
 [  92 3786]]",0.9797717842323651,0.8565217391304348,0.12325004510193027,0.8742053536492739,0.9803128371089536,0.888235294117647,0.09207754299130655,0.9439834024896265,0.717391304347826,0.22659209814180048
18,0.9373470386686246,0.9675703065619458,0.5188352937676042,0.984785972150593,"[[  11  197]
 [  59 3819]]",0.9869825566258786,0.9183673469387755,0.06861520968710311,0.9304798152444835,0.9880661784648765,0.9214659685863874,0.06660020987848914,0.9500130174433741,0.7387755102040816,0.21123750723929247
19,0.9322075379344101,0.9646998853064866,0.5457015908279446,0.9760185662712738,"[[  24  184]
 [  93 3785]]",0.9794270833333333,0.8455284552845529,0.1338986280487804,0.8632888243266906,0.9807274701411509,0.8865979381443299,0.09412953199682106,0.94296875,0.7642276422764228,0.1787411077235772
