seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9265785609397944,0.9617053867755936,0.5313615761494823,0.9713769984528108,"[[  19  189]
 [ 111 3767]]",0.9717030114226376,0.9102564102564102,0.061446601166227355,0.9367640107688198,0.9737837837837838,0.9213483146067416,0.05243546917704223,0.9384735202492211,0.7307692307692307,0.20770428947999042
1,0.9361233480176211,0.9668150031786394,0.5454895961439283,0.9804022692109334,"[[  23  185]
 [  76 3802]]",0.9831867563372996,0.8454545454545455,0.1377322108827541,0.8599124632273804,0.9854486661277284,0.8682634730538922,0.11718519307383624,0.9487842731505431,0.7136363636363636,0.23514790951417952
2,0.9314733235438081,0.9642583609905541,0.5566893620819613,0.9739556472408458,"[[  29  179]
 [ 101 3777]]",0.981998434646491,0.758893280632411,0.22310515401407993,0.7728049799851306,0.9839760999456817,0.7857142857142857,0.198261814231396,0.9478215496999739,0.6837944664031621,0.2640270832968118
3,0.916054821341165,0.9558955895589558,0.5417418772563176,0.9584837545126353,"[[  26  182]
 [ 161 3717]]",0.9614382490880667,0.842741935483871,0.11869631360419575,0.8765429670425736,0.9636560889612151,0.8586387434554974,0.10501734550571773,0.9293903074517978,0.7096774193548387,0.2197128880969591
4,0.9287812041116006,0.9629346580053496,0.5234223132463204,0.9747292418772563,"[[  15  193]
 [  98 3780]]",0.9762897342365816,0.9112903225806451,0.06499941165593648,0.9334220064223421,0.9774701411509229,0.9226804123711341,0.05478972877978883,0.940333507034914,0.75,0.19033350703491403
5,0.9304943710230054,0.9637939826619072,0.5402492363232435,0.9747292418772563,"[[  22  186]
 [  98 3780]]",0.9782270606531882,0.8421052631578947,0.13612179749529352,0.8608484645636347,0.978953049109552,0.8837209302325582,0.0952321188769939,0.9419388284085018,0.7368421052631579,0.205096723145344
6,0.933186490455213,0.965218499171869,0.548492234299996,0.9767921609076844,"[[  25  183]
 [  90 3788]]",0.9820125130344108,0.816,0.1660125130344109,0.8309466418900981,0.9836912204403371,0.8492462311557789,0.13444498928455817,0.9457768508863399,0.74,0.2057768508863399
7,0.9319627998042095,0.9646849593495933,0.5159987801007657,0.9791129448169159,"[[  11  197]
 [  81 3797]]",0.9807792207792208,0.923728813559322,0.057050407219898736,0.9418315498419995,0.9818624796968056,0.9239130434782609,0.05794943621854476,0.9438961038961039,0.7372881355932204,0.20660796830288353
8,0.9361233480176211,0.9668318719024018,0.5409397687150395,0.9809179989685405,"[[  21  187]
 [  74 3804]]",0.9831081081081081,0.8739495798319328,0.10915852827617534,0.8889658956366051,0.9843623618225937,0.9053254437869822,0.07903691803561153,0.9506237006237006,0.7016806722689075,0.2489430283547931
9,0.9437102300538424,0.970959595959596,0.5221875371920499,0.9914904589994843,"[[  11  197]
 [  33 3845]]",0.9932467532467533,0.923728813559322,0.06951793968743125,0.9300093964967023,0.9940363242071022,0.9417989417989417,0.05223738240816045,0.9535064935064935,0.7838983050847458,0.16960818842174774
10,0.9375917767988252,0.9676765115984282,0.5257889673503392,0.9842702423929861,"[[  14  194]
 [  61 3817]]",0.9872661122661123,0.8907563025210085,0.09650980974510381,0.9022453940776101,0.9886086248982913,0.900523560209424,0.08808506468886723,0.9490644490644491,0.7521008403361344,0.19696360872831464
11,0.9351443954968184,0.9663321051962902,0.5335992978140993,0.980660134089737,"[[  18  190]
 [  75 3803]]",0.9859630881206135,0.8368200836820083,0.14914300443860518,0.8487336836078793,0.9875338753387534,0.8457446808510638,0.14178919448768956,0.9493111515466597,0.7071129707112971,0.2421981808353626
12,0.9275575134605971,0.9622352640979841,0.5318773059070894,0.9724084579680248,"[[  19  189]
 [ 107 3771]]",0.9741446852964221,0.8949416342412452,0.07920305105517689,0.9186947768122594,0.9763715372080392,0.8979591836734694,0.07841235353456977,0.9420214155131889,0.7120622568093385,0.2299591587038503
13,0.9356338717572198,0.9665096141601937,0.5566062998373468,0.978597215059309,"[[  28  180]
 [  83 3795]]",0.9820825759542976,0.8212765957446808,0.16080598020961678,0.8362602248050677,0.9832568187955711,0.88,0.10325681879557114,0.947286419111919,0.7446808510638298,0.20260556804808927
