seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9290259422418012,0.9631886265549632,0.493977367397945,0.9783393501805054,"[[   2  206]
 [  84 3794]]",0.9787123572170301,0.9829059829059829,-0.004193625688952762,1.0042848398286064,0.9781081081081081,0.9831460674157303,-0.005037959307622186,0.9397715472481828,0.7521367521367521,0.18763479511143066
1,0.9422418012726382,0.9702320887991928,0.5054895465545286,0.9917483238782878,"[[   4  204]
 [  32 3846]]",0.991722710812209,0.9818181818181818,0.009904528994027162,0.9900128040973112,0.9919159256265158,0.9880239520958084,0.00389197353070736,0.9526642524573202,0.759090909090909,0.1935733433664112
2,0.9388154674498287,0.9683704453441295,0.515059060975126,0.9868488911810211,"[[   9  199]
 [  51 3827]]",0.9890425254369946,0.9288537549407114,0.06018877049628313,0.9391444058791207,0.9894079304725693,0.9387755102040817,0.05063242026848758,0.9512131489694756,0.7509881422924901,0.2002250066769855
3,0.9356338717572198,0.9666962137520578,0.5065581981195699,0.9842702423929861,"[[   6  202]
 [  61 3817]]",0.9859301719645649,0.9475806451612904,0.038349526803274525,0.9611032019368478,0.9858963927312178,0.9528795811518325,0.0330168115793853,0.9476289734236581,0.75,0.19762897342365815
4,0.9427312775330396,0.9705141129032258,0.4989226702899988,0.9930376482723053,"[[   1  207]
 [  27 3851]]",0.993225638353309,0.9919354838709677,0.0012901544823412658,0.9987010459330468,0.993213897937025,0.9896907216494846,0.003523176287540397,0.9536216779572694,0.7741935483870968,0.17942812957017262
5,0.9400391581008322,0.9690617502209875,0.5043291545999127,0.9894275399690562,"[[   4  204]
 [  41 3837]]",0.9901503369621566,0.9692982456140351,0.020852091348121493,0.9789404794709287,0.9900161899622234,0.9767441860465116,0.013272003915711816,0.9512700881285641,0.75,0.20127008812856406
6,0.937836514929026,0.9677910220644179,0.5304677272186297,0.9840123775141826,"[[  16  192]
 [  62 3816]]",0.9859228362877998,0.904,0.08192283628779973,0.9169074563722899,0.9872247893449307,0.9246231155778895,0.06260167376704129,0.9486444212721585,0.772,0.1766444212721585
7,0.9388154674498287,0.9683944374209861,0.5082343198317928,0.9876224858174316,"[[   6  202]
 [  48 3830]]",0.9864935064935065,0.9915254237288136,-0.0050319172353070485,1.0051008113101454,0.9875473741201949,0.9891304347826086,-0.00158306066241376,0.9490909090909091,0.7711864406779662,0.17790446841294294
8,0.9407733724914341,0.9694521585458218,0.504715951918118,0.9902011346054668,"[[   4  204]
 [  38 3840]]",0.9906444906444907,0.9747899159663865,0.01585457467810414,0.9839956969146525,0.9905634942032893,0.9822485207100592,0.008314973493230071,0.95504158004158,0.7100840336134454,0.2449575464281346
9,0.9260890846793931,0.9615873823454593,0.4969800055540128,0.9747292418772563,"[[   4  204]
 [  98 3780]]",0.9766233766233766,0.9491525423728814,0.027470834250495235,0.9718716191849982,0.9764163730008132,0.9417989417989417,0.03461743120187144,0.9363636363636364,0.7584745762711864,0.17788906009244998
10,0.942486539402839,0.9703245359262532,0.5169930475661522,0.9907168643630737,"[[   9  199]
 [  36 3842]]",0.9927234927234927,0.9285714285714286,0.06415206415206409,0.9353777112939418,0.9937618660157309,0.9319371727748691,0.06182469324086182,0.9534823284823285,0.7647058823529411,0.18877644612938738
11,0.9393049437102301,0.9686314191753099,0.5153169258539294,0.9873646209386282,"[[   9  199]
 [  49 3829]]",0.9906420587470757,0.9079497907949791,0.08269226795209661,0.9165265928072118,0.9913279132791328,0.9095744680851063,0.0817534451940265,0.9519105796724721,0.7364016736401674,0.21550890603230466
