seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9449339207048458,0.9715729627289956,0.5342067679612805,0.9914904589994843,"[[  16  192]
 [  33 3845]]",0.9948078920041536,0.8760683760683761,0.11873951593577758,0.880640757989401,0.9954054054054055,0.9101123595505618,0.08529304585484365,0.9569055036344756,0.7478632478632479,0.2090422557712277
1,0.9483602545276554,0.9733888258292345,0.5360118221129051,0.9951005673027333,"[[  16  192]
 [  19 3859]]",0.9961200206932229,0.9090909090909091,0.08702911160231386,0.9126319019853167,0.9978442468337375,0.9341317365269461,0.06371251030679137,0.9596482152095189,0.75,0.20964821520951893
2,0.9429760156632403,0.9705547832680399,0.5263505673027333,0.9902011346054668,"[[  13  195]
 [  38 3840]]",0.9953039394729977,0.8695652173913043,0.12573872208169334,0.8736680152715254,0.9959261271048343,0.8826530612244898,0.11327306588034447,0.9574745630054787,0.7233201581027668,0.2341544049027119
3,0.9427312775330396,0.970379746835443,0.539871117149998,0.9883960804538422,"[[  19  189]
 [  45 3833]]",0.9908806670140698,0.8830645161290323,0.1078161508850376,0.8911915889832305,0.9924057499321942,0.9109947643979057,0.0814109855342885,0.9551849921834289,0.75,0.2051849921834289
4,0.9405286343612335,0.9692288210712929,0.531885984052049,0.9868488911810211,"[[  16  192]
 [  51 3827]]",0.9927045336112559,0.842741935483871,0.14996259812738488,0.8489353145372958,0.992942453854506,0.8711340206185567,0.12180843323594925,0.9536216779572694,0.7379032258064516,0.21571845215081775
5,0.9461576113558492,0.9721941354903945,0.543951085016067,0.9917483238782878,"[[  20  188]
 [  32 3846]]",0.9935199585277346,0.881578947368421,0.11194101115931354,0.8873288752797726,0.9951430113329736,0.9186046511627907,0.0765383601701829,0.9577501296008294,0.75,0.2077501296008294
6,0.9437102300538424,0.9709008097165992,0.540386846907605,0.9894275399690562,"[[  19  189]
 [  41 3837]]",0.9942648592283628,0.848,0.14626485922836285,0.8528914525432617,0.9951073661321012,0.8844221105527639,0.11068525557933728,0.955422314911366,0.764,0.19142231491136596
7,0.9451786588350465,0.9716885743174923,0.5388855278295711,0.9912325941206808,"[[  18  190]
 [  34 3844]]",0.9935064935064936,0.885593220338983,0.10791327316751054,0.8913814113215907,0.9956686518678939,0.9021739130434783,0.09349473882441561,0.9576623376623377,0.7415254237288136,0.21613691393352408
8,0.9476260401370533,0.97298661954052,0.5401748522235887,0.9938112429087158,"[[  18  190]
 [  24 3854]]",0.9948024948024948,0.907563025210084,0.0872394695924108,0.912304733805748,0.9959557832299811,0.9467455621301775,0.049210221099803664,0.9612785862785863,0.726890756302521,0.23438782997606533
9,0.9461576113558492,0.9721871049304678,0.5462259987305114,0.9914904589994843,"[[  21  187]
 [  33 3845]]",0.9935064935064936,0.8771186440677966,0.11638784943869696,0.8828514456630109,0.9948495527243155,0.9259259259259259,0.06892362679838959,0.9548051948051948,0.8050847457627118,0.14972044904248294
10,0.9434654919236417,0.9707927677329625,0.5334331733248701,0.9899432697266632,"[[  16  192]
 [  39 3839]]",0.9927234927234927,0.8865546218487395,0.10616887087475324,0.8930529279774737,0.9937618660157309,0.9162303664921466,0.07753149952358429,0.9534823284823285,0.7815126050420168,0.1719697234403117
11,0.9422418012726382,0.9701492537313433,0.530513597413417,0.9889118102114492,"[[  15  193]
 [  43 3835]]",0.9932414868728879,0.8661087866108786,0.1271327002620093,0.8720022250960613,0.9937669376693767,0.8936170212765957,0.10014991639278104,0.953990122173122,0.7531380753138075,0.20085204685931446
12,0.9456681350954479,0.9719626168224298,0.5345935652794859,0.9922640536358948,"[[  16  192]
 [  30 3848]]",0.9945155393053017,0.9027237354085603,0.09179180389674135,0.9077019913023575,0.9951113525258012,0.9387755102040817,0.05633584232171951,0.957691303212327,0.7665369649805448,0.19115433823178218
