seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9329417523250122,0.9652988855116514,0.4937653727139287,0.9827230531201651,"[[   1  207]
 [  67 3811]]",0.9826064382139148,0.9957264957264957,-0.01312005751258094,1.0133523015953665,0.9821621621621621,0.9943820224719101,-0.012219860309747976,0.9436656282450675,0.7564102564102564,0.1872553718348111
1,0.9383259911894273,0.9681174089068825,0.512526282381878,0.9865910263022176,"[[   8  200]
 [  52 3826]]",0.9862907397827212,0.9681818181818181,0.01810892160090305,0.9816393677133252,0.9870654810024252,0.9760479041916168,0.011017576810808394,0.9487842731505431,0.7545454545454545,0.19423881860508863
2,0.9429760156632403,0.9705547832680399,0.5263505673027333,0.9902011346054668,"[[  13  195]
 [  38 3840]]",0.9934776937124967,0.8972332015810277,0.09624449213146902,0.9031236506460292,0.9942965779467681,0.9132653061224489,0.08103127182431913,0.9561701017479781,0.7430830039525692,0.2130870977954089
3,0.9429760156632403,0.9706216113983104,0.5058763438727338,0.9925219185146983,"[[   4  204]
 [  29 3849]]",0.9929650859822824,0.9758064516129032,0.017158634369379144,0.9827198009158549,0.9934906427990235,0.9738219895287958,0.01966865327022771,0.9551849921834289,0.7540322580645161,0.20115273411891277
4,0.9410181106216349,0.9696129113604842,0.49574522949974215,0.9914904589994843,"[[   0  208]
 [  33 3845]]",0.9924439812402293,0.9838709677419355,0.008573013498293758,0.9913617154616825,0.992128121606949,0.979381443298969,0.01274667830797993,0.9523189161021365,0.7661290322580645,0.18618988384407198
5,0.9434654919236417,0.9708884688090738,0.5038592950370929,0.9932955131511089,"[[   3  205]
 [  26 3852]]",0.9935199585277346,0.9824561403508771,0.01106381817685742,0.9888640202122839,0.9935240151106314,0.9883720930232558,0.005151922087375582,0.954639709694142,0.7543859649122807,0.2002537447818613
6,0.9348996573666177,0.966294982260517,0.5084463145158091,0.983238782877772,"[[   7  201]
 [  65 3813]]",0.9856621480709072,0.932,0.05366214807090719,0.9455572599841312,0.9861375373742864,0.9296482412060302,0.056489296168256264,0.9468196037539103,0.752,0.19481960375391028
7,0.9307391091532061,0.9641090678503488,0.4948798944737573,0.98014440433213,"[[   2  206]
 [  77 3801]]",0.98,0.9915254237288136,-0.0115254237288136,1.011760636457973,0.9796968056307526,0.9891304347826086,-0.009433629151856082,0.9405194805194805,0.7711864406779662,0.16933303984151438
8,0.9393049437102301,0.9686552072800808,0.5084921847105963,0.9881382155750387,"[[   6  202]
 [  46 3832]]",0.988045738045738,0.9747899159663865,0.013255822079351498,0.986583797116953,0.9889458074952817,0.9704142011834319,0.018531606311849802,0.9545218295218295,0.6932773109243697,0.2612445185974598
9,0.9427312775330396,0.9704992435703479,0.5034724977188876,0.9925219185146983,"[[   3  205]
 [  29 3849]]",0.9924675324675325,0.9872881355932204,0.0051793968743121255,0.9947812933875683,0.9929520195174845,0.9841269841269841,0.008825035390500391,0.9522077922077922,0.788135593220339,0.16407219898745318
10,0.942486539402839,0.9703245359262532,0.5169930475661522,0.9907168643630737,"[[   9  199]
 [  36 3842]]",0.9927234927234927,0.9285714285714286,0.06415206415206409,0.9353777112939418,0.9937618660157309,0.9319371727748691,0.06182469324086182,0.9534823284823285,0.7647058823529411,0.18877644612938738
11,0.9410181106216349,0.9694975319579799,0.5298689352164081,0.9876224858174316,"[[  15  193]
 [  48 3830]]",0.9911619443722381,0.8786610878661087,0.1125008565061294,0.886495988728277,0.9921409214092141,0.898936170212766,0.09320475119644811,0.952950350922797,0.7489539748953975,0.2039963760273995
12,0.938570729319628,0.9682077264091198,0.5240297833935018,0.9855595667870036,"[[  13  195]
 [  56 3822]]",0.988508749020632,0.9027237354085603,0.08578501361207169,0.9132177497699808,0.9894079304725693,0.9132653061224489,0.07614262435012031,0.9527291721075999,0.7276264591439688,0.22510271296363105
13,0.9353891336270191,0.9666076397672654,0.4950546971079462,0.9853017019082001,"[[   1  207]
 [  57 3821]]",0.9877953778239418,0.9531914893617022,0.03460388846223961,0.9649685661230061,0.987307588441804,0.9428571428571428,0.04445044558466116,0.9493638016099715,0.7063829787234043,0.2429808228865672
14,0.9419970631424376,0.9700795354121955,0.5121853552584599,0.9907168643630737,"[[   7  201]
 [  36 3842]]",0.9898358092259578,0.9839357429718876,0.005900066254070246,0.9940393485474283,0.991042345276873,0.9845360824742269,0.006506262802646101,0.9530883502736512,0.7710843373493976,0.1820040129242536
15,0.9437102300538424,0.9710035300050428,0.5085380549053835,0.9930376482723053,"[[   5  203]
 [  27 3851]]",0.9934946656258131,0.9711934156378601,0.02230124998795302,0.9775527229691714,0.9940330892324383,0.9738219895287958,0.020211099703642432,0.9544626593806922,0.7736625514403292,0.18080010794036294
16,0.9427312775330396,0.9703422053231939,0.55124568572222,0.9871067560598247,"[[  24  184]
 [  50 3828]]",0.9859301719645649,0.9193548387096774,0.06657533325488751,0.9324745959217077,0.988327904451683,0.9639175257731959,0.024410378678487055,0.9515372589890568,0.8064516129032258,0.14508564608583108
17,0.9412628487518355,0.9697122665320544,0.5049738167969215,0.9907168643630737,"[[   4  204]
 [  36 3842]]",0.9927385892116183,0.9478260869565217,0.044912502255096576,0.9547589841442914,0.9929881337648327,0.9411764705882353,0.05181166317659747,0.9553941908713693,0.7043478260869566,0.2510463647844128
