seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9427312775330396,0.9705215419501134,0.49664775657555443,0.9932955131511089,"[[   0  208]
 [  26 3852]]",0.9948078920041536,0.9743589743589743,0.02044891764517931,0.9794443552272363,0.9945945945945946,0.9662921348314607,0.028302459763133947,0.9553478712357217,0.7350427350427351,0.22030513619298664
1,0.9429760156632403,0.9706067869307431,0.5104261713016225,0.9920061887570912,"[[   6  202]
 [  31 3847]]",0.9930160372478013,0.9545454545454546,0.03847058270234671,0.9612588505529377,0.992993802209647,0.9700598802395209,0.022933921970126003,0.9534402483186757,0.759090909090909,0.19434933922776665
2,0.9432207537934411,0.9706700379266752,0.5310293271710239,0.9899432697266632,"[[  15  193]
 [  39 3839]]",0.9929559092094965,0.8932806324110671,0.09967527679842936,0.8996176206073622,0.9942965779467681,0.9081632653061225,0.08613331264064561,0.9566918862509783,0.7391304347826086,0.2175614514683697
3,0.9380812530592266,0.9680030352851903,0.5078475225135876,0.9868488911810211,"[[   6  202]
 [  51 3827]]",0.9872329338196978,0.967741935483871,0.019490998335826792,0.9802569407197405,0.9875237320314619,0.9738219895287958,0.013701742502666092,0.9494528400208442,0.7620967741935484,0.1873560658272958
4,0.9419970631424376,0.9701097237987136,0.5030857004006823,0.9917483238782878,"[[   3  205]
 [  32 3846]]",0.9921834288692027,0.9798387096774194,0.012344719191783371,0.9875580272431553,0.992671009771987,0.9742268041237113,0.018444205648275647,0.9536216779572694,0.7620967741935484,0.191524903763721
5,0.9358786098874204,0.9668522267206479,0.4998623894156385,0.9853017019082001,"[[   3  205]
 [  57 3821]]",0.9862623120787973,0.9692982456140351,0.01696406646476223,0.9827996403624041,0.9856988667026444,0.9767441860465116,0.008954680656132807,0.9468636599274235,0.75,0.1968636599274235
6,0.9432207537934411,0.9706551985833544,0.5355791545999128,0.9894275399690562,"[[  17  191]
 [  41 3837]]",0.9924400417101147,0.884,0.10844004171011468,0.8907339112161807,0.9932046751834738,0.9195979899497487,0.07360668523372504,0.9535974973931178,0.784,0.1695974973931178
7,0.9446891825746452,0.9715508559919435,0.4999541298052128,0.9951005673027333,"[[   1  207]
 [  19 3859]]",0.9955844155844156,0.9872881355932204,0.008296279991195199,0.9916669246109832,0.9956686518678939,0.9836956521739131,0.011972999693980801,0.9555844155844155,0.7669491525423728,0.1886352630420427
8,0.9437102300538424,0.9709889001009081,0.5130878823342723,0.9925219185146983,"[[   7  201]
 [  29 3849]]",0.9922037422037422,0.9747899159663865,0.017413826237355656,0.9824493443265205,0.9935292531679698,0.9704142011834319,0.023115051984537893,0.9591995841995842,0.6932773109243697,0.26592227327521445
9,0.942486539402839,0.9703769065927139,0.5010686515650414,0.9925219185146983,"[[   2  206]
 [  29 3849]]",0.992987012987013,0.9830508474576272,0.00993616552938581,0.9899936601391223,0.9929520195174845,0.9841269841269841,0.008825035390500391,0.9516883116883117,0.7923728813559322,0.1593154303323795
10,0.9446891825746452,0.9714934409687185,0.5181534395207681,0.9930376482723053,"[[   9  199]
 [  27 3851]]",0.9953222453222453,0.9243697478991597,0.07095249742308563,0.9287140443644821,0.9959316517493898,0.93717277486911,0.05875887688027981,0.95504158004158,0.7773109243697479,0.1777306556718321
11,0.9439549681840431,0.9710895089003914,0.5223164696314516,0.9917483238782878,"[[  11  197]
 [  32 3846]]",0.9942812581232129,0.9121338912133892,0.08214736690982372,0.9173801515027211,0.9948509485094851,0.9308510638297872,0.06399988467969786,0.9550298934234468,0.7656903765690377,0.18933951685440908
12,0.9419970631424376,0.9700417140690178,0.523559923830682,0.9894275399690562,"[[  12  196]
 [  41 3837]]",0.9911203969704884,0.9260700389105059,0.0650503580599825,0.9343668455832219,0.9923954372623575,0.9336734693877551,0.05872196787460238,0.9558631496474276,0.7354085603112841,0.22045458933614348
13,0.9422418012726382,0.9702245773403987,0.5077644602689729,0.9914904589994843,"[[   5  203]
 [  33 3845]]",0.991171124383277,0.9829787234042553,0.008192400979021741,0.9917346250536514,0.9918984607075344,0.9828571428571429,0.009041317850391528,0.9548169306673592,0.7361702127659574,0.21864671790140178
14,0.9437102300538424,0.9710035300050428,0.5085380549053835,0.9930376482723053,"[[   5  203]
 [  27 3851]]",0.9942663539223352,0.9598393574297188,0.03442699649261638,0.9653744729902571,0.994299674267101,0.9690721649484536,0.025227509318647368,0.9549126922074538,0.7710843373493976,0.18382835485805615
