seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.942486539402839,0.970249398658058,0.5397421847105962,0.9881382155750387,"[[  19  189]
 [  46 3832]]",0.9916926272066459,0.8589743589743589,0.13271826823228694,0.8661699556987514,0.9932432432432432,0.8820224719101124,0.1112207713331308,0.9558670820353063,0.7222222222222222,0.23364485981308414
1,0.9449339207048458,0.9715801439939371,0.5319318542468362,0.9917483238782878,"[[  15  193]
 [  32 3846]]",0.9927573719606829,0.9136363636363637,0.07912100832431923,0.9203017670188072,0.994341147938561,0.9341317365269461,0.060209411411614844,0.9562855664769788,0.7454545454545455,0.21083102102243334
2,0.9363680861478219,0.9670635926019762,0.5137697365811085,0.9842702423929861,"[[   9  199]
 [  61 3817]]",0.9887816331854944,0.8932806324110671,0.09550100077442725,0.9034154786363114,0.9885931558935361,0.9030612244897959,0.08553193140374027,0.949908687711975,0.7312252964426877,0.21868339126928726
3,0.9351443954968184,0.9663149866531079,0.5381491252429881,0.98014440433213,"[[  20  188]
 [  77 3801]]",0.9817613340281397,0.8911290322580645,0.0906323017700752,0.9076839771248544,0.9842690534309737,0.900523560209424,0.08374549322154967,0.9486711829077644,0.7258064516129032,0.22286473129486117
4,0.9405286343612335,0.9692366122293962,0.5296110703376047,0.9871067560598247,"[[  15  193]
 [  50 3828]]",0.9927045336112559,0.8508064516129032,0.14189808199835263,0.8570590974515282,0.993485342019544,0.865979381443299,0.12750596057624497,0.9546638874413758,0.7217741935483871,0.23288969389298864
5,0.9405286343612335,0.9692443994431086,0.5273361566231602,0.9873646209386282,"[[  14  194]
 [  49 3829]]",0.9883359253499222,0.9210526315789473,0.06728329377097486,0.9319226469004928,0.9900161899622234,0.9302325581395349,0.05978363182268853,0.9530844997407983,0.7280701754385965,0.2250143243022018
6,0.9419970631424376,0.9699886032670634,0.5394843198317927,0.9876224858174316,"[[  19  189]
 [  48 3830]]",0.9911366006256517,0.868,0.12313660062565168,0.87576223040505,0.9923892362054906,0.8994974874371859,0.09289174876830464,0.9533368091762252,0.768,0.1853368091762252
7,0.9427312775330396,0.970387243735763,0.5375962034355537,0.9886539453326457,"[[  18  190]
 [  44 3834]]",0.9906493506493507,0.8898305084745762,0.10081884217477444,0.8982295379200625,0.9929615592853276,0.9021739130434783,0.09078764624184932,0.9553246753246754,0.7372881355932204,0.21803653973145498
8,0.9432207537934411,0.9706551985833544,0.5355791545999128,0.9894275399690562,"[[  17  191]
 [  41 3837]]",0.9903846153846154,0.9117647058823529,0.0786199095022625,0.9206167904054825,0.9921811809112968,0.9289940828402367,0.06318709807106015,0.9584199584199584,0.6974789915966386,0.2609409668233198
9,0.9415075868820362,0.9697812618535846,0.5233020589518785,0.9889118102114492,"[[  12  196]
 [  43 3835]]",0.9890909090909091,0.9449152542372882,0.04417565485362096,0.955337113659023,0.9905123339658444,0.9576719576719577,0.0328403762938867,0.9509090909090909,0.788135593220339,0.16277349768875193
10,0.942486539402839,0.970226783225643,0.5465669258539294,0.9873646209386282,"[[  22  186]
 [  49 3829]]",0.9864864864864865,0.9201680672268907,0.0663184192595958,0.9327731092436974,0.989151071331706,0.9528795811518325,0.03627149017987352,0.9508835758835759,0.8067226890756303,0.1441608868079456
11,0.9444444444444444,0.9713347644904661,0.5271241619391439,0.9917483238782878,"[[  13  195]
 [  32 3846]]",0.9911619443722381,0.9539748953974896,0.03718704897474856,0.9624813591907009,0.9934959349593496,0.9574468085106383,0.03604912644871128,0.9555497790486093,0.7656903765690377,0.18985940247957156
12,0.9415075868820362,0.969743005443727,0.5346766275241004,0.9876224858174316,"[[  17  191]
 [  48 3830]]",0.989292243405589,0.9066147859922179,0.08267745741337107,0.9164276704234958,0.9907658881042911,0.9285714285714286,0.06219445953286251,0.9545573256724994,0.7470817120622568,0.20747561361024258
13,0.9415075868820362,0.9697123305031048,0.543776282381878,0.9865910263022176,"[[  21  187]
 [  52 3826]]",0.988314723448455,0.8808510638297873,0.10746365961866766,0.8912657506065451,0.9894679989197948,0.9257142857142857,0.06375371320550904,0.9529992209815632,0.7531914893617021,0.1998077316198611
14,0.9439549681840431,0.971060280550992,0.5314161244892291,0.9907168643630737,"[[  15  193]
 [  36 3842]]",0.9924420119885327,0.9116465863453815,0.08079542564315112,0.9185892730586211,0.993213897937025,0.9432989690721649,0.04991492886486004,0.9546520719311963,0.7791164658634538,0.17553560606774243
15,0.9422418012726382,0.9700887198986058,0.5487129071289721,0.9868488911810211,"[[  23  185]
 [  51 3827]]",0.9862086911267239,0.9135802469135802,0.07262844421314374,0.9263559073585458,0.9888798481149986,0.9476439790575916,0.04123586905740706,0.9518605256310174,0.7901234567901234,0.161737068840894
16,0.942486539402839,0.9703170392825565,0.5192679612805967,0.9904589994842703,"[[  10  198]
 [  37 3841]]",0.991401771756123,0.9435483870967742,0.04785338465934874,0.9517315925564834,0.992399565689468,0.9536082474226805,0.0387913182667875,0.953882230328296,0.7661290322580645,0.1877531980702315
17,0.9410181106216349,0.9694356372859861,0.5480682449319634,0.9855595667870036,"[[  23  185]
 [  56 3822]]",0.9862551867219918,0.8869565217391304,0.09929866498286133,0.8993174724759628,0.9878640776699029,0.9352941176470588,0.05256996002284409,0.9520228215767634,0.7565217391304347,0.1955010824463287
18,0.9422418012726382,0.9701417004048583,0.5327885111278613,0.9886539453326457,"[[  16  192]
 [  44 3834]]",0.9924498828430096,0.8734693877551021,0.11898049508790753,0.8801143542411719,0.9934906427990235,0.8952879581151832,0.0982026846838403,0.9549596459255403,0.7428571428571429,0.2121025030683974
19,0.9451786588350465,0.9717314487632509,0.5252360455429048,0.9927797833935018,"[[  12  196]
 [  28 3850]]",0.9947916666666666,0.9186991869918699,0.07609247967479671,0.923509130379262,0.995656894679696,0.9381443298969072,0.057512564782788766,0.95625,0.7723577235772358,0.1838922764227643
