seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9410181106216349,0.969466615988851,0.5389685900741857,0.9865910263022176,"[[  19  189]
 [  52 3826]]",0.9870197300103842,0.9102564102564102,0.07676331975397399,0.9222271678873467,0.9891891891891892,0.9325842696629213,0.056604919526267894,0.9527518172377986,0.7478632478632479,0.2048885693745507
1,0.9446891825746452,0.9714574387471584,0.52952800809299,0.9917483238782878,"[[  14  194]
 [  32 3846]]",0.9935333678220383,0.9045454545454545,0.08898791327658373,0.9104328891623867,0.9954190245216923,0.9101796407185628,0.08523938380312945,0.9575788929125711,0.7181818181818181,0.239397074730753
2,0.9444444444444444,0.971313029192468,0.5339489030824771,0.9909747292418772,"[[  16  192]
 [  35 3843]]",0.9924341247064962,0.9130434782608695,0.07939064644562666,0.9200041146619119,0.9937533948940793,0.9387755102040817,0.05497788468999765,0.9561701017479781,0.766798418972332,0.1893716827756461
3,0.9419970631424376,0.9700189753320684,0.5303846649740152,0.9886539453326457,"[[  15  193]
 [  44 3834]]",0.9919228764981761,0.8870967741935484,0.10482610230462774,0.8943203097858783,0.9934906427990235,0.8952879581151832,0.0982026846838403,0.9562272016675352,0.7217741935483871,0.23445300811914804
4,0.9419970631424376,0.9699962020508924,0.5372094061173484,0.9878803506962351,"[[  18  190]
 [  47 3831]]",0.9903595622720167,0.8870967741935484,0.10326278807846834,0.8957320229820674,0.99185667752443,0.9123711340206185,0.07948554350381143,0.953882230328296,0.7580645161290323,0.19581771419926375
5,0.9441997063142438,0.9711538461538463,0.5429196255008529,0.9896854048478597,"[[  20  188]
 [  40 3838]]",0.9883359253499222,0.9342105263157895,0.054125399034132715,0.9452358275704998,0.9908256880733946,0.9651162790697675,0.02570940900362706,0.954639709694142,0.7675438596491229,0.18709585004501916
6,0.9434654919236417,0.970755791872389,0.5448077418970921,0.9886539453326457,"[[  21  187]
 [  44 3834]]",0.9921793534932221,0.86,0.13217935349322207,0.8667787703625854,0.9937483011687959,0.8944723618090452,0.09927593935975065,0.9549009384775808,0.768,0.18690093847758082
7,0.9441997063142438,0.9712048497095226,0.5269952294997422,0.9914904589994843,"[[  13  195]
 [  33 3845]]",0.9919480519480519,0.9364406779661016,0.05550737398195027,0.9440420555562952,0.9935029778018408,0.9510869565217391,0.04241602128010169,0.9550649350649351,0.7669491525423728,0.18811578252256222
8,0.942486539402839,0.970302034626564,0.5238177887094855,0.9899432697266632,"[[  12  196]
 [  39 3839]]",0.9932432432432432,0.8949579831932774,0.09828526004996585,0.9010461327388098,0.9935292531679698,0.9112426035502958,0.08228664961767396,0.9581600831600832,0.6890756302521008,0.26908445290798233
9,0.9439549681840431,0.9710383204755281,0.5382408656325623,0.9899432697266632,"[[  18  190]
 [  39 3839]]",0.9901298701298701,0.9194915254237288,0.07063834470614128,0.9286574955092749,0.9924098671726755,0.9417989417989417,0.050610925373733795,0.9535064935064935,0.788135593220339,0.16537090028615453
