seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960539979231568,0.7606837606837606,0.19985621854780733
1,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9599068804966373,0.759090909090909,0.20081597140572827
2,0.9346549192364171,0.9661296460738297,0.517417036934185,0.9819494584837545,"[[  11  197]
 [  70 3808]]",0.987998956430994,0.8616600790513834,0.12633887737961058,0.8721265072627284,0.9880499728408474,0.8673469387755102,0.12070303406533722,0.9496477954604748,0.7075098814229249,0.24213791403754992
3,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960656591974987,0.7701612903225806,0.19049530165240636
4,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9598749348619072,0.782258064516129,0.17761687034577822
5,0.9488497307880568,0.9737536104483235,0.49987106756059824,0.9997421351211965,"[[   0  208]
 [   1 3877]]",0.9997407983411094,1.0,-0.00025920165889059543,1.0002592688618097,0.9997301672962763,1.0,-0.0002698327037237158,0.9603421461897356,0.7543859649122807,0.20595618127745485
6,0.9410181106216349,0.96952838538374,0.5207692803586306,0.9886539453326457,"[[  11  197]
 [  44 3834]]",0.9900938477580813,0.932,0.05809384775808124,0.9413249078462349,0.9910301712421854,0.9447236180904522,0.046306553151733154,0.9517726798748697,0.776,0.17577267987486966
7,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9594805194805195,0.7796610169491526,0.17981950253136691
8,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9638773388773388,0.7100840336134454,0.25379330526389343
9,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9581818181818181,0.8008474576271186,0.15733436055469951
10,0.933920704845815,0.9656575934876622,0.5375044630459792,0.9788550799381124,"[[  20  188]
 [  82 3796]]",0.979989604989605,0.8949579831932774,0.08503162179632762,0.9132321186231056,0.9820992676973149,0.9162303664921466,0.0658689012051683,0.9438669438669439,0.773109243697479,0.1707577001694649
11,0.9432207537934411,0.9706254748037478,0.5446788094576903,0.9883960804538422,"[[  21  187]
 [  45 3833]]",0.9880426306212633,0.9163179916317992,0.07172463898946413,0.9274073438062435,0.9905149051490515,0.9468085106382979,0.04370639451075364,0.952950350922797,0.7866108786610879,0.1663394722617091
12,0.9390602055800293,0.9683648837504765,0.5538615265600826,0.9827230531201651,"[[  26  182]
 [  67 3811]]",0.9890310786106032,0.8015564202334631,0.18747465837714017,0.8104461402360523,0.9910374796306355,0.826530612244898,0.1645068673857375,0.9553408200574562,0.6964980544747081,0.2588427655827481
13,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9615684237860296,0.7446808510638298,0.21688757272219983
14,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9601250977326036,0.7791164658634538,0.18100863186914973
15,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9594067135050741,0.7860082304526749,0.17339848305239924
16,0.9236417033773862,0.9600512163892446,0.5434638691633277,0.9667354306343476,"[[  25  183]
 [ 129 3749]]",0.9697759249609171,0.8467741935483871,0.12300173141253001,0.8731647917352794,0.9714983713355049,0.8762886597938144,0.09520971154169044,0.9353830119854091,0.7419354838709677,0.19344752811444133
17,0.9488497307880568,0.9737536104483235,0.49987106756059824,0.9997421351211965,"[[   0  208]
 [   1 3877]]",1.0,0.9956521739130435,0.004347826086956497,0.9956521739130435,1.0,0.9941176470588236,0.00588235294117645,0.9616182572614108,0.7347826086956522,0.22683564856575866
18,0.9319627998042095,0.9646220412318656,0.5319231761018764,0.9773078906652913,"[[  18  190]
 [  88 3790]]",0.9799531372038531,0.8816326530612245,0.09832048414262862,0.8996681775792146,0.9818280444806076,0.8900523560209425,0.0917756884596651,0.945066388961208,0.726530612244898,0.21853577671630997
19,0.9304943710230054,0.9638492871690427,0.5265997540365771,0.9762764311500773,"[[  16  192]
 [  92 3786]]",0.9776041666666667,0.9105691056910569,0.06703506097560985,0.9314292397052899,0.9796416938110749,0.9123711340206185,0.06727055979045637,0.9427083333333334,0.7398373983739838,0.2028709349593496
