seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960539979231568,0.7606837606837606,0.19985621854780733
1,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9599068804966373,0.759090909090909,0.20081597140572827
2,0.9356338717572198,0.9665607120152575,0.5429568175506804,0.98014440433213,"[[  22  186]
 [  77 3801]]",0.9848682494129924,0.8379446640316206,0.14692358538137185,0.8508190456246892,0.9869636067354699,0.8520408163265306,0.13492279040893929,0.9506913644664754,0.7075098814229249,0.24318148304355047
3,0.9402838962310328,0.969098277608916,0.5317570516126472,0.9865910263022176,"[[  16  192]
 [  52 3826]]",0.9893173527879103,0.8911290322580645,0.09818832052984583,0.9007514421402296,0.9896935177651207,0.9267015706806283,0.0629919470844924,0.9515372589890568,0.7661290322580645,0.18540822673099233
4,0.9282917278511992,0.9626418462323091,0.5299891895108502,0.9734399174832388,"[[  18  190]
 [ 103 3775]]",0.9765502866076081,0.875,0.10155028660760812,0.8960112059765208,0.9769272529858849,0.9072164948453608,0.06971075814052408,0.9390307451797811,0.7620967741935484,0.17693397098623276
5,0.9415075868820362,0.9697200050677816,0.5415013686674337,0.9868488911810211,"[[  20  188]
 [  51 3827]]",0.9880767236910316,0.8903508771929824,0.09772584649804916,0.9010948804329817,0.9902860226659471,0.9127906976744186,0.07749532499152856,0.9538621047174702,0.7324561403508771,0.2214059643665931
6,0.9488497307880568,0.9737536104483235,0.49987106756059824,0.9997421351211965,"[[   0  208]
 [   1 3877]]",0.9997393117831074,1.0,-0.0002606882168926239,1.0002607561929595,0.9997281870073389,1.0,-0.00027181299266110237,0.9588112617309698,0.796,0.16281126173096971
7,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9594805194805195,0.7796610169491526,0.17981950253136691
8,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9638773388773388,0.7100840336134454,0.25379330526389343
9,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9581818181818181,0.8008474576271186,0.15733436055469951
10,0.9197258932941752,0.958024059380599,0.5186518129884556,0.9651882413615266,"[[  15  193]
 [ 135 3743]]",0.9695945945945946,0.8613445378151261,0.10825005677946853,0.8883553421368547,0.9701654461621915,0.8691099476439791,0.10105549851821238,0.9313929313929314,0.7310924369747899,0.20030049441814157
11,0.937836514929026,0.9678155093765839,0.5236429860752965,0.984785972150593,"[[  13  195]
 [  59 3819]]",0.989862230309332,0.8619246861924686,0.1279375441168633,0.8707521711613516,0.9907859078590786,0.8670212765957447,0.12376463126333392,0.9516506368598908,0.7154811715481172,0.23616946531177363
12,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9616087751371115,0.7626459143968871,0.1989628607402244
13,0.9287812041116006,0.9628210042161747,0.5507212778196533,0.9716348633316142,"[[  27  181]
 [ 110 3768]]",0.9737730459620878,0.8468085106382979,0.12696453532378993,0.8696158865248227,0.9754253308128544,0.8914285714285715,0.08399675938428297,0.9405349259932485,0.7361702127659574,0.2043647132272911
14,0.9446891825746452,0.9715365239294711,0.5045039572341017,0.9945848375451264,"[[   3  205]
 [  21 3857]]",0.9963513161323951,0.9598393574297188,0.03651195870267632,0.9633543328427494,0.996471226927253,0.9587628865979382,0.037708340329314805,0.9569976544175137,0.7550200803212851,0.20197757409622863
15,0.9348996573666177,0.9662607813292744,0.5175459693735867,0.982207323362558,"[[  11  197]
 [  69 3809]]",0.9888108248763986,0.8477366255144033,0.14107419936199528,0.8573294346978558,0.9894222945484134,0.8429319371727748,0.14649035737563854,0.9502992453812126,0.691358024691358,0.2589412206898546
16,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9598749348619072,0.782258064516129,0.17761687034577822
17,0.9393049437102301,0.9685598377281947,0.535791149283929,0.9850438370293966,"[[  18  190]
 [  58 3820]]",0.9883298755186722,0.8652173913043478,0.12311248421432441,0.8754338128757715,0.9894822006472492,0.888235294117647,0.10124690652960222,0.9530601659751037,0.7086956521739131,0.24436451380119062
18,0.9383259911894273,0.9679715302491103,0.5534747292418772,0.9819494584837545,"[[  26  182]
 [  70 3808]]",0.9833376724811247,0.8693877551020408,0.11394991737908389,0.8841192394352498,0.9861676159479251,0.900523560209424,0.08564405573850109,0.9500130174433741,0.7551020408163265,0.1949109766270476
19,0.9375917767988252,0.9676437000380661,0.5348886222081167,0.983238782877772,"[[  18  190]
 [  65 3813]]",0.9841145833333333,0.9105691056910569,0.07354547764227648,0.9252673632849057,0.9858849077090119,0.9329896907216495,0.05289521698736244,0.9481770833333333,0.7723577235772358,0.17581935975609753
