seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9375917767988252,0.9676437000380661,0.5348886222081167,0.983238782877772,"[[  18  190]
 [  65 3813]]",0.9846832814122534,0.8974358974358975,0.0872473839763559,0.911395485611146,0.9856756756756757,0.9325842696629213,0.053091406012754416,0.9483385254413291,0.7606837606837606,0.18765476475756848
1,0.9383259911894273,0.9679715302491103,0.5534747292418772,0.9819494584837545,"[[  26  182]
 [  70 3808]]",0.9868080703569581,0.7954545454545454,0.19135352490241264,0.8060884070058382,0.9886822958771221,0.8323353293413174,0.1563469665358047,0.9513709260217279,0.7090909090909091,0.2422800169308188
2,0.9397944199706314,0.9687817258883249,0.5474235827349546,0.9842702423929861,"[[  23  185]
 [  61 3817]]",0.9893034176884946,0.8300395256916996,0.15926389199679503,0.8390141091709611,0.9910374796306355,0.8571428571428571,0.1338946224877784,0.954082963735977,0.7233201581027668,0.23076280563321017
3,0.9388154674498287,0.9683062880324543,0.5332583706906812,0.984785972150593,"[[  17  191]
 [  59 3819]]",0.9898384575299636,0.8508064516129032,0.13903200591706033,0.8595407110529936,0.9910496338486574,0.8638743455497382,0.12717528829891922,0.9536216779572694,0.7096774193548387,0.24394425860243063
4,0.9329417523250122,0.9650866462793067,0.5483633018605943,0.9765342960288809,"[[  25  183]
 [  91 3787]]",0.9801980198019802,0.8387096774193549,0.1414883423826253,0.8556533072662106,0.9823561346362649,0.865979381443299,0.11637675319296592,0.9458051068264721,0.7338709677419355,0.21193413908453662
5,0.933920704845815,0.9656663275686673,0.5352295493315349,0.9791129448169159,"[[  19  189]
 [  81 3797]]",0.9844479004665629,0.8245614035087719,0.159886496957791,0.8375876500097005,0.9846195358877496,0.8604651162790697,0.1241544196086799,0.9466044582685329,0.7192982456140351,0.2273062126544978
6,0.9412628487518355,0.9696356275303643,0.5277229539413655,0.9881382155750387,"[[  14  194]
 [  46 3832]]",0.9924400417101147,0.876,0.11644004171011468,0.8826729708431836,0.9929328621908127,0.8994974874371859,0.09343537475362673,0.9530761209593326,0.76,0.19307612095933258
7,0.937836514929026,0.9677910220644179,0.5304677272186297,0.9840123775141826,"[[  16  192]
 [  62 3816]]",0.9883116883116884,0.8601694915254238,0.1281421967862646,0.8703423238824918,0.989713048186248,0.8695652173913043,0.12014783079494362,0.9514285714285714,0.7161016949152542,0.23532687651331718
8,0.9422418012726382,0.9700963000506843,0.5464379934145277,0.9871067560598247,"[[  22  186]
 [  50 3828]]",0.9896049896049897,0.865546218487395,0.12405877111759467,0.8746380905303298,0.9908331086546239,0.9053254437869822,0.08550766486764172,0.9566008316008316,0.7100840336134454,0.24651679798738624
9,0.9326970141948115,0.96504385407398,0.5254852322767485,0.9788550799381124,"[[  15  193]
 [  82 3796]]",0.9844155844155844,0.8432203389830508,0.1411952454325336,0.8565694736371361,0.9848197343453511,0.8624338624338624,0.12238587191148864,0.9446753246753247,0.7372881355932204,0.2073871890821043
10,0.9429760156632403,0.9704652047154265,0.5536495318760661,0.9871067560598247,"[[  25  183]
 [  50 3828]]",0.9914241164241164,0.8235294117647058,0.1678947046594106,0.8306529951430113,0.9937618660157309,0.8586387434554974,0.1351231225602335,0.9547817047817048,0.7521008403361344,0.20268086444557032
11,0.9334312285854136,0.9654559309118619,0.5213222021660651,0.98014440433213,"[[  13  195]
 [  77 3801]]",0.9836236028073824,0.8870292887029289,0.09659431410445352,0.9017974824630464,0.9845528455284552,0.8936170212765957,0.09093582425185953,0.9459318949831037,0.7322175732217573,0.21371432176134642
12,0.9322075379344101,0.9646728733579901,0.5525263319712778,0.9752449716348633,"[[  27  181]
 [  96 3782]]",0.9783233220161922,0.8443579766536965,0.1339653453624957,0.8630663888433006,0.979902227050516,0.8877551020408163,0.09214712500969968,0.9446330634630452,0.7470817120622568,0.1975513514007884
13,0.9373470386686246,0.9674631418403661,0.5484091720553814,0.9814337287261475,"[[  24  184]
 [  72 3806]]",0.988314723448455,0.7829787234042553,0.2053360000441996,0.7922362227613734,0.9883877936807993,0.8342857142857143,0.15410207939508502,0.9509218384835108,0.7148936170212766,0.23602822146223412
14,0.9300048947626041,0.9635483048687228,0.5354415440155512,0.9747292418772563,"[[  20  188]
 [  98 3780]]",0.9791503778994006,0.8473895582329317,0.1317608196664689,0.8654335200797868,0.9801845819761129,0.8711340206185567,0.1090505613575562,0.9429241594996091,0.7309236947791165,0.2120004647204926
15,0.9346549192364171,0.966095238095238,0.5265166917919626,0.9809179989685405,"[[  15  193]
 [  74 3804]]",0.9862086911267239,0.8518518518518519,0.13435683927487208,0.863764291996482,0.9867100623813398,0.8691099476439791,0.11760011473736076,0.9476971116315379,0.7283950617283951,0.21930204990314284
16,0.9307391091532061,0.9639260675589547,0.5403781687626452,0.9749871067560598,"[[  22  186]
 [  97 3781]]",0.9762897342365816,0.8870967741935484,0.08919296004303323,0.9086408912075896,0.9785559174809989,0.9072164948453608,0.07133942263563808,0.9424179260031267,0.75,0.19241792600312668
17,0.9373470386686246,0.967496190959878,0.5393095171976038,0.9824651882413615,"[[  20  188]
 [  68 3810]]",0.9893672199170125,0.7956521739130434,0.19371504600396905,0.8042030884950708,0.9897518878101402,0.8235294117647058,0.1662224760454344,0.9525414937759336,0.6826086956521739,0.2699327981237597
18,0.9388154674498287,0.9683143219264893,0.5309834569762367,0.9850438370293966,"[[  16  192]
 [  58 3820]]",0.989065347565738,0.8693877551020408,0.11967759246369725,0.8789993070141982,0.9902359641985354,0.8848167539267016,0.10541921027183387,0.9520958083832335,0.7306122448979592,0.22148356348527432
19,0.9358786098874204,0.9666496945010183,0.554460318562304,0.9791129448169159,"[[  27  181]
 [  81 3797]]",0.98515625,0.7926829268292683,0.19247332317073162,0.8046266029670607,0.9872421281216069,0.8247422680412371,0.16249986008036987,0.9497395833333333,0.7195121951219512,0.2302273882113821
