seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960539979231568,0.7606837606837606,0.19985621854780733
1,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9599068804966373,0.759090909090909,0.20081597140572827
2,0.9344101811062163,0.9659379766141332,0.5332125004958941,0.9798865394533265,"[[  18  190]
 [  78 3800]]",0.9838246804069919,0.8656126482213439,0.11821203218564802,0.8798444127903503,0.9847908745247148,0.8877551020408163,0.0970357724838985,0.9475606574484737,0.7351778656126482,0.21238279183582554
3,0.9285364659813999,0.9627075351213282,0.5460425179513627,0.9718927282104177,"[[  25  183]
 [ 109 3769]]",0.97107868681605,0.907258064516129,0.06382062229992103,0.9342786293568294,0.9731489015459723,0.9476439790575916,0.025504922488380766,0.9379885356956749,0.782258064516129,0.15573047117954586
4,0.9307391091532061,0.963944451522487,0.5358283413337566,0.9755028365136669,"[[  20  188]
 [  95 3783]]",0.9820218863991662,0.8145161290322581,0.1675057573669081,0.829427673978723,0.9823561346362649,0.845360824742268,0.13699530989399689,0.9439812402292861,0.7258064516129032,0.21817478861638284
5,0.9326970141948115,0.9650527385944847,0.5232103185623042,0.9791129448169159,"[[  14  194]
 [  81 3797]]",0.9823742871954381,0.881578947368421,0.10079533982701705,0.8973961949729203,0.9827307069616837,0.9011627906976745,0.08156791626400928,0.9450492483151892,0.7236842105263158,0.2213650377888734
6,0.9488497307880568,0.9737536104483235,0.49987106756059824,0.9997421351211965,"[[   0  208]
 [   1 3877]]",1.0,0.996,0.0040000000000000036,0.996,1.0,0.9949748743718593,0.005025125628140725,0.9590719499478624,0.792,0.16707194994786234
7,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9594805194805195,0.7796610169491526,0.17981950253136691
8,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9638773388773388,0.7100840336134454,0.25379330526389343
9,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9581818181818181,0.8008474576271186,0.15733436055469951
10,0.9371023005384239,0.9672903143693522,0.5596548081882017,0.9798865394533265,"[[  29  179]
 [  78 3800]]",0.9831081081081081,0.8235294117647058,0.15957869634340227,0.8376794016575702,0.9858963927312178,0.8638743455497382,0.12202204718147958,0.9480249480249481,0.7605042016806722,0.18752074634427585
11,0.9287812041116006,0.9629063097514341,0.5302470543896537,0.9739556472408458,"[[  18  190]
 [ 101 3777]]",0.9768650896802703,0.8744769874476988,0.10238810223257155,0.895187059795449,0.9780487804878049,0.8936170212765957,0.08443175921120916,0.9402131531063166,0.7447698744769874,0.1954432786293292
12,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9616087751371115,0.7626459143968871,0.1989628607402244
13,0.9356338717572198,0.9665777100012709,0.5384069901217915,0.980660134089737,"[[  20  188]
 [  75 3803]]",0.9797455206439886,0.9276595744680851,0.05208594617590345,0.9468372704152123,0.9821766135565757,0.9485714285714286,0.033605184985147085,0.9475460919241755,0.7404255319148936,0.20712056000928192
14,0.9397944199706314,0.9688133874239351,0.538323927877177,0.9853017019082001,"[[  19  189]
 [  57 3821]]",0.9869689861871254,0.8955823293172691,0.09138665686985625,0.9074067593320205,0.988327904451683,0.9278350515463918,0.06049285290529116,0.9507427677873339,0.7710843373493976,0.17965843043793628
15,0.9344101811062163,0.965981213505966,0.521837931923672,0.981175863847344,"[[  13  195]
 [  73 3805]]",0.9843871975019516,0.8930041152263375,0.09138308227561409,0.9071675429063746,0.985353946297803,0.900523560209424,0.084830386088379,0.9469164715066355,0.7366255144032922,0.21029095710334333
16,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9598749348619072,0.782258064516129,0.17761687034577822
17,0.9400391581008322,0.9689204617531397,0.5452776014599119,0.984785972150593,"[[  22  186]
 [  59 3819]]",0.9862551867219918,0.8782608695652174,0.10799431715677432,0.8905006345105123,0.9875943905070119,0.9235294117647059,0.06406497874230599,0.9515041493775933,0.7478260869565218,0.20367806242107156
18,0.9366128242780225,0.9671194617240066,0.5343728924505098,0.982207323362558,"[[  18  190]
 [  69 3809]]",0.9830773236136423,0.9102040816326531,0.07287324198098921,0.9258723192666898,0.9850827230810958,0.9267015706806283,0.058381152400467484,0.9481905753709972,0.7551020408163265,0.19308853455467068
19,0.929270680372002,0.9631706384605582,0.5305049192684572,0.9744713769984528,"[[  18  190]
 [  99 3779]]",0.971875,0.9634146341463414,0.008460365853658613,0.991294800407811,0.9739413680781759,0.9845360824742269,-0.010594714396050975,0.9375,0.8008130081300813,0.13668699186991873
