seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960539979231568,0.7606837606837606,0.19985621854780733
1,0.9490944689182574,0.9738759105752324,0.5022749137144443,0.9997421351211965,"[[   1  207]
 [   1 3877]]",1.0,0.990909090909091,0.009090909090909038,0.990909090909091,1.0,0.9940119760479041,0.005988023952095856,0.9599068804966373,0.759090909090909,0.20081597140572827
2,0.9336759667156143,0.9655523071056311,0.5305507894632443,0.9793708096957194,"[[  17  191]
 [  80 3798]]",0.987998956430994,0.7984189723320159,0.18957998409897814,0.8081172223260145,0.9885931558935361,0.8061224489795918,0.1824707069139443,0.9506913644664754,0.6758893280632411,0.2748020364032343
3,0.929270680372002,0.9631330526852915,0.5396045741262347,0.9734399174832388,"[[  22  186]
 [ 103 3775]]",0.9791558103178739,0.8185483870967742,0.16060742322109967,0.8359735789455613,0.9804719283970708,0.837696335078534,0.14277559331853673,0.9439812402292861,0.7016129032258065,0.2423683370034796
4,0.9346549192364171,0.9660521296884933,0.5378912603641846,0.979628674574523,"[[  20  188]
 [  79 3799]]",0.9856696195935383,0.8225806451612904,0.1630889744322479,0.8345399196746055,0.9872421281216069,0.8350515463917526,0.15219058172985434,0.9497133923918708,0.7016129032258065,0.2481004891660643
5,0.938570729319628,0.9681431653763167,0.542229093109057,0.9834966477565755,"[[  21  187]
 [  64 3814]]",0.985743908761016,0.868421052631579,0.11732285612943705,0.8809803894432374,0.9878575283324339,0.8895348837209303,0.09832264461150364,0.9515292897874547,0.7192982456140351,0.23223104417341955
6,0.9417523250122369,0.9699873896595209,0.5006818542468362,0.9917483238782878,"[[   2  206]
 [  32 3846]]",0.9927007299270073,0.976,0.01670072992700733,0.9831764705882353,0.9926610491981517,0.9748743718592965,0.017786677338855195,0.9522940563086548,0.78,0.1722940563086548
7,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9594805194805195,0.7796610169491526,0.17981950253136691
8,0.9459128732256485,0.9722047541189788,0.4983238782877772,0.9966477565755544,"[[   0  208]
 [  13 3865]]",0.9971413721413721,0.9915966386554622,0.005544733485909892,0.9944393707443885,0.9970342410353195,0.9881656804733728,0.008868560561946626,0.9610187110187111,0.7016806722689075,0.25933803874980355
9,0.9488497307880568,0.9737536104483235,0.49987106756059824,0.9997421351211965,"[[   0  208]
 [   1 3877]]",0.9997402597402597,1.0,-0.00025974025974029313,1.0002598077422709,0.9997289238275956,1.0,-0.0002710761724044053,0.957922077922078,0.8008474576271186,0.15707462029495933
10,0.9400391581008322,0.9689912669282369,0.5248033780299123,0.9871067560598247,"[[  13  195]
 [  50 3828]]",0.987006237006237,0.9453781512605042,0.041628085745732846,0.9578238878489784,0.9888798481149986,0.9528795811518325,0.03600026696316616,0.9498440748440748,0.7815126050420168,0.16833146980205804
11,0.9278022515907979,0.9623580451703458,0.5342811520609354,0.9724084579680248,"[[  20  188]
 [ 107 3771]]",0.975305432804783,0.8661087866108786,0.10919664619390435,0.8880385133507596,0.9766937669376694,0.8882978723404256,0.08839589459724384,0.9391733818559916,0.7447698744769874,0.19440350737900425
12,0.9197258932941752,0.9581098339719029,0.5004525032729004,0.9672511603919546,"[[   7  201]
 [ 127 3751]]",0.9650039174719248,1.0,-0.03499608252807518,1.0362652232746954,0.965507876154264,1.0,-0.03449212384573597,0.9302689997388353,0.7626459143968871,0.16762308534194814
13,0.9356338717572198,0.9665946907151022,0.5338571626929027,0.981175863847344,"[[  18  190]
 [  73 3805]]",0.9820825759542976,0.9063829787234042,0.07569959723089337,0.9229193154584425,0.9832568187955711,0.9371428571428572,0.046113961652713975,0.947286419111919,0.7446808510638298,0.20260556804808927
14,0.9397944199706314,0.9688528741453533,0.526949359304955,0.9865910263022176,"[[  14  194]
 [  52 3826]]",0.9911389106072452,0.8714859437751004,0.11965296683214488,0.8792772985182908,0.992128121606949,0.8814432989690721,0.11068482263787682,0.9538702111024238,0.7228915662650602,0.23097864483736352
15,0.9319627998042095,0.9646310432569974,0.5296482623874321,0.9775657555440949,"[[  17  191]
 [  87 3791]]",0.9854280510018215,0.8024691358024691,0.18295891519935237,0.8143355925241322,0.9861676159479251,0.8115183246073299,0.17464929134059526,0.9474368982565704,0.6872427983539094,0.26019409990266096
16,0.9427312775330396,0.9704843592330978,0.5080223251477765,0.9920061887570912,"[[   5  203]
 [  31 3847]]",0.9916623241271496,0.9838709677419355,0.00779135638521411,0.9921431356262607,0.992128121606949,0.9896907216494846,0.0024373999574643923,0.9531005732152162,0.782258064516129,0.17084250869908724
17,0.9368575624082232,0.9672256097560976,0.5413265660332447,0.981691593604951,"[[  21  187]
 [  71 3807]]",0.9852178423236515,0.8478260869565217,0.13739175536712978,0.8605468258237293,0.9865156418554477,0.8764705882352941,0.1100450536201536,0.9504668049792531,0.7086956521739131,0.24177115280534
18,0.9300048947626041,0.9635761589403974,0.5286168028722181,0.9755028365136669,"[[  17  191]
 [  95 3783]]",0.9794324394688884,0.8653061224489796,0.11412631701990872,0.883477090995888,0.9820992676973149,0.8481675392670157,0.1339317284302992,0.9461077844311377,0.6775510204081633,0.26855676402297446
19,0.9344101811062163,0.9659206510681587,0.5377623279247828,0.9793708096957194,"[[  20  188]
 [  80 3798]]",0.9815104166666667,0.8821138211382114,0.09939659552845537,0.8987309825340226,0.9834419109663409,0.9020618556701031,0.08138005529623782,0.94609375,0.7520325203252033,0.19406122967479666
