seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.933186490455213,0.9652096342551294,0.5507671480144405,0.9765342960288809,"[[  26  182]
 [  91 3787]]",0.9740394600207685,0.9273504273504274,0.04668903267034108,0.9520665901262916,0.9772972972972973,0.9606741573033708,0.016623139993926506,0.9428868120456906,0.7735042735042735,0.16938253854141705
1,0.9427312775330396,0.9703572333417786,0.5466958582933311,0.9876224858174316,"[[  22  186]
 [  48 3830]]",0.9901707190894982,0.8545454545454545,0.13562526454404367,0.863028403153795,0.9916464564807329,0.8982035928143712,0.09344286366636168,0.9536989136057941,0.75,0.20369891360579406
2,0.9280469897209985,0.9625668449197861,0.5162107747847821,0.9747292418772563,"[[  12  196]
 [  98 3780]]",0.9757370206104878,0.932806324110672,0.042930696499815846,0.9560017754856165,0.9763715372080392,0.9438775510204082,0.032493986187631,0.9394729976519698,0.7549407114624506,0.18453228618951922
3,0.9388154674498287,0.9683223517486063,0.5287085432617923,0.9853017019082001,"[[  15  193]
 [  57 3821]]",0.9869723814486712,0.9112903225806451,0.07568205886802604,0.9233189699219947,0.9886086248982913,0.9214659685863874,0.06714265631190386,0.9517978113600833,0.7379032258064516,0.21389458555363172
4,0.9346549192364171,0.966095238095238,0.5265166917919626,0.9809179989685405,"[[  15  193]
 [  74 3804]]",0.9856696195935383,0.8629032258064516,0.12276639378708665,0.8754487392664979,0.9866992399565689,0.8711340206185567,0.11556521933801223,0.9486711829077644,0.717741935483871,0.23092924742389342
5,0.9324522760646109,0.9648944288984991,0.5299061272662356,0.9780814853017019,"[[  17  191]
 [  85 3793]]",0.9821150855365475,0.8552631578947368,0.12685192764181064,0.8708380214193441,0.9835402050728548,0.8604651162790697,0.12307508879378504,0.9468636599274235,0.6885964912280702,0.2582671686993533
6,0.933920704845815,0.9656925031766201,0.5284048081882017,0.9798865394533265,"[[  16  192]
 [  78 3800]]",0.9822732012513035,0.896,0.08627320125130344,0.9121698513800425,0.983147594455015,0.9195979899497487,0.06354960450526626,0.944473409801877,0.772,0.17247340980187698
7,0.9300048947626041,0.9635854341736695,0.5263418891577736,0.9757607013924704,"[[  16  192]
 [  94 3784]]",0.9787012987012987,0.8813559322033898,0.09734536649790893,0.9005361833819137,0.9805089334055225,0.8804347826086957,0.1000741507968268,0.9433766233766234,0.711864406779661,0.23151221659696242
8,0.9390602055800293,0.9684450639969585,0.5311123894156384,0.9853017019082001,"[[  16  192]
 [  57 3821]]",0.988045738045738,0.8865546218487395,0.10149111619699858,0.8972809534124012,0.9886761930439472,0.9112426035502958,0.07743358949365131,0.954002079002079,0.6974789915966386,0.2565230874054404
9,0.9334312285854136,0.965438373570521,0.5258720295949537,0.979628674574523,"[[  15  193]
 [  79 3799]]",0.9807792207792208,0.9152542372881356,0.06552498349108515,0.9331908934214307,0.982380048793711,0.9259259259259259,0.05645412286778506,0.9436363636363636,0.7669491525423728,0.17668721109399077
10,0.9309838472834068,0.9641950228542406,0.506383395485381,0.9791129448169159,"[[   7  201]
 [  81 3797]]",0.9831081081081081,0.9033613445378151,0.07974676357029298,0.9188830171243755,0.9834553837808516,0.8952879581151832,0.08816742566566838,0.9433471933471933,0.7310924369747899,0.21225475637240343
11,0.9444444444444444,0.9712403395413658,0.556698040226921,0.9883960804538422,"[[  26  182]
 [  45 3833]]",0.9890824018715882,0.8786610878661087,0.1104213140054795,0.8883598436323049,0.991869918699187,0.9202127659574468,0.07165715274174012,0.9545100077982844,0.7824267782426778,0.17208322955560662
12,0.9400391581008322,0.9689283449587826,0.5430026877454674,0.9850438370293966,"[[  21  187]
 [  58 3820]]",0.989292243405589,0.8521400778210116,0.13715216558457732,0.8613633468787364,0.9904942965779467,0.8826530612244898,0.10784123535345691,0.9540349960825281,0.7315175097276264,0.22251748635490165
13,0.938570729319628,0.968102681408057,0.553603661681279,0.982207323362558,"[[  26  182]
 [  69 3809]]",0.9851986497013763,0.8382978723404255,0.14690077736095075,0.8508922262474904,0.9867674858223062,0.8857142857142857,0.10105320010802055,0.9509218384835108,0.7361702127659574,0.21475162571755335
14,0.9309838472834068,0.9641677255400255,0.5132081366287142,0.9783393501805054,"[[  10  198]
 [  84 3794]]",0.9778472765181131,0.963855421686747,0.013991854831366113,0.9856911655149382,0.9785559174809989,0.9742268041237113,0.004329113357287584,0.9410998175658066,0.7751004016064257,0.16599941595938095
15,0.9106705824767499,0.952994204764971,0.5275307950172571,0.9541000515729757,"[[  21  187]
 [ 178 3700]]",0.9547228727556596,0.897119341563786,0.05760353119187356,0.9396646578439983,0.9571467317602387,0.8952879581151832,0.06185877364505543,0.9224564142596929,0.7242798353909465,0.1981765788687464
16,0.9251101321585903,0.960839518812388,0.5465123775141826,0.9680247550283652,"[[  26  182]
 [ 124 3754]]",0.9708181344450234,0.8467741935483871,0.12404394089663628,0.8722274167575711,0.9731270358306189,0.8711340206185567,0.10199301521206217,0.9374674309536217,0.7338709677419355,0.20359646321168623
17,0.9341654429760157,0.9657630138729796,0.5444581366287142,0.9783393501805054,"[[  23  185]
 [  84 3794]]",0.9805497925311203,0.8608695652173913,0.11968022731372896,0.8779457930384187,0.982740021574973,0.8823529411764706,0.10038708039850242,0.9478734439834025,0.7043478260869566,0.2435256178964459
18,0.9324522760646109,0.9648944288984991,0.5299061272662356,0.9780814853017019,"[[  17  191]
 [  85 3793]]",0.9791720906014059,0.9102040816326531,0.06896800896875277,0.9295649767484766,0.9804719283970708,0.9319371727748691,0.048534755622201664,0.9432439468888311,0.763265306122449,0.17997864076638204
19,0.9363680861478219,0.9669547534316218,0.5433436148688856,0.9809179989685405,"[[  22  186]
 [  74 3804]]",0.9822916666666667,0.8861788617886179,0.09611280487804874,0.9021545146522515,0.9850705754614549,0.9020618556701031,0.08300871979135183,0.9484375,0.7479674796747967,0.20047002032520334
