seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9258443465491923,0.9612581511315688,0.542349347403499,0.9693140794223827,"[[  24  184]
 [ 119 3759]]",0.9724818276220145,0.8418803418803419,0.13060148574167263,0.8657029036100046,0.9745945945945946,0.8595505617977528,0.11504403279684183,0.9392523364485982,0.7051282051282052,0.234124131320393
1,0.9304943710230054,0.9638768761129484,0.5197750128932439,0.9770500257864879,"[[  13  195]
 [  89 3789]]",0.9772374547335747,0.9363636363636364,0.04087381836993831,0.9581741181000049,0.9773645917542442,0.9700598802395209,0.007304711514723228,0.9392136575271599,0.7772727272727272,0.16194093025443268
2,0.9405286343612335,0.9692288210712929,0.531885984052049,0.9868488911810211,"[[  16  192]
 [  51 3827]]",0.9908687711974954,0.8735177865612648,0.11735098463623062,0.8815675818560632,0.9921238457360131,0.8877551020408163,0.10436874369519678,0.9546047482389773,0.7272727272727273,0.22733202096625005
3,0.9341654429760157,0.9658239105577436,0.5285337406276035,0.98014440433213,"[[  16  192]
 [  77 3801]]",0.9848879624804586,0.8588709677419355,0.12601699473852312,0.8720494111623144,0.985353946297803,0.8795811518324608,0.10577279446534227,0.9476289734236581,0.7258064516129032,0.2218225218107549
4,0.9415075868820362,0.9697506644728515,0.532401713809656,0.9878803506962351,"[[  16  192]
 [  47 3831]]",0.9887962480458572,0.9193548387096774,0.06944140933617982,0.9297717710059926,0.990228013029316,0.9432989690721649,0.04692904395715103,0.9523189161021365,0.7741935483870968,0.17812536771503973
5,0.9278022515907979,0.962406015037594,0.5229065834887134,0.9736977823620423,"[[  15  193]
 [ 102 3776]]",0.9761534473820632,0.8903508771929824,0.08580257018908077,0.9121013500293484,0.9767943874797625,0.9069767441860465,0.06981764329371609,0.9398652151373769,0.7236842105263158,0.21618100461106105
6,0.9295154185022027,0.9632840387557369,0.5351836791367477,0.9742135121196493,"[[  20  188]
 [ 100 3778]]",0.9767987486965589,0.876,0.10079874869655892,0.8968070456365093,0.9787985865724381,0.8894472361809045,0.08935135039153363,0.9416058394160584,0.744,0.19760583941605836
7,0.9287812041116006,0.9628684445578665,0.5393467092474312,0.9729241877256317,"[[  22  186]
 [ 105 3773]]",0.9771428571428571,0.8347457627118644,0.1423970944309927,0.854271979383487,0.9791553871142393,0.8478260869565217,0.1313293001577176,0.9423376623376624,0.7076271186440678,0.23471054369359456
8,0.9383259911894273,0.9680851063829787,0.5216259372396557,0.9855595667870036,"[[  12  196]
 [  56 3822]]",0.9862266112266113,0.9369747899159664,0.04925182131064487,0.9500603403416702,0.9867888918846051,0.9585798816568047,0.028209010227800313,0.9521829521829522,0.7142857142857143,0.23789723789723793
9,0.9233969652471855,0.9600102210297687,0.5228607132939262,0.9687983496647756,"[[  16  192]
 [ 121 3757]]",0.9748051948051948,0.8305084745762712,0.1442967202289236,0.8519737882010776,0.9753320683111955,0.8412698412698413,0.13406222704135418,0.9361038961038961,0.7161016949152542,0.2200022011886419
10,0.9275575134605971,0.9622256253190403,0.5341522196215337,0.9721505930892212,"[[  20  188]
 [ 108 3770]]",0.9742723492723493,0.8781512605042017,0.09612108876814762,0.901340637615409,0.9764035801464606,0.8900523560209425,0.0863512241255181,0.9386694386694386,0.7478991596638656,0.19077027900557308
11,0.9368575624082232,0.9672505712109672,0.5345018248899116,0.9824651882413615,"[[  18  190]
 [  68 3810]]",0.9846633740577073,0.8870292887029289,0.09763408535477847,0.9008452147941307,0.9859078590785908,0.9148936170212766,0.07101424205731421,0.9474915518585911,0.7656903765690377,0.18180117528955342
12,0.9390602055800293,0.9684370642667005,0.5333873031300829,0.9850438370293966,"[[  17  191]
 [  58 3820]]",0.9877252546356751,0.8910505836575876,0.09667467097808746,0.9021239251255693,0.9888647474198805,0.9132653061224489,0.07559944129743157,0.9524680073126143,0.7392996108949417,0.2131683964176726
13,0.9361233480176211,0.9668234396847593,0.5432146824294839,0.980660134089737,"[[  22  186]
 [  75 3803]]",0.9828615943910672,0.8680851063829788,0.11477648800808848,0.8832221254110572,0.9840669727248177,0.9085714285714286,0.0754955441533891,0.9480654375486887,0.7404255319148936,0.20763990563379509
14,0.9304943710230054,0.9637847487885743,0.542524150037688,0.9744713769984528,"[[  23  185]
 [  99 3779]]",0.9770654156893406,0.8634538152610441,0.11361160042829643,0.8837216028691989,0.9782844733984799,0.9020618556701031,0.0762226177283768,0.9413604378420641,0.7630522088353414,0.17830822900672272
15,0.9363680861478219,0.9669547534316218,0.5433436148688856,0.9809179989685405,"[[  22  186]
 [  74 3804]]",0.9836065573770492,0.8641975308641975,0.11940902651285168,0.8786008230452674,0.9861676159479251,0.8795811518324608,0.10658646411546435,0.9492583918813428,0.7325102880658436,0.21674810381549914
16,0.9329417523250122,0.9651133180544945,0.541538560717261,0.9773078906652913,"[[  22  186]
 [  88 3790]]",0.9791558103178739,0.8790322580645161,0.10012355225335778,0.8977450256656766,0.9820846905537459,0.8865979381443299,0.09548675240941606,0.9463262115685253,0.7258064516129032,0.220519759955622
17,0.9314733235438081,0.9643947100712106,0.5225656563652953,0.9778236204228984,"[[  14  194]
 [  86 3792]]",0.9810684647302904,0.8826086956521739,0.09845976907811649,0.899640267098806,0.9816612729234089,0.8941176470588236,0.0875436258645853,0.9452800829875518,0.7,0.24528008298755188
18,0.9334312285854136,0.9653767820773931,0.5417964255960646,0.9778236204228984,"[[  22  186]
 [  86 3792]]",0.9809945326737829,0.8571428571428571,0.1238516755309258,0.8737488626023657,0.9826417141307295,0.8848167539267016,0.09782496020402798,0.9455870866961729,0.7428571428571429,0.20272994383902998
19,0.9282917278511992,0.962555910543131,0.5504634129408498,0.9711191335740073,"[[  27  181]
 [ 112 3766]]",0.9739583333333334,0.8414634146341463,0.13249491869918706,0.8639624364158079,0.9758414766558089,0.8814432989690721,0.09439817768673675,0.9390625,0.7601626016260162,0.1788998983739838
