seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960539979231568,0.7606837606837606,0.19985621854780733
1,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9599068804966373,0.759090909090909,0.20081597140572827
2,0.942486539402839,0.970226783225643,0.5465669258539294,0.9873646209386282,"[[  22  186]
 [  49 3829]]",0.990086094442995,0.8695652173913043,0.12052087705169068,0.8782723262874492,0.9921238457360131,0.8979591836734694,0.0941646620625437,0.9553874249934777,0.7470355731225297,0.20835185187094807
3,0.937836514929026,0.9677991886409737,0.5281928135041853,0.9842702423929861,"[[  15  193]
 [  61 3817]]",0.9861907243355914,0.907258064516129,0.0789326598194624,0.9199620744023522,0.9875237320314619,0.9214659685863874,0.06605776344507452,0.9504950495049505,0.7419354838709677,0.2085595656339827
4,0.9270680372001958,0.9619606841970897,0.5338943547427302,0.9716348633316142,"[[  20  188]
 [ 110 3768]]",0.9749869723814487,0.8629032258064516,0.11208374657499709,0.885040775159049,0.9774701411509229,0.8608247422680413,0.11664539888288161,0.9416362688900469,0.7016129032258065,0.24002336566424043
5,0.9348996573666177,0.9661921708185053,0.5357452790891419,0.98014440433213,"[[  19  189]
 [  77 3801]]",0.9841886988076723,0.8464912280701754,0.13769747073749694,0.8600903760586612,0.9848893685914732,0.877906976744186,0.1069823918472872,0.9473820632452048,0.7236842105263158,0.22369785271888898
6,0.9493392070484582,0.9740047720708275,0.5024038461538461,1.0,"[[   1  207]
 [   0 3878]]",0.9997393117831074,1.0,-0.0002606882168926239,1.0002607561929595,1.0,1.0,0.0,0.959332638164755,0.796,0.16333263816475496
7,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9594805194805195,0.7796610169491526,0.17981950253136691
8,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9638773388773388,0.7100840336134454,0.25379330526389343
9,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9581818181818181,0.8008474576271186,0.15733436055469951
10,0.9346549192364171,0.966138237159163,0.5151421232197406,0.982207323362558,"[[  10  198]
 [  69 3809]]",0.9844074844074844,0.9201680672268907,0.06423941718059367,0.9347430630118996,0.9850827230810958,0.9267015706806283,0.058381152400467484,0.9451663201663202,0.7647058823529411,0.18046043781337906
11,0.9231522271169849,0.9598670756646217,0.525006694568969,0.9682826199071687,"[[  17  191]
 [ 123 3755]]",0.9685469196776709,0.9205020920502092,0.04804482762746176,0.950394940450122,0.9699186991869919,0.9361702127659575,0.03374848642103445,0.9329347543540422,0.7656903765690377,0.16724437778500445
12,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9616087751371115,0.7626459143968871,0.1989628607402244
13,0.9322075379344101,0.9647448135420643,0.5343270222557226,0.9773078906652913,"[[  19  189]
 [  88 3790]]",0.9781874837704493,0.902127659574468,0.07605982419598123,0.9222441245079045,0.9802862543883338,0.9142857142857143,0.06600054010261958,0.945468709426123,0.7148936170212766,0.23057509240484642
14,0.9459128732256485,0.9721276327405726,0.5233479291466656,0.9938112429087158,"[[  11  197]
 [  24 3854]]",0.9937451133698202,0.9558232931726908,0.03792182019712942,0.9618394901399461,0.99457111834962,0.979381443298969,0.015189675050650941,0.9559551733124837,0.7911646586345381,0.1647905146779456
15,0.9395496818404308,0.9686905818227913,0.5359200817233308,0.9853017019082001,"[[  18  190]
 [  57 3821]]",0.9898516783762685,0.8518518518518519,0.13799982652441667,0.8605853487556958,0.9905071874152428,0.8848167539267016,0.10569043348854124,0.9513400988810825,0.7530864197530864,0.19825367912799607
16,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9598749348619072,0.782258064516129,0.17761687034577822
17,0.9388154674498287,0.9683143219264893,0.5309834569762367,0.9850438370293966,"[[  16  192]
 [  58 3820]]",0.9885892116182573,0.8695652173913043,0.11902399422695298,0.8796021716319175,0.9900215749730313,0.8764705882352941,0.11355098673773723,0.953838174273859,0.6869565217391305,0.2668816525347285
18,0.9380812530592266,0.9679462815152667,0.5237719185146983,0.9850438370293966,"[[  13  195]
 [  58 3820]]",0.9875032543608435,0.9061224489795918,0.0813808053812517,0.9175893294306914,0.989151071331706,0.9057591623036649,0.08339190902804106,0.9515751106482687,0.726530612244898,0.2250444984033707
19,0.9329417523250122,0.9651576805696845,0.5301639921450392,0.978597215059309,"[[  17  191]
 [  83 3795]]",0.97890625,0.9227642276422764,0.05614202235772359,0.9426482133935465,0.9807274701411509,0.9381443298969072,0.0425831402442437,0.9434895833333333,0.7682926829268293,0.17519690040650404
