seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9353891336270191,0.9664292980671414,0.5428278851112786,0.9798865394533265,"[[  22  186]
 [  78 3800]]",0.9818276220145379,0.8717948717948718,0.11003275021966608,0.8879306838058821,0.9837837837837838,0.898876404494382,0.08490737928940184,0.9475597092419522,0.7350427350427351,0.2125169741992171
1,0.9348996573666177,0.9662522202486677,0.5198208830880311,0.9819494584837545,"[[  12  196]
 [  70 3808]]",0.9839627521986549,0.9090909090909091,0.07487184310774586,0.923907848198069,0.9854486661277284,0.9041916167664671,0.08125704936126132,0.9480082772891878,0.7045454545454546,0.2434628227437332
2,0.9419970631424376,0.9699886032670634,0.5394843198317927,0.9876224858174316,"[[  19  189]
 [  48 3830]]",0.9929559092094965,0.841897233201581,0.15105867600791545,0.8478697043777352,0.9945681694731124,0.8571428571428571,0.13742531233025534,0.9572136707539786,0.7114624505928854,0.2457512201610932
3,0.9219285364659814,0.9592019439826065,0.5243620323719602,0.9669932955131512,"[[  17  191]
 [ 128 3750]]",0.9676915059927045,0.9153225806451613,0.05236892534754323,0.9458826237253982,0.9679956604285327,0.9476439790575916,0.02035168137094112,0.9314747264200104,0.7741935483870968,0.15728117803291364
4,0.9322075379344101,0.964780673871583,0.5252273673979451,0.9783393501805054,"[[  15  193]
 [  84 3794]]",0.9833246482542991,0.8588709677419355,0.12445368051236361,0.873435817221396,0.9842562432138979,0.865979381443299,0.11827686177059893,0.9463262115685253,0.7137096774193549,0.23261653414917038
5,0.937836514929026,0.9677091278921942,0.5532168643630737,0.9814337287261475,"[[  26  182]
 [  72 3806]]",0.9847071021254536,0.8289473684210527,0.155759733704401,0.8418212549008742,0.9865083648138154,0.872093023255814,0.11441534155800148,0.949974079834111,0.7324561403508771,0.21751793948323384
6,0.933920704845815,0.9656663275686673,0.5352295493315349,0.9791129448169159,"[[  19  189]
 [  81 3797]]",0.9781021897810219,0.936,0.04210218978102187,0.9569552238805971,0.9796140255504213,0.9698492462311558,0.00976477931926556,0.941866527632951,0.812,0.12986652763295092
7,0.9287812041116006,0.9628968506948873,0.5325219681040981,0.9736977823620423,"[[  19  189]
 [ 102 3776]]",0.974025974025974,0.9110169491525424,0.06300902487343163,0.9353107344632768,0.9761775852734164,0.9239130434782609,0.052264541795155495,0.9397402597402598,0.75,0.18974025974025976
8,0.9407733724914341,0.9693515704154002,0.5342898302058953,0.9868488911810211,"[[  17  191]
 [  51 3827]]",0.9864864864864865,0.9327731092436975,0.05371337724278902,0.9455508230689535,0.9886761930439472,0.9467455621301775,0.041930630913769695,0.9555613305613305,0.7016806722689075,0.253880658292423
9,0.9346549192364171,0.9660693861990088,0.5333414329352958,0.98014440433213,"[[  18  190]
 [  77 3801]]",0.9872727272727273,0.8050847457627118,0.18218798151001547,0.8154633704778849,0.9880726484142044,0.8253968253968254,0.16267582301737904,0.948051948051948,0.7161016949152542,0.23195025313669382
10,0.9410181106216349,0.9694820818032164,0.534418762645297,0.9871067560598247,"[[  17  191]
 [  50 3828]]",0.987006237006237,0.9285714285714286,0.058434808434808416,0.9407959076205522,0.9894222945484134,0.9424083769633508,0.04701391758506257,0.9508835758835759,0.7815126050420168,0.16937097084155905
11,0.9375917767988252,0.9676437000380661,0.5348886222081167,0.983238782877772,"[[  18  190]
 [  65 3813]]",0.9862230309331947,0.8744769874476988,0.111746043485496,0.8866929284953339,0.9875338753387534,0.898936170212766,0.08859770512598741,0.9490512087340786,0.7531380753138075,0.19591313342027106
12,0.9229074889867841,0.9596619285439877,0.540802158130678,0.9662197008767406,"[[  24  184]
 [ 131 3747]]",0.966309741446853,0.8988326848249028,0.06747705662195025,0.9301703649174466,0.9682237914177078,0.9285714285714286,0.039652362846279154,0.9341864716636198,0.754863813229572,0.17932265843404782
13,0.9322075379344101,0.9646908859145953,0.547976504542389,0.9757607013924704,"[[  25  183]
 [  94 3784]]",0.9792261750194755,0.8340425531914893,0.14518362182798616,0.8517363755874902,0.9802862543883338,0.88,0.10028625438833383,0.9444300181770968,0.7319148936170212,0.2125151245600756
14,0.9309838472834068,0.9640581187866429,0.540507101202047,0.9752449716348633,"[[  22  186]
 [  96 3782]]",0.9760229345843107,0.8955823293172691,0.08044060526704155,0.917583283735744,0.9782844733984799,0.9175257731958762,0.060758700202603655,0.942402918947094,0.7550200803212851,0.18738283862580896
15,0.9393049437102301,0.9685518640628962,0.5380660629983735,0.984785972150593,"[[  19  189]
 [  59 3819]]",0.9872495446265938,0.8806584362139918,0.106591108412602,0.8920322536558699,0.9888798481149986,0.9057591623036649,0.0831206858113337,0.9508196721311475,0.757201646090535,0.1936180260406125
16,0.9363680861478219,0.9669715447154472,0.5387937874399968,0.9814337287261475,"[[  20  188]
 [  72 3806]]",0.9794163626889004,0.9475806451612904,0.03183571752761005,0.9674952157831956,0.9820846905537459,0.9690721649484536,0.013012525605292313,0.9460656591974987,0.7862903225806451,0.1597753366168536
17,0.9383259911894273,0.9680446360639108,0.5330005058118776,0.9842702423929861,"[[  17  191]
 [  61 3817]]",0.9841804979253111,0.9260869565217391,0.058093541403572035,0.9409726757174772,0.9862459546925566,0.9411764705882353,0.04506948410432132,0.9509854771784232,0.7260869565217392,0.22489852065668403
18,0.9373470386686246,0.9675785207700102,0.5165603800531599,0.9850438370293966,"[[  10  198]
 [  58 3820]]",0.9875032543608435,0.9183673469387755,0.06913590742206799,0.9299891852338088,0.9880661784648765,0.9267015706806283,0.06136460778424824,0.9494923197084093,0.746938775510204,0.20255354419820526
19,0.9405286343612335,0.9692366122293962,0.5296110703376047,0.9871067560598247,"[[  15  193]
 [  50 3828]]",0.9927083333333333,0.8495934959349594,0.14311483739837394,0.8558339518337471,0.992942453854506,0.8762886597938144,0.11665379406069154,0.953125,0.7439024390243902,0.20922256097560976
