seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9407733724914341,0.9693127060613747,0.5456643987781172,0.9855595667870036,"[[  22  186]
 [  56 3822]]",0.9867601246105919,0.8846153846153846,0.10214473999520735,0.8964847307388744,0.9889189189189189,0.9157303370786517,0.07318858184026722,0.9524922118380063,0.7478632478632479,0.20462896397475838
1,0.9341654429760157,0.9657891390054686,0.537633395485381,0.9791129448169159,"[[  20  188]
 [  81 3797]]",0.9837040869115364,0.8272727272727273,0.15643135963880916,0.8409772189419836,0.9843707895445971,0.8622754491017964,0.12209534044280068,0.9461976202793585,0.7227272727272728,0.22347034755208572
2,0.9344101811062163,0.9659033078880407,0.5423121553536716,0.9788550799381124,"[[  22  186]
 [  82 3796]]",0.9825202191494913,0.8537549407114624,0.12876527843802887,0.8689438894708007,0.983432916892993,0.8928571428571429,0.09057577403585004,0.9462561961909731,0.7549407114624506,0.19131548472852256
3,0.9363680861478219,0.9669966996699669,0.5319690462966636,0.982207323362558,"[[  17  191]
 [  69 3809]]",0.9848879624804586,0.8870967741935484,0.09779118828691025,0.9007083119986345,0.9858963927312178,0.9109947643979057,0.07490162833331204,0.9486711829077644,0.7459677419354839,0.20270344097228055
4,0.9326970141948115,0.96504385407398,0.5254852322767485,0.9788550799381124,"[[  15  193]
 [  82 3796]]",0.9843668577384054,0.8508064516129032,0.13356040612550213,0.8643184651377244,0.9853420195439739,0.8556701030927835,0.12967191645119047,0.9473684210526315,0.7056451612903226,0.2417232597623089
5,0.9312285854136074,0.9641627343451091,0.5474607747847821,0.9747292418772563,"[[  25  183]
 [  98 3780]]",0.9777086573354069,0.8377192982456141,0.13998935908979282,0.8568189429033879,0.9797625472207232,0.8662790697674418,0.11348347745328136,0.9440124416796267,0.7149122807017544,0.22910016097787234
6,0.9368575624082232,0.9672837940654325,0.5254021700321339,0.9834966477565755,"[[  14  194]
 [  64 3814]]",0.9854014598540146,0.912,0.07340145985401458,0.9255111111111112,0.9866811633596085,0.9246231155778895,0.06205804778171908,0.9481230448383733,0.764,0.18412304483837327
7,0.9388154674498287,0.9682741116751269,0.5423580255484588,0.983754512635379,"[[  21  187]
 [  63 3815]]",0.9875324675324675,0.847457627118644,0.14007484041382345,0.8581567239365544,0.9891716296697347,0.875,0.11417162966973471,0.9511688311688312,0.7372881355932204,0.21388069557561085
8,0.942486539402839,0.9702418639989868,0.5420170984250406,0.9878803506962351,"[[  20  188]
 [  47 3831]]",0.9896049896049897,0.8865546218487395,0.1030503677562502,0.8958671703975707,0.9916419520086277,0.9053254437869822,0.0863165082216455,0.9581600831600832,0.6890756302521008,0.26908445290798233
9,0.9297601566324033,0.9634720631284204,0.521663129289483,0.9760185662712738,"[[  14  194]
 [  93 3785]]",0.9828571428571429,0.826271186440678,0.1565859564164649,0.8406828931809224,0.9829222011385199,0.8412698412698413,0.14165235986867863,0.9425974025974025,0.7203389830508474,0.22225841954655512
10,0.925354870288791,0.9611217335882728,0.5125176042369183,0.9721505930892212,"[[  11  197]
 [ 108 3770]]",0.9766112266112266,0.8781512605042017,0.0984599661070249,0.8991820251251113,0.9766748033631679,0.8848167539267016,0.09185804943646636,0.9368503118503119,0.7394957983193278,0.1973545135309841
11,0.9366128242780225,0.9671194617240066,0.5343728924505098,0.982207323362558,"[[  18  190]
 [  69 3809]]",0.9885625162464258,0.8200836820083682,0.16847883423805754,0.829571897103916,0.989430894308943,0.8404255319148937,0.14900536239404938,0.9503509227969846,0.7154811715481172,0.23486975124886744
12,0.9371023005384239,0.9673318927164103,0.5482802396159797,0.981175863847344,"[[  24  184]
 [  73 3805]]",0.9835466179159049,0.867704280155642,0.11584233776026287,0.8822197792660524,0.9850624660510592,0.9081632653061225,0.07689920074493672,0.9493340297727866,0.754863813229572,0.1944702165432146
13,0.9312285854136074,0.9641901363578437,0.5406360336414489,0.9755028365136669,"[[  22  186]
 [  95 3783]]",0.9789665022072189,0.8468085106382979,0.13215799156892105,0.8650025396467069,0.9802862543883338,0.8742857142857143,0.1060005401026195,0.9446896909893534,0.7106382978723405,0.23405139311701295
14,0.9415075868820362,0.9697736183128873,0.5255769726663229,0.9886539453326457,"[[  13  195]
 [  44 3834]]",0.9934844930935627,0.8714859437751004,0.12199854931846232,0.877201355263657,0.994842562432139,0.8711340206185567,0.12370854181358226,0.9567370341412562,0.7068273092369478,0.2499097249043084
15,0.9344101811062163,0.9659206510681587,0.5377623279247828,0.9793708096957194,"[[  20  188]
 [  80 3798]]",0.9836065573770492,0.8477366255144033,0.13586993186264584,0.8618655692729768,0.9848114998643884,0.8743455497382199,0.11046595012616856,0.946656258131668,0.7407407407407407,0.20591551739092728
16,0.9287812041116006,0.9628684445578665,0.5393467092474312,0.9729241877256317,"[[  22  186]
 [ 105 3773]]",0.9762897342365816,0.8548387096774194,0.12145102455916224,0.8755994042545865,0.9777415852334419,0.8814432989690721,0.09629828626436976,0.9408546117769672,0.7419354838709677,0.19891912790599942
17,0.9417523250122369,0.9698886639676113,0.5302557325346133,0.9883960804538422,"[[  15  193]
 [  45 3833]]",0.9911825726141079,0.8869565217391304,0.1042260508749775,0.8948467681386936,0.9919093851132686,0.9117647058823529,0.08014467923091573,0.9548755186721992,0.7217391304347827,0.23313638823741656
18,0.9371023005384239,0.9673650793650795,0.5391805847582021,0.982207323362558,"[[  20  188]
 [  69 3809]]",0.9888049986982557,0.8122448979591836,0.17656010073907202,0.8214409302425552,0.9902359641985354,0.8272251308900523,0.1630108333084831,0.952356157250716,0.6979591836734694,0.25439697357724655
19,0.9368575624082232,0.9672172808132147,0.5436014797476891,0.9814337287261475,"[[  22  186]
 [  72 3806]]",0.9861979166666667,0.8333333333333334,0.1528645833333333,0.8449960390810668,0.987513572204126,0.865979381443299,0.12153419076082694,0.94921875,0.7439024390243902,0.20531631097560976
