seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9476260401370533,0.9731088213118875,0.4992264053635895,0.998452810727179,"[[   0  208]
 [   6 3872]]",0.9984423676012462,1.0,-0.0015576323987538387,1.001560062402496,0.9983783783783784,1.0,-0.001621621621621605,0.9589823468328141,0.7606837606837606,0.1982985861490535
1,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9599068804966373,0.759090909090909,0.20081597140572827
2,0.9373470386686246,0.9675291730086251,0.5302098623398263,0.9834966477565755,"[[  16  192]
 [  64 3814]]",0.9864336029219932,0.8893280632411067,0.09710553968088653,0.9015589702203549,0.987778381314503,0.9030612244897959,0.08471715682470715,0.9506913644664754,0.7351778656126482,0.2155134988538272
3,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960656591974987,0.7701612903225806,0.19049530165240636
4,0.9483602545276554,0.9734957919859315,0.49961320268179477,0.9992264053635895,"[[   0  208]
 [   3 3875]]",0.9994788952579469,0.9959677419354839,0.00351115332246299,0.9964870160449393,0.999457111834962,0.9948453608247423,0.004611751010219711,0.9593538301198541,0.7782258064516129,0.1811280236682412
5,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9606013478486263,0.7543859649122807,0.20621538293634556
6,0.942486539402839,0.9702945266085198,0.5260927024239299,0.9896854048478597,"[[  13  195]
 [  40 3838]]",0.9916579770594369,0.916,0.07565797705943689,0.9237055730809675,0.9923892362054906,0.9396984924623115,0.05269074374317906,0.9528154327424401,0.784,0.16881543274244004
7,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9594805194805195,0.7796610169491526,0.17981950253136691
8,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9638773388773388,0.7100840336134454,0.25379330526389343
9,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9581818181818181,0.8008474576271186,0.15733436055469951
10,0.9417523250122369,0.9699267121556735,0.5188811639623914,0.9896854048478597,"[[  10  198]
 [  40 3838]]",0.9922037422037422,0.9159663865546218,0.07623735564912038,0.9231636080309547,0.9929481963656089,0.9267015706806283,0.06624662568498063,0.9524428274428275,0.7689075630252101,0.18353526441761736
11,0.9437102300538424,0.9709669275435497,0.5199126234776055,0.9917483238782878,"[[  10  198]
 [  32 3846]]",0.9937613724980504,0.9246861924686193,0.06907518002943114,0.9304911803365886,0.9948509485094851,0.9308510638297872,0.06399988467969786,0.9555497790486093,0.7531380753138075,0.20241170373480177
12,0.9417523250122369,0.9699191102123357,0.5211560776768358,0.9894275399690562,"[[  11  197]
 [  41 3837]]",0.991381561765474,0.9260700389105059,0.06531152285496811,0.9341207004711083,0.9921238457360131,0.9387755102040817,0.05334833553193141,0.9550796552624706,0.7431906614785992,0.21188899378387138
13,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9615684237860296,0.7446808510638298,0.21688757272219983
14,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9601250977326036,0.7791164658634538,0.18100863186914973
15,0.9446891825746452,0.9715365239294711,0.5045039572341017,0.9945848375451264,"[[   3  205]
 [  21 3857]]",0.9971376528753578,0.9465020576131687,0.05063559526218908,0.9492190520374236,0.9972877678329265,0.9424083769633508,0.05487939086957572,0.9570647931303669,0.7489711934156379,0.20809359971472896
16,0.9388154674498287,0.9683223517486063,0.5287085432617923,0.9853017019082001,"[[  15  193]
 [  57 3821]]",0.9885356956748307,0.8870967741935484,0.10143892148128231,0.8973846650908905,0.989685124864278,0.9020618556701031,0.08762326919417485,0.9515372589890568,0.7419354838709677,0.20960177511808908
17,0.9488497307880568,0.9737470167064439,0.5021459812750426,0.999484270242393,"[[   1  207]
 [   2 3876]]",0.9997406639004149,0.991304347826087,0.008436316074327932,0.991561495516833,0.999730312837109,0.9941176470588236,0.005612665778285453,0.9613589211618258,0.7391304347826086,0.2222284863792171
18,0.9417523250122369,0.969865788807293,0.5370804736779466,0.9876224858174316,"[[  18  190]
 [  48 3830]]",0.99140848737308,0.8653061224489796,0.12610236492410032,0.8728048362202024,0.9934906427990235,0.8743455497382199,0.11914509306080368,0.9560010413954699,0.7183673469387755,0.23763369445669447
19,0.9454233969652471,0.9718114018455316,0.5412893739834173,0.9912325941206808,"[[  19  189]
 [  34 3844]]",0.9903645833333333,0.9349593495934959,0.05540523373983741,0.9440557198104192,0.992942453854506,0.9587628865979382,0.03417956725656779,0.95546875,0.7886178861788617,0.16685086382113823
