seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960539979231568,0.7606837606837606,0.19985621854780733
1,0.9478707782672541,0.973237843950245,0.49935533780299124,0.9987106756059825,"[[   0  208]
 [   5 3873]]",0.9987066735644077,1.0,-0.0012933264355923235,1.0012950012950013,0.998652654271086,1.0,-0.00134734572891404,0.958613554061045,0.759090909090909,0.19952264497013594
2,0.9432207537934411,0.9706700379266752,0.5310293271710239,0.9899432697266632,"[[  15  193]
 [  39 3839]]",0.9926950169579963,0.8972332015810277,0.09546181537696863,0.9038357060867488,0.9942965779467681,0.9081632653061225,0.08613331264064561,0.9569527785024785,0.7351778656126482,0.2217749128898303
3,0.9439549681840431,0.9710309930423782,0.5405157793470068,0.9896854048478597,"[[  19  189]
 [  40 3838]]",0.9927045336112559,0.875,0.11770453361125588,0.8814304461942257,0.9937618660157309,0.9109947643979057,0.08276710161782519,0.9559666492965087,0.7580645161290323,0.1979021331674764
4,0.9415075868820362,0.9697812618535846,0.5233020589518785,0.9889118102114492,"[[  12  196]
 [  43 3835]]",0.993225638353309,0.8830645161290323,0.11016112222427676,0.8890875165013709,0.993485342019544,0.9020618556701031,0.09142348634944086,0.9541427826993225,0.7459677419354839,0.20817504076383864
5,0.947136563876652,0.9727959697732999,0.5171678502003412,0.9958741619391439,"[[   8  200]
 [  16 3862]]",0.9966303784344219,0.9517543859649122,0.044875992469509685,0.9549722811580317,0.9978413383702105,0.9534883720930233,0.04435296627718721,0.9598237428719544,0.7324561403508771,0.22736760252107724
6,0.9488497307880568,0.9737470167064439,0.5021459812750426,0.999484270242393,"[[   1  207]
 [   2 3876]]",0.9997393117831074,0.992,0.007739311783107383,0.992258670143416,1.0,0.9899497487437185,0.01005025125628145,0.959332638164755,0.788,0.17133263816475497
7,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9594805194805195,0.7796610169491526,0.17981950253136691
8,0.9468918257464513,0.9727078354923909,0.5033894354742731,0.9971634863331614,"[[   2  206]
 [  11 3867]]",0.9976611226611226,0.9831932773109243,0.014467845350198294,0.98549823680449,0.9975734699379887,0.9881656804733728,0.009407789464615846,0.9615384615384616,0.7100840336134454,0.25145442792501616
9,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9581818181818181,0.8008474576271186,0.15733436055469951
10,0.9456681350954479,0.9719909159727479,0.5254939104217082,0.9932955131511089,"[[  12  196]
 [  26 3852]]",0.9961018711018711,0.9033613445378151,0.09274052656405596,0.9068965441642349,0.9970165446162191,0.9214659685863874,0.07555057602983173,0.9563409563409564,0.773109243697479,0.18323171264347737
11,0.9451786588350465,0.9716885743174923,0.5388855278295711,0.9912325941206808,"[[  18  190]
 [  34 3844]]",0.9919417728099819,0.9121338912133892,0.07980788159659269,0.9195437839355105,0.9937669376693767,0.9414893617021277,0.052277575967249024,0.955289836236028,0.7824267782426778,0.17286305799335022
12,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9616087751371115,0.7626459143968871,0.1989628607402244
13,0.9427312775330396,0.9704097116843702,0.5307714622922204,0.9894275399690562,"[[  15  193]
 [  41 3837]]",0.9909114515710206,0.9106382978723404,0.08027315369868016,0.918990588340247,0.9918984607075344,0.9371428571428572,0.054755603564677235,0.9550766034796156,0.7404255319148936,0.21465107156472207
14,0.9446891825746452,0.9714646464646465,0.5272530943785456,0.9920061887570912,"[[  13  195]
 [  31 3847]]",0.9937451133698202,0.9196787148594378,0.07406639851038244,0.9254674085800322,0.995114006514658,0.9329896907216495,0.06212431579300848,0.9569976544175137,0.7550200803212851,0.20197757409622863
15,0.9417523250122369,0.9698810427739811,0.5325306462490578,0.9881382155750387,"[[  16  192]
 [  46 3832]]",0.9921935987509758,0.8683127572016461,0.12388084154932966,0.8751444862118872,0.9929481963656089,0.8952879581151832,0.09766023825042569,0.9536820192557898,0.7530864197530864,0.20059559950270334
16,0.9488497307880568,0.9737404196507099,0.5044208949894871,0.9992264053635895,"[[   2  206]
 [   3 3875]]",0.9992183428869202,0.9919354838709677,0.007282859015952492,0.9927114438322749,0.999185667752443,1.0,-0.0008143322475570036,0.9590932777488275,0.7903225806451613,0.1687706971036662
17,0.9432207537934411,0.9706254748037478,0.5446788094576903,0.9883960804538422,"[[  21  187]
 [  45 3833]]",0.9911825726141079,0.8608695652173913,0.13031300739671658,0.8685277455463791,0.9921790722761596,0.9058823529411765,0.08629671933498317,0.9553941908713693,0.7391304347826086,0.2162637560887607
18,0.9459128732256485,0.9720924359136255,0.5347224977188876,0.9925219185146983,"[[  16  192]
 [  29 3849]]",0.9929705805779745,0.926530612244898,0.06643996833307653,0.9330896910415976,0.9951179820992677,0.9424083769633508,0.05270960513591694,0.9575631346003645,0.763265306122449,0.19429782847791544
19,0.9456681350954479,0.972019158053945,0.5163942555639306,0.9943269726663229,"[[   8  200]
 [  22 3856]]",0.9953125,0.9512195121951219,0.044092987804878137,0.9556993529118963,0.996199782844734,0.9587628865979382,0.0374368962467958,0.9567708333333333,0.7723577235772358,0.1844131097560976
