seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9437102300538424,0.9709155285786546,0.5358370194787163,0.9899432697266632,"[[  17  191]
 [  39 3839]]",0.9927310488058152,0.8803418803418803,0.11238916846393487,0.8867878982941744,0.994054054054054,0.9044943820224719,0.0895596720315821,0.956386292834891,0.7350427350427351,0.22134355779215587
1,0.94640234948605,0.9723449930546787,0.5372552763121355,0.9927797833935018,"[[  17  191]
 [  28 3850]]",0.992240041386446,0.9318181818181818,0.06042185956826418,0.9391056024267702,0.9946106170843438,0.9520958083832335,0.04251480870111035,0.9573202276254527,0.7545454545454545,0.20277477307999814
2,0.9429760156632403,0.9705249841872233,0.535450222160511,0.9891696750902527,"[[  17  191]
 [  42 3836]]",0.9916514479519958,0.8932806324110671,0.09837081554092864,0.9008010165829047,0.9929386203150462,0.9183673469387755,0.07457127337627067,0.9553874249934777,0.7549407114624506,0.20044671353102717
3,0.9412628487518355,0.9695894576786618,0.5413724362280319,0.9865910263022176,"[[  20  188]
 [  52 3826]]",0.9890568004168838,0.8790322580645161,0.1100245423523677,0.8887581155035861,0.9905071874152428,0.9109947643979057,0.07951242301733707,0.9533611255862429,0.7540322580645161,0.19932886752172674
4,0.9437102300538424,0.9709228824273071,0.5335621057642718,0.9902011346054668,"[[  16  192]
 [  38 3840]]",0.9937467430953622,0.8790322580645161,0.11471448503084603,0.8845636618908267,0.994028230184582,0.9175257731958762,0.07650245698870572,0.9546638874413758,0.7741935483870968,0.180470339054279
5,0.9449339207048458,0.9715944956444894,0.5273820268179474,0.9922640536358948,"[[  13  195]
 [  30 3848]]",0.993260756868844,0.9254385964912281,0.0678221603776159,0.9317176683880892,0.9943335132218025,0.9476744186046512,0.04665909461715134,0.9564541213063764,0.75,0.20645412130637641
6,0.942486539402839,0.9702794991779435,0.5306425298528186,0.9891696750902527,"[[  15  193]
 [  42 3836]]",0.9887904066736184,0.944,0.044790406673618444,0.9547018191405219,0.9907583582495243,0.9597989949748744,0.030959363274649876,0.9525547445255474,0.788,0.16455474452554741
7,0.9446891825746452,0.9714430123831186,0.5340778355218788,0.9912325941206808,"[[  16  192]
 [  34 3844]]",0.9911688311688311,0.9322033898305084,0.05896544133832271,0.9405091852325622,0.9935029778018408,0.9456521739130435,0.047850803888797366,0.9558441558441558,0.7627118644067796,0.1931322914373762
8,0.9466470876162506,0.9724538792014152,0.5442089498948705,0.9922640536358948,"[[  20  188]
 [  30 3848]]",0.992983367983368,0.9033613445378151,0.08962202344555281,0.9097446882443111,0.9943380965219736,0.9467455621301775,0.047592534391796115,0.9599792099792099,0.7310924369747899,0.22888677300442006
9,0.9468918257464513,0.9725837018319645,0.5443378823342722,0.9925219185146983,"[[  20  188]
 [  29 3849]]",0.9942857142857143,0.885593220338983,0.1086924939467313,0.8906828365478278,0.9959338574139334,0.9259259259259259,0.07000793148800744,0.9561038961038961,0.7966101694915254,0.1594937266123707
10,0.9439549681840431,0.971067593177511,0.5291412107747847,0.9909747292418772,"[[  14  194]
 [  35 3843]]",0.9914241164241164,0.9327731092436975,0.058651007180418935,0.9408416577640231,0.9934906427990235,0.9424083769633508,0.05108226583567277,0.9542619542619543,0.7773109243697479,0.17695102989220635
11,0.9459128732256485,0.97207833228048,0.5392723251477765,0.9920061887570912,"[[  18  190]
 [  31 3847]]",0.9916818299974006,0.9288702928870293,0.06281153711037135,0.9366616033385062,0.9937669376693767,0.9574468085106383,0.03632012915873839,0.9555497790486093,0.7907949790794979,0.16475479996911135
12,0.9380812530592266,0.9679056196879361,0.5351464870869203,0.983754512635379,"[[  18  190]
 [  63 3815]]",0.98563593627579,0.8988326848249028,0.0868032514508873,0.9119317303112222,0.9866920152091255,0.9285714285714286,0.058120586637696925,0.9503786889527291,0.754863813229572,0.19551487572315718
13,0.9454233969652471,0.9718185264754202,0.5390144602689729,0.9914904589994843,"[[  18  190]
 [  33 3845]]",0.9932485068813295,0.8936170212765957,0.09963148560473378,0.8996912807676262,0.9937888198757764,0.9428571428571428,0.05093167701863355,0.9563749675408985,0.7659574468085106,0.19041752073238782
14,0.9429760156632403,0.9705622236260266,0.524075653588289,0.9904589994842703,"[[  12  196]
 [  37 3841]]",0.9906176700547302,0.9477911646586346,0.04282650539609567,0.9567678765575325,0.99185667752443,0.9639175257731959,0.02793915175123407,0.9538702111024238,0.7751004016064257,0.17876980949599808
15,0.9402838962310328,0.969137364027321,0.5203824830404252,0.9878803506962351,"[[  11  197]
 [  47 3831]]",0.9914129586260734,0.897119341563786,0.09429361706228734,0.9048896665694566,0.9918633034987795,0.9109947643979057,0.08086853910087377,0.9523809523809523,0.7489711934156379,0.20340975896531444
16,0.9439549681840431,0.9711041009463722,0.5177666422025627,0.9922640536358948,"[[   9  199]
 [  30 3848]]",0.9929650859822824,0.9516129032258065,0.0413521827564759,0.9583548471741394,0.994028230184582,0.9587628865979382,0.035265343586643794,0.9554455445544554,0.7661290322580645,0.1893165122963909
17,0.9412628487518355,0.9696663296258847,0.518623299083588,0.9891696750902527,"[[  10  198]
 [  42 3836]]",0.9927385892116183,0.8956521739130435,0.09708641529857476,0.9022034437326791,0.9935275080906149,0.8941176470588236,0.09940986103179128,0.9564315352697096,0.6869565217391305,0.2694750135305791
18,0.9451786588350465,0.9717028802425467,0.5343357004006823,0.9917483238782878,"[[  16  192]
 [  32 3846]]",0.9921895339755272,0.926530612244898,0.06565892173062926,0.9338242145454351,0.9940330892324383,0.9476439790575916,0.046389110174846704,0.9562613902629523,0.7714285714285715,0.18483281883438085
19,0.9432207537934411,0.970640344216654,0.5401289820288016,0.9889118102114492,"[[  19  189]
 [  43 3835]]",0.9875,0.943089430894309,0.04441056910569108,0.9550272717917052,0.990228013029316,0.9639175257731959,0.026310487256120063,0.953125,0.7886178861788617,0.16450711382113825
