seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9451786588350465,0.9717171717171718,0.5297858729717936,0.9922640536358948,"[[  14  194]
 [  30 3848]]",0.9940290758047767,0.9102564102564102,0.08377266554836649,0.9157241296180967,0.9956756756756757,0.9213483146067416,0.07432736106893412,0.9582035306334372,0.7307692307692307,0.2274342998642065
1,0.947136563876652,0.9727341580408987,0.5376420736303408,0.9935533780299123,"[[  17  191]
 [  25 3853]]",0.9932747025349198,0.9272727272727272,0.06600197526219254,0.9335511363636364,0.995688493667475,0.9461077844311377,0.049580709236337284,0.9583548887739265,0.75,0.2083548887739265
2,0.9432207537934411,0.9706848622693959,0.5264794997421351,0.9904589994842703,"[[  13  195]
 [  37 3841]]",0.9950430472214975,0.8774703557312253,0.11757269149027216,0.8818416029149939,0.9956545355784899,0.8928571428571429,0.10279739272134703,0.9572136707539786,0.7312252964426877,0.22598837431129082
3,0.9393049437102301,0.9685438863521055,0.5403409767128179,0.9845281072717896,"[[  20  188]
 [  60 3818]]",0.9877540385617509,0.8669354838709677,0.12081855469078318,0.8776835629376877,0.989151071331706,0.8952879581151832,0.09386311321652274,0.95205836373111,0.7419354838709677,0.21012287986014222
4,0.9439549681840431,0.9710456442028069,0.535965951918118,0.9902011346054668,"[[  17  191]
 [  38 3840]]",0.9945284002084419,0.8629032258064516,0.13162517440199029,0.8676506629932306,0.995385450597177,0.8917525773195877,0.1036328732775893,0.9564877540385618,0.75,0.2064877540385618
5,0.9468918257464513,0.9726113845765493,0.5352382274764945,0.9935533780299123,"[[  16  192]
 [  25 3853]]",0.9942975635044065,0.9166666666666666,0.07763089683773983,0.9219238790406673,0.995682676740421,0.9476744186046512,0.04800825813576981,0.9580093312597201,0.7587719298245614,0.19923740143515867
6,0.9417523250122369,0.969903894790086,0.5257059051057246,0.9889118102114492,"[[  13  195]
 [  43 3835]]",0.9908759124087592,0.916,0.07487591240875913,0.9244346224677716,0.9921174232128296,0.9296482412060302,0.062469182006799406,0.9530761209593326,0.768,0.18507612095933257
7,0.9419970631424376,0.9700492859850879,0.5212850101162376,0.9896854048478597,"[[  11  197]
 [  40 3838]]",0.9906493506493507,0.9364406779661016,0.054208672683249026,0.9452796565730182,0.9924201407688142,0.9347826086956522,0.05763753207316202,0.9542857142857143,0.7415254237288136,0.2127602905569007
8,0.9454233969652471,0.9718185264754202,0.5390144602689729,0.9914904589994843,"[[  18  190]
 [  33 3845]]",0.9924636174636174,0.907563025210084,0.08490059225353341,0.9144547056843162,0.9937988676193044,0.9408284023668639,0.052970465252440424,0.9594594594594594,0.7184873949579832,0.24097206450147624
9,0.9481155163974547,0.9732458354366482,0.5404327171023922,0.9943269726663229,"[[  18  190]
 [  22 3856]]",0.9979220779220779,0.864406779661017,0.1335152982610609,0.8662066896655168,0.9991867714827867,0.8994708994708994,0.09971587201188725,0.9587012987012987,0.7754237288135594,0.18327756988773936
10,0.9451786588350465,0.9717028802425467,0.5343357004006823,0.9917483238782878,"[[  16  192]
 [  32 3846]]",0.9924636174636174,0.9201680672268907,0.07229555023672674,0.9271554654854872,0.9937618660157309,0.9528795811518325,0.040882284863898444,0.9537422037422038,0.8067226890756303,0.14701951466657348
11,0.94640234948605,0.9723589549413102,0.5327054488832468,0.9932955131511089,"[[  15  193]
 [  26 3852]]",0.9948011437483754,0.9121338912133892,0.08266725253498619,0.9169007262863622,0.9959349593495935,0.9414893617021277,0.054445597647465815,0.9565895502989342,0.7824267782426778,0.1741627720562564
12,0.9383259911894273,0.968012185833968,0.5421001606696553,0.983238782877772,"[[  21  187]
 [  65 3813]]",0.9840689475058763,0.9027237354085603,0.08134521209731593,0.9173378935454823,0.9856056491037479,0.9387755102040817,0.04683013889966625,0.9498563593627579,0.7665369649805448,0.18331939438221312
13,0.9466470876162506,0.9724538792014152,0.5442089498948705,0.9922640536358948,"[[  20  188]
 [  30 3848]]",0.9942871981303557,0.8808510638297873,0.11343613430056843,0.885912104154743,0.9948690251147718,0.9371428571428572,0.057726167971914655,0.9574136587899247,0.7702127659574468,0.18720089283247787
14,0.9461576113558492,0.9722432500630834,0.5280266890149562,0.9935533780299123,"[[  13  195]
 [  25 3853]]",0.9953088350273651,0.9196787148594378,0.07563012016792736,0.9240134142224831,0.995928338762215,0.9484536082474226,0.04747473051479234,0.9569976544175137,0.7791164658634538,0.17788118855405988
15,0.9351443954968184,0.9663748255297551,0.5222247292418772,0.9819494584837545,"[[  13  195]
 [  70 3808]]",0.9859484777517564,0.8806584362139918,0.10529004153776467,0.8932093877989893,0.9864388391646325,0.8952879581151832,0.09115088104944924,0.9474368982565704,0.7407407407407407,0.2066961575158297
16,0.9444444444444444,0.9713275230516609,0.5293990756535883,0.9914904589994843,"[[  14  194]
 [  33 3845]]",0.9924439812402293,0.9274193548387096,0.06502462640151963,0.9344803055581432,0.993756786102063,0.9484536082474226,0.04530317785464033,0.9554455445544554,0.7741935483870968,0.18125199616735865
