seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960539979231568,0.7606837606837606,0.19985621854780733
1,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9599068804966373,0.759090909090909,0.20081597140572827
2,0.9412628487518355,0.9696279422930904,0.5299978676558099,0.9878803506962351,"[[  15  193]
 [  47 3831]]",0.9893034176884946,0.9169960474308301,0.07230737025766454,0.9269108253698238,0.9907658881042911,0.9336734693877551,0.05709241871653603,0.9535611792329768,0.7549407114624506,0.19862046777052622
3,0.9419970631424376,0.970034138323429,0.5258348375451263,0.9891696750902527,"[[  13  195]
 [  42 3836]]",0.9927045336112559,0.8911290322580645,0.10157550135319138,0.8976780120226907,0.9934906427990235,0.9057591623036649,0.08773148049535862,0.9554455445544554,0.7338709677419355,0.2215745768125199
4,0.9412628487518355,0.9696202531645569,0.5322727813702542,0.9876224858174316,"[[  16  192]
 [  48 3830]]",0.9898384575299636,0.8991935483870968,0.09064490914286683,0.9084245429612207,0.991585233441911,0.9123711340206185,0.07921409942129243,0.953882230328296,0.7459677419354839,0.20791448839281212
5,0.9446891825746452,0.9714934409687185,0.5181534395207681,0.9930376482723053,"[[   9  199]
 [  27 3851]]",0.9948159668221876,0.9298245614035088,0.06499140541867887,0.9346699212857574,0.995682676740421,0.936046511627907,0.05963616511251402,0.9574909279419388,0.7280701754385965,0.22942075250334226
6,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9590719499478624,0.796,0.16307194994786234
7,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9594805194805195,0.7796610169491526,0.17981950253136691
8,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9638773388773388,0.7100840336134454,0.25379330526389343
9,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9581818181818181,0.8008474576271186,0.15733436055469951
10,0.9429760156632403,0.9705696602248326,0.5218007398738446,0.9907168643630737,"[[  11  197]
 [  36 3842]]",0.9927234927234927,0.9201680672268907,0.07255542549660199,0.926912754630648,0.9934906427990235,0.93717277486911,0.056317867929913557,0.952962577962578,0.7815126050420168,0.1714499729205612
11,0.9476260401370533,0.9730274766826317,0.5265253699369223,0.9953584321815369,"[[  12  196]
 [  18 3860]]",0.9968806862490253,0.9246861924686193,0.07219449378040599,0.9275796042833842,0.9978319783197832,0.9468085106382979,0.05102346768148536,0.9581492071744216,0.7782426778242678,0.17990652935015383
12,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9616087751371115,0.7626459143968871,0.1989628607402244
13,0.9437102300538424,0.9709375789739703,0.529012278335383,0.9907168643630737,"[[  14  194]
 [  36 3842]]",0.991171124383277,0.9319148936170213,0.059256230766255746,0.9402159432326825,0.992708614636781,0.9485714285714286,0.04413718606535233,0.9563749675408985,0.7361702127659574,0.22020475477494106
14,0.9481155163974547,0.9732997481108313,0.522233407386837,0.9963898916967509,"[[  10  198]
 [  14 3864]]",0.9981756580661976,0.9317269076305221,0.06644875043567544,0.9334298027619617,0.998914223669924,0.9484536082474226,0.050460615422501354,0.9598644774563461,0.7670682730923695,0.1927962043639766
15,0.9415075868820362,0.9697123305031048,0.543776282381878,0.9865910263022176,"[[  21  187]
 [  52 3826]]",0.989591465001301,0.8641975308641975,0.12539393413710354,0.8732871709469132,0.99077841063195,0.9057591623036649,0.08501924832828511,0.9521207390059849,0.7736625514403292,0.17845818756565568
16,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9598749348619072,0.782258064516129,0.17761687034577822
17,0.9444444444444444,0.9712839974699558,0.5430485579402548,0.9899432697266632,"[[  20  188]
 [  39 3839]]",0.9929979253112033,0.8608695652173913,0.13212836009381201,0.8669399434521444,0.994066882416397,0.9,0.09406688241639694,0.9572095435684648,0.7304347826086957,0.22677476095976912
18,0.9444444444444444,0.9713347644904661,0.5271241619391439,0.9917483238782878,"[[  13  195]
 [  32 3846]]",0.9924498828430096,0.9346938775510204,0.05775600529198921,0.9418046127160203,0.9943043124491456,0.9424083769633508,0.05189593548579485,0.9565217391304348,0.7551020408163265,0.20141969831410833
19,0.9368575624082232,0.9672837940654325,0.5254021700321339,0.9834966477565755,"[[  14  194]
 [  64 3814]]",0.9833333333333333,0.943089430894309,0.040243902439024315,0.9590739975196363,0.9850705754614549,0.9536082474226805,0.03146232803877447,0.9473958333333333,0.7723577235772358,0.17503810975609757
