seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960539979231568,0.7606837606837606,0.19985621854780733
1,0.9493392070484582,0.9740047720708275,0.5024038461538461,1.0,"[[   1  207]
 [   0 3878]]",1.0,0.9954545454545455,0.004545454545454519,0.9954545454545455,1.0,1.0,0.0,0.9599068804966373,0.7636363636363637,0.19627051686027364
2,0.9439549681840431,0.971067593177511,0.5291412107747847,0.9909747292418772,"[[  14  194]
 [  35 3843]]",0.9958257239759979,0.8695652173913043,0.12626050658469357,0.8732102379514984,0.9967409016838674,0.8826530612244898,0.11408784045937759,0.9585181320114793,0.7233201581027668,0.23519797390871244
3,0.94640234948605,0.972421609369097,0.5122312254532472,0.9956162970603404,"[[   6  202]
 [  17 3861]]",0.9994788952579469,0.9153225806451613,0.08415631461278561,0.9157998082680211,0.9997287767832926,0.9162303664921466,0.08349841029114602,0.960656591974987,0.7258064516129032,0.23485014036208374
4,0.9476260401370533,0.9730749874182184,0.5106009739358115,0.9971634863331614,"[[   5  203]
 [  11 3867]]",0.9989577905158937,0.9516129032258065,0.047344887290087234,0.9526057179396571,0.998914223669924,0.9639175257731959,0.0349966978967281,0.958832725377801,0.7741935483870968,0.1846391769907042
5,0.9486049926578561,0.973604826546003,0.5065668762645297,0.9987106756059825,"[[   3  205]
 [   5 3873]]",0.9997407983411094,0.9692982456140351,0.0304425527270743,0.9695495544669296,0.9997301672962763,0.9767441860465116,0.022985981249764698,0.9603421461897356,0.75,0.21034214618973557
6,0.9439549681840431,0.9710309930423782,0.5405157793470068,0.9896854048478597,"[[  19  189]
 [  40 3838]]",0.9945255474452555,0.848,0.14652554744525548,0.8526678899082569,0.9956509921174233,0.8793969849246231,0.1162540071928001,0.9562043795620438,0.756,0.20020437956204384
7,0.9493392070484582,0.9740047720708275,0.5024038461538461,1.0,"[[   1  207]
 [   0 3878]]",1.0,0.9957627118644068,0.004237288135593209,0.9957627118644068,1.0,1.0,0.0,0.9594805194805195,0.7838983050847458,0.1755822143957737
8,0.9486049926578561,0.9736180904522613,0.5020170488356409,0.9992264053635895,"[[   1  207]
 [   3 3875]]",1.0,0.9831932773109243,0.01680672268907568,0.9831932773109243,1.0,0.9822485207100592,0.017751479289940808,0.9638773388773388,0.7016806722689075,0.26219666660843133
9,0.9488497307880568,0.9737536104483235,0.49987106756059824,0.9997421351211965,"[[   0  208]
 [   1 3877]]",1.0,0.9957627118644068,0.004237288135593209,0.9957627118644068,1.0,0.9947089947089947,0.005291005291005346,0.9581818181818181,0.7966101694915254,0.16157164869029272
