seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.94640234948605,0.9723659305993692,0.5304305351688022,0.9935533780299123,"[[  14  194]
 [  25 3853]]",0.9935098650051921,0.9401709401709402,0.053338924834251955,0.9463126369319209,0.9954054054054055,0.9550561797752809,0.04034922563012455,0.9582035306334372,0.7521367521367521,0.2060667784966851
1,0.9454233969652471,0.9718469890165383,0.5299148054111953,0.9925219185146983,"[[  14  194]
 [  29 3849]]",0.9932747025349198,0.9227272727272727,0.07054742980764706,0.9289749053030303,0.9948800862301267,0.9401197604790419,0.054760325751084804,0.9568028970512157,0.7454545454545455,0.2113483515966702
2,0.9417523250122369,0.969873417721519,0.5348055599635022,0.9878803506962351,"[[  17  191]
 [  47 3831]]",0.991912340203496,0.8695652173913043,0.12234712281219162,0.876655307275347,0.9932102118413906,0.8877551020408163,0.10545510980057426,0.9556483172449778,0.7312252964426877,0.22442302080229004
3,0.9419970631424376,0.9699810006333122,0.5417592335462371,0.9873646209386282,"[[  20  188]
 [  49 3829]]",0.9900990099009901,0.875,0.11509900990099009,0.88375,0.9913208570653648,0.9109947643979057,0.08032609266745905,0.953882230328296,0.7580645161290323,0.19581771419926375
4,0.9417523250122369,0.969873417721519,0.5348055599635022,0.9878803506962351,"[[  17  191]
 [  47 3831]]",0.9940072954663888,0.8346774193548387,0.15932987611155003,0.8397095505855494,0.994299674267101,0.865979381443299,0.12832029282380197,0.9549244398124023,0.7379032258064516,0.21702121400595065
5,0.9454233969652471,0.9718469890165383,0.5299148054111953,0.9925219185146983,"[[  14  194]
 [  29 3849]]",0.9930015552099534,0.9298245614035088,0.06317699380644459,0.9363777493852092,0.9943335132218025,0.9534883720930233,0.04084514112877924,0.956713322965267,0.7543859649122807,0.2023273580529863
6,0.9427312775330396,0.9704097116843702,0.5307714622922204,0.9894275399690562,"[[  15  193]
 [  41 3837]]",0.9895724713242962,0.936,0.0535724713242961,0.9458630136986301,0.9915737972275075,0.949748743718593,0.04182505350891452,0.9533368091762252,0.78,0.17333680917622518
7,0.9415075868820362,0.9697812618535846,0.5233020589518785,0.9889118102114492,"[[  12  196]
 [  43 3835]]",0.9911688311688311,0.9110169491525424,0.08015188201628876,0.9191339764772768,0.9929615592853276,0.907608695652174,0.08535286363315364,0.9548051948051948,0.7245762711864406,0.23022892361875413
8,0.9449339207048458,0.9715513971424958,0.5410315091046137,0.9907168643630737,"[[  19  189]
 [  36 3842]]",0.9922037422037422,0.8949579831932774,0.09724575901046484,0.9019901307825383,0.9935292531679698,0.9289940828402367,0.06453517032773315,0.9591995841995842,0.7142857142857143,0.24491386991386987
9,0.9481155163974547,0.9732458354366482,0.5404327171023922,0.9943269726663229,"[[  18  190]
 [  22 3856]]",0.9966233766233766,0.885593220338983,0.11103015628439361,0.8885936664855576,0.9981024667931688,0.9206349206349206,0.07746754615824825,0.957922077922078,0.788135593220339,0.16978648470173896
10,0.9446891825746452,0.9714285714285714,0.5386276629507677,0.9907168643630737,"[[  18  190]
 [  36 3842]]",0.9911642411642412,0.9159663865546218,0.07519785460961936,0.924131792202985,0.9932194195823163,0.9424083769633508,0.05081104261896552,0.954002079002079,0.7941176470588235,0.15988443194325552
11,0.947136563876652,0.9727616645649432,0.5285424187725631,0.9945848375451264,"[[  13  195]
 [  21 3857]]",0.9945412009357941,0.9456066945606695,0.04893450637512464,0.9507969038094343,0.9962059620596206,0.9627659574468085,0.03344000461281216,0.9573693787366779,0.7824267782426778,0.17494260049400012
12,0.942486539402839,0.9702569295025947,0.5374672709961519,0.9883960804538422,"[[  18  190]
 [  45 3833]]",0.9895534082005746,0.9105058365758755,0.07904757162469911,0.9201179330295665,0.9904942965779467,0.9489795918367347,0.041514704741211994,0.9537738312875425,0.77431906614786,0.1794547651396825
13,0.9459128732256485,0.9720642143850335,0.5438221525766652,0.9914904589994843,"[[  20  188]
 [  33 3845]]",0.9942871981303557,0.8680851063829788,0.12620209174737695,0.8730727982974279,0.9945989738050229,0.9257142857142857,0.06888468809073722,0.9568943131654116,0.7659574468085106,0.190936866356901
14,0.9429760156632403,0.9705622236260266,0.524075653588289,0.9904589994842703,"[[  12  196]
 [  37 3841]]",0.9903570497784727,0.9518072289156626,0.038549820862810114,0.9610748256182625,0.991585233441911,0.9690721649484536,0.022513068493457356,0.9536095908261663,0.7791164658634538,0.1744931249627124
15,0.9400391581008322,0.9689834156222306,0.5270782917443567,0.9868488911810211,"[[  14  194]
 [  51 3827]]",0.9903721051262034,0.8847736625514403,0.10559844257476314,0.8933749829703587,0.9910496338486574,0.9057591623036649,0.08529047154499247,0.9518605256310174,0.7530864197530864,0.19877410587793098
16,0.9434654919236417,0.9708370155283422,0.5197836910382038,0.9914904589994843,"[[  10  198]
 [  33 3845]]",0.991401771756123,0.9596774193548387,0.03172435240128424,0.96800050866856,0.992942453854506,0.9639175257731959,0.029024928081310075,0.9549244398124023,0.7661290322580645,0.18879540755433777
17,0.9429760156632403,0.9705622236260266,0.524075653588289,0.9904589994842703,"[[  12  196]
 [  37 3841]]",0.9935165975103735,0.8956521739130435,0.09786442359732994,0.9014969414274852,0.9943365695792881,0.9058823529411765,0.0884542166381116,0.9572095435684648,0.7043478260869566,0.2528617174815082
18,0.9441997063142438,0.9711902956785442,0.5315450569286309,0.9909747292418772,"[[  15  193]
 [  35 3843]]",0.9919291851080447,0.9224489795918367,0.06948020551620804,0.9299544699769672,0.9940330892324383,0.9319371727748691,0.06209591645756918,0.9565217391304348,0.7510204081632653,0.2055013309671695
19,0.9444444444444444,0.9712912609080563,0.5407736442258103,0.9902011346054668,"[[  19  189]
 [  38 3840]]",0.9895833333333334,0.9308943089430894,0.05868902439024393,0.9406931964056482,0.991585233441911,0.9639175257731959,0.02766770766871507,0.9536458333333333,0.8008130081300813,0.15283282520325203
