seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9466470876162506,0.9724469160768453,0.5464838636093149,0.9920061887570912,"[[  21  187]
 [  31 3847]]",0.9955867082035307,0.8504273504273504,0.14515935777618028,0.8541971717982147,0.9964864864864865,0.898876404494382,0.09761008199210452,0.9582035306334372,0.7564102564102564,0.20179327422318083
1,0.9461576113558492,0.9722222222222221,0.5348514301582893,0.9927797833935018,"[[  16  192]
 [  28 3850]]",0.9948266942576306,0.8909090909090909,0.10391760334853972,0.8955420034983217,0.9967663702506063,0.9041916167664671,0.09257475348413924,0.9588722193481635,0.7227272727272728,0.2361449466208907
2,0.9439549681840431,0.9710383204755281,0.5382408656325623,0.9899432697266632,"[[  18  190]
 [  39 3839]]",0.9945212627184973,0.857707509881423,0.1368137528370743,0.862432551252753,0.9956545355784899,0.8826530612244898,0.1130014743540001,0.9577354552569789,0.7351778656126482,0.2225575896443307
3,0.9432207537934411,0.9706105903217634,0.5492286368865792,0.9878803506962351,"[[  23  185]
 [  47 3831]]",0.9934861907243356,0.8185483870967742,0.1749378036275614,0.8239152136578598,0.9956604285326824,0.837696335078534,0.1579640934541484,0.958832725377801,0.7016129032258065,0.25721982215199446
4,0.9419970631424376,0.9699657838043341,0.546309060975126,0.9868488911810211,"[[  22  186]
 [  51 3827]]",0.9945284002084419,0.7903225806451613,0.20420581956328065,0.7946707006853887,0.995114006514658,0.8298969072164949,0.16521709929816308,0.9559666492965087,0.7258064516129032,0.2301601976836054
5,0.94640234948605,0.9722960151802656,0.5531796723132463,0.9909747292418772,"[[  24  184]
 [  35 3843]]",0.9927423535510628,0.8640350877192983,0.1287072658317645,0.8703517933214237,0.9954128440366973,0.8953488372093024,0.10006400682739491,0.9590461378952825,0.7324561403508771,0.22658999754440534
6,0.9434654919236417,0.9707853800429999,0.5357080870393145,0.9896854048478597,"[[  17  191]
 [  40 3838]]",0.9950469238790407,0.848,0.14704692387904073,0.8522211160597327,0.9956509921174233,0.8793969849246231,0.1162540071928001,0.9556830031282586,0.756,0.1996830031282586
7,0.9422418012726382,0.970126582278481,0.5373383385567501,0.9881382155750387,"[[  18  190]
 [  46 3832]]",0.9937662337662337,0.8305084745762712,0.16325775918996255,0.8357181461366033,0.9951272333513806,0.8478260869565217,0.14730114639485892,0.9563636363636364,0.711864406779661,0.2444992295839754
8,0.9441997063142438,0.9711757269279393,0.5360948843575198,0.9904589994842703,"[[  17  191]
 [  37 3841]]",0.9955821205821206,0.8445378151260504,0.15104430545607017,0.8482854379026473,0.9964950121326503,0.8579881656804734,0.13850684645217692,0.9615384615384616,0.6638655462184874,0.2976729153199742
9,0.9417523250122369,0.9698886639676113,0.5302557325346133,0.9883960804538422,"[[  15  193]
 [  45 3833]]",0.9955844155844156,0.8177966101694916,0.177787805414924,0.8214236757507286,0.9967470859311467,0.8253968253968254,0.17135026053432134,0.9563636363636364,0.7033898305084746,0.2529738058551618
