seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960539979231568,0.7606837606837606,0.19985621854780733
1,0.9481155163974547,0.9733467437767162,0.5063090113857261,0.9981949458483754,"[[   3  205]
 [   7 3871]]",0.9974133471288154,1.0,-0.002586652871184647,1.0025933609958506,0.9981137159795204,1.0,-0.0018862840204796338,0.9588722193481635,0.759090909090909,0.19978131025725443
2,0.9380812530592266,0.967848519506926,0.5510708830880311,0.9819494584837545,"[[  25  183]
 [  70 3808]]",0.9840855726584921,0.8656126482213439,0.11847292443714819,0.8796111560531312,0.9853340575774036,0.9183673469387755,0.06696671063862802,0.9483433342029741,0.782608695652174,0.16573463855080017
3,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960656591974987,0.7701612903225806,0.19049530165240636
4,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9598749348619072,0.782258064516129,0.17761687034577822
5,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9606013478486263,0.7543859649122807,0.20621538293634556
6,0.9400391581008322,0.9690382914191837,0.5111538957432459,0.9886539453326457,"[[   7  201]
 [  44 3834]]",0.9898331595411888,0.952,0.03783315954118882,0.9617782459836712,0.9904865452568633,0.9547738693467337,0.03571267591012961,0.9509906152241918,0.772,0.1789906152241918
7,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9594805194805195,0.7796610169491526,0.17981950253136691
8,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9638773388773388,0.7100840336134454,0.25379330526389343
9,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9581818181818181,0.8008474576271186,0.15733436055469951
10,0.9346549192364171,0.966138237159163,0.5151421232197406,0.982207323362558,"[[  10  198]
 [  69 3809]]",0.9862266112266113,0.8907563025210085,0.0954703087056028,0.9031963773651753,0.9861676159479251,0.9057591623036649,0.08040845364426019,0.9454261954261954,0.7605042016806722,0.1849219937455232
11,0.9405286343612335,0.9692599620493358,0.5227863291942715,0.9878803506962351,"[[  12  196]
 [  47 3831]]",0.9893423446841695,0.9246861924686193,0.06465615221555021,0.9346473416780815,0.9899728997289973,0.9468085106382979,0.04316438909069942,0.9506108656095659,0.7782426778242678,0.17236818778529805
12,0.9415075868820362,0.969743005443727,0.5346766275241004,0.9876224858174316,"[[  17  191]
 [  48 3830]]",0.9898145729955602,0.8988326848249028,0.09098188817065744,0.9080818865948688,0.9904942965779467,0.9336734693877551,0.05682082719019166,0.9535126664925568,0.7626459143968871,0.19086675209566972
13,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9615684237860296,0.7446808510638298,0.21688757272219983
14,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9601250977326036,0.7791164658634538,0.18100863186914973
15,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9594067135050741,0.7860082304526749,0.17339848305239924
16,0.9363680861478219,0.9669799339598679,0.5365188737255524,0.981691593604951,"[[  19  189]
 [  71 3807]]",0.9817613340281397,0.9193548387096774,0.06240649531846232,0.9364341483460036,0.9837133550488599,0.9432989690721649,0.040414385976695,0.9468473163105784,0.7741935483870968,0.17265376792348164
17,0.9459128732256485,0.9722047541189788,0.4983238782877772,0.9966477565755544,"[[   0  208]
 [  13 3865]]",0.9971473029045643,0.991304347826087,0.005842955078477319,0.9941403290552383,0.9970334412081985,0.9882352941176471,0.008798147090551378,0.9587655601659751,0.7304347826086957,0.22833077755727949
18,0.9373470386686246,0.9675620881905728,0.5211102074820487,0.9845281072717896,"[[  12  196]
 [  60 3818]]",0.984118719083572,0.9551020408163265,0.02901667826724541,0.9705150631681244,0.9858963927312178,0.9581151832460733,0.02778120948514451,0.948711273105962,0.7591836734693878,0.18952759963657428
19,0.9368575624082232,0.9672505712109672,0.5345018248899116,0.9824651882413615,"[[  18  190]
 [  68 3810]]",0.98671875,0.8577235772357723,0.12899517276422767,0.8692685501676869,0.988056460369164,0.8762886597938144,0.11176780057534952,0.9497395833333333,0.7357723577235772,0.21396722560975612
