seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9334312285854136,0.9654032052912745,0.5349716844527315,0.978597215059309,"[[  19  189]
 [  83 3795]]",0.980269989615784,0.8888888888888888,0.0913811007268952,0.9067796610169491,0.9824324324324324,0.898876404494382,0.08355602793805039,0.946521287642783,0.717948717948718,0.22857256969406503
1,0.9361233480176211,0.9668318719024018,0.5409397687150395,0.9809179989685405,"[[  21  187]
 [  74 3804]]",0.983445421624418,0.8590909090909091,0.12435451253350882,0.8735521974080628,0.9851791969819456,0.8862275449101796,0.09895165207176593,0.9480082772891878,0.7272727272727273,0.2207355500164605
2,0.9429760156632403,0.9705249841872233,0.535450222160511,0.9891696750902527,"[[  17  191]
 [  42 3836]]",0.9937385859639969,0.8616600790513834,0.13207850691261347,0.8670892840650966,0.9945681694731124,0.8877551020408163,0.10681306743229613,0.9564309939994782,0.7391304347826086,0.21730055921686953
3,0.9380812530592266,0.967864854566239,0.5465210556591423,0.9824651882413615,"[[  23  185]
 [  68 3810]]",0.9882751433038041,0.8145161290322581,0.17375901427154594,0.824179515746324,0.9902359641985354,0.8324607329842932,0.1577752312142422,0.9536216779572694,0.6975806451612904,0.256041032795979
4,0.9366128242780225,0.967102756255557,0.5389227198793985,0.981691593604951,"[[  20  188]
 [  71 3807]]",0.9906201146430432,0.7782258064516129,0.21239430819143035,0.7855945936773515,0.990770901194354,0.8092783505154639,0.18149255067889003,0.9515372589890568,0.7056451612903226,0.2458920976987342
5,0.9417523250122369,0.9698581560283689,0.539355387392391,0.9873646209386282,"[[  19  189]
 [  49 3829]]",0.9891135303265941,0.8859649122807017,0.10314861804589237,0.8957160984221559,0.9905558553696708,0.9186046511627907,0.07195120420688017,0.9533437013996889,0.7456140350877193,0.20772966631196965
6,0.9317180616740088,0.9644993001654155,0.5295193299480303,0.9773078906652913,"[[  17  191]
 [  88 3790]]",0.9835766423357665,0.832,0.1515766423357665,0.8458923933209647,0.9850502854036423,0.8341708542713567,0.15087943113228552,0.9468196037539103,0.7,0.24681960375391032
7,0.9405286343612335,0.9692521827154245,0.5250612429087158,0.9876224858174316,"[[  13  195]
 [  48 3830]]",0.9911688311688311,0.885593220338983,0.10557561082984812,0.8934837259709342,0.9926908500270709,0.8858695652173914,0.10682128480967956,0.9542857142857143,0.7161016949152542,0.23818401937046008
8,0.9434654919236417,0.9708296502083597,0.5220586047526481,0.9912325941206808,"[[  11  197]
 [  34 3844]]",0.9916839916839917,0.9453781512605042,0.04630584042348751,0.9533058506421436,0.992720409813966,0.9585798816568047,0.03414052815716129,0.9581600831600832,0.7058823529411765,0.25227773021890665
9,0.9344101811062163,0.9659725749111224,0.5241128456381163,0.9809179989685405,"[[  14  194]
 [  74 3804]]",0.9820779220779221,0.9194915254237288,0.0625863966541933,0.936271455403691,0.9829222011385199,0.9417989417989417,0.041123259339578166,0.9433766233766234,0.788135593220339,0.15524103015628443
