seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9368575624082232,0.9672422549517522,0.5367767386043559,0.982207323362558,"[[  19  189]
 [  69 3809]]",0.9846832814122534,0.8760683760683761,0.1086149053438773,0.889695593096595,0.9862162162162162,0.898876404494382,0.08733981172183425,0.9493769470404985,0.7307692307692307,0.21860771627126774
1,0.929270680372002,0.9632362294873426,0.5145805232673464,0.9762764311500773,"[[  11  197]
 [  92 3786]]",0.9774961200206932,0.9272727272727272,0.050223392747965945,0.948620366138228,0.9787119374831582,0.9221556886227545,0.05655624886040367,0.9415416451112261,0.7136363636363636,0.22790528147486244
2,0.9390602055800293,0.9684290604792696,0.5356622168445273,0.984785972150593,"[[  18  190]
 [  59 3819]]",0.990086094442995,0.8458498023715415,0.1442362920714535,0.8543194446614278,0.9921238457360131,0.8469387755102041,0.14518507022580895,0.9553874249934777,0.691699604743083,0.2636878202503947
3,0.9297601566324033,0.9634627625716105,0.5239380430039275,0.9757607013924704,"[[  15  193]
 [  94 3784]]",0.9781136008337676,0.8991935483870968,0.07892005244667089,0.9193140220324126,0.9780309194467046,0.9319371727748691,0.04609374667183552,0.940333507034914,0.7661290322580645,0.17420447477684953
4,0.9300048947626041,0.963603970475948,0.5217920617288848,0.9762764311500773,"[[  14  194]
 [  92 3786]]",0.9841063053673789,0.8185483870967742,0.16555791827060462,0.8317682577912151,0.9845276872964169,0.8195876288659794,0.16494005843043757,0.9460656591974987,0.6814516129032258,0.264614046294273
5,0.9383259911894273,0.9679878048780487,0.5489249018129885,0.9824651882413615,"[[  24  184]
 [  68 3810]]",0.9844479004665629,0.8596491228070176,0.12479877765954539,0.8732296776696877,0.9862385321100917,0.9011627906976745,0.08507574141241725,0.9497148781752203,0.7456140350877193,0.20410084308750098
6,0.9346549192364171,0.9660780078770168,0.5310665192208514,0.9804022692109334,"[[  17  191]
 [  76 3802]]",0.9786235662148071,0.956,0.0226235662148071,0.9768822589238146,0.9804294645284044,0.9798994974874372,0.0005299670409671942,0.9429092805005214,0.808,0.1349092805005213
7,0.9226627508565834,0.9596011250319612,0.5247488296901655,0.9677668901495616,"[[  17  191]
 [ 125 3753]]",0.9677922077922078,0.923728813559322,0.044063394232885744,0.954470191144227,0.9699512723335139,0.9239130434782609,0.046038228855252994,0.934025974025974,0.7372881355932204,0.1967378384327536
8,0.9388154674498287,0.9683062880324543,0.5332583706906812,0.984785972150593,"[[  17  191]
 [  59 3819]]",0.9846673596673596,0.9285714285714286,0.05609593109593103,0.9430305772348528,0.9870585063359396,0.9349112426035503,0.052147263732389315,0.9542619542619543,0.6890756302521008,0.2651863240098534
9,0.9361233480176211,0.9668402998348368,0.5386648550005951,0.981175863847344,"[[  20  188]
 [  73 3805]]",0.9885714285714285,0.7923728813559322,0.19619854721549634,0.8015332614872147,0.989699105448631,0.8148148148148148,0.17488429063381628,0.9498701298701299,0.711864406779661,0.23800572309046886
10,0.9336759667156143,0.9655523071056311,0.5305507894632443,0.9793708096957194,"[[  17  191]
 [  80 3798]]",0.9786902286902287,0.9369747899159664,0.041715438774262315,0.9573762590538074,0.9815568212639002,0.93717277486911,0.04438404639479021,0.9441268191268192,0.7647058823529411,0.17942093677387805
11,0.937836514929026,0.9677991886409737,0.5281928135041853,0.9842702423929861,"[[  15  193]
 [  61 3817]]",0.9890824018715882,0.8577405857740585,0.1313418160975297,0.8672084187839167,0.9899728997289973,0.8723404255319149,0.11763247419708234,0.9508708084221471,0.7280334728033473,0.22283733561879981
12,0.9236417033773862,0.9601125031961135,0.5298143868766613,0.9682826199071687,"[[  19  189]
 [ 123 3755]]",0.968399059806738,0.9182879377431906,0.0501111220635474,0.9482536444494813,0.9695817490494296,0.9438775510204082,0.025704198029021463,0.934708801253591,0.7587548638132295,0.17595393744036147
13,0.9397944199706314,0.9687817258883249,0.5474235827349546,0.9842702423929861,"[[  23  185]
 [  61 3817]]",0.9896130875097378,0.8127659574468085,0.1768471300629293,0.8212966943394541,0.9897380502295436,0.8685714285714285,0.12116662165811509,0.9522202025447936,0.7361702127659574,0.21604998977883616
14,0.9388154674498287,0.9682660573749682,0.5446329392629031,0.9834966477565755,"[[  22  186]
 [  64 3814]]",0.9854052645295804,0.8795180722891566,0.10588719224042387,0.8925445235052879,0.9872421281216069,0.9123711340206185,0.07487099410098841,0.9502215272348189,0.7630522088353414,0.18716931839947748
15,0.9388154674498287,0.9682741116751269,0.5423580255484588,0.983754512635379,"[[  21  187]
 [  63 3815]]",0.9846474108769191,0.897119341563786,0.08752806931313306,0.9111071959909169,0.9872525088147546,0.9162303664921466,0.07102214232260795,0.9502992453812126,0.757201646090535,0.1930975992906776
16,0.9383259911894273,0.9680203045685278,0.5398252469552108,0.9834966477565755,"[[  20  188]
 [  64 3814]]",0.9820218863991662,0.9395161290322581,0.04250575736690809,0.9567160793912992,0.9842562432138979,0.9690721649484536,0.015184078265444323,0.9476289734236581,0.7943548387096774,0.15327413471398077
17,0.9380812530592266,0.9678811730354195,0.5419712282302535,0.9829809179989686,"[[  21  187]
 [  66 3812]]",0.9839211618257261,0.8913043478260869,0.09261681399963917,0.9058696798148106,0.9857065803667745,0.9235294117647059,0.06217716860206857,0.950207468879668,0.7347826086956522,0.21542486018401585
18,0.9380812530592266,0.9679706291935688,0.5169471773713652,0.9858174316658072,"[[  10  198]
 [  55 3823]]",0.9901067430356678,0.889795918367347,0.10031082466832086,0.8986868583878463,0.9899647409818281,0.9057591623036649,0.08420557867816314,0.950533715178339,0.7428571428571429,0.20767657232119607
19,0.94640234948605,0.9723170269245356,0.5463549311699132,0.9917483238782878,"[[  21  187]
 [  32 3846]]",0.996875,0.8333333333333334,0.16354166666666659,0.8359456635318705,0.997557003257329,0.8814432989690721,0.11611370428825685,0.9578125,0.7682926829268293,0.18951981707317067
