seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9412628487518355,0.9695817490494295,0.5436473499424762,0.9863331614234141,"[[  21  187]
 [  53 3825]]",0.9885773624091381,0.8717948717948718,0.11678249061426627,0.881868131868132,0.99,0.9101123595505618,0.07988764044943819,0.9527518172377986,0.7521367521367521,0.20061506510104643
1,0.9407733724914341,0.969359331476323,0.5320149164914508,0.9871067560598247,"[[  16  192]
 [  50 3828]]",0.9904293843766167,0.8681818181818182,0.12224756619479848,0.8765711436643795,0.9921853947722986,0.874251497005988,0.11793389776631058,0.9544749094671495,0.7,0.25447490946714957
2,0.9380812530592266,0.9679218967921897,0.5305966596580315,0.9842702423929861,"[[  16  192]
 [  61 3817]]",0.9893034176884946,0.857707509881423,0.13159590780707164,0.8669812461433266,0.9902227050516024,0.8724489795918368,0.11777372545976561,0.9525176102269762,0.7193675889328063,0.23315002129416995
3,0.942486539402839,0.9702418639989868,0.5420170984250406,0.9878803506962351,"[[  20  188]
 [  47 3831]]",0.989577905158937,0.8911290322580645,0.09844887290087245,0.9005142774635206,0.99077841063195,0.9319371727748691,0.05884123785708095,0.9533611255862429,0.7741935483870968,0.1791675771991461
4,0.9312285854136074,0.9642630039425156,0.5224367239258936,0.9775657555440949,"[[  14  194]
 [  87 3791]]",0.9856696195935383,0.8145161290322581,0.17115349056128015,0.826358155756227,0.9858849077090119,0.8195876288659794,0.16629727884303258,0.947107868681605,0.6854838709677419,0.26162399771386313
5,0.9427312775330396,0.9703121035270236,0.5603453405799976,0.9860752965446106,"[[  28  180]
 [  54 3824]]",0.9862623120787973,0.8728070175438597,0.11345529453493763,0.8849643820457846,0.9894765245547761,0.9127906976744186,0.07668582688035752,0.9541213063763608,0.75,0.20412130637636083
6,0.933186490455213,0.9652980805898055,0.5280180108699964,0.9791129448169159,"[[  16  192]
 [  81 3797]]",0.987747653806048,0.8,0.18774765380604796,0.8099234626550541,0.988855667300897,0.7989949748743719,0.18986069242652515,0.9499478623566214,0.676,0.2739478623566214
7,0.9393049437102301,0.9685438863521055,0.5403409767128179,0.9845281072717896,"[[  20  188]
 [  60 3818]]",0.9877922077922078,0.8601694915254238,0.127622716266784,0.8708000374369923,0.9910665944775311,0.8532608695652174,0.1378057249123137,0.9545454545454546,0.690677966101695,0.2638674884437596
8,0.9402838962310328,0.9690590920618818,0.5431316201848693,0.9853017019082001,"[[  21  187]
 [  57 3821]]",0.9854469854469855,0.907563025210084,0.07788396023690147,0.9209658546963089,0.9873281207872742,0.9408284023668639,0.04649971842041023,0.954002079002079,0.7184873949579832,0.2355146840440958
9,0.9417523250122369,0.969865788807293,0.5370804736779466,0.9876224858174316,"[[  18  190]
 [  48 3830]]",0.9896103896103896,0.8898305084745762,0.09977988113581338,0.8991725610569865,0.9907834101382489,0.9259259259259259,0.06485748421232296,0.9509090909090909,0.7923728813559322,0.15853620955315872
10,0.938570729319628,0.9682318693836224,0.5172050422501686,0.9863331614234141,"[[  10  198]
 [  53 3825]]",0.9903846153846154,0.8907563025210085,0.09962831286360696,0.89940442196296,0.99077841063195,0.900523560209424,0.09025485042252601,0.9501039501039501,0.7521008403361344,0.19800310976781565
11,0.938570729319628,0.9681835467106097,0.530854524536835,0.984785972150593,"[[  16  192]
 [  59 3819]]",0.9914218871848194,0.8242677824267782,0.16715410475804116,0.8313996221803397,0.991869918699187,0.8457446808510638,0.14612523784812315,0.9521705224850533,0.7196652719665272,0.2325052505185261
12,0.9397944199706314,0.9687817258883249,0.5474235827349546,0.9842702423929861,"[[  23  185]
 [  61 3817]]",0.9861582658657613,0.8793774319066148,0.1067808339591465,0.8917203884455582,0.9875067897881586,0.923469387755102,0.06403740203305663,0.9514233481326717,0.7665369649805448,0.1848863831521269
13,0.9344101811062163,0.9659639319278638,0.5263877593525608,0.980660134089737,"[[  15  193]
 [  75 3803]]",0.9823422487665542,0.9063829787234042,0.07595927004314995,0.9226753505323366,0.9832568187955711,0.9257142857142857,0.05754253308128543,0.9470267462996624,0.7276595744680852,0.21936717183157728
14,0.9437102300538424,0.9708639473017482,0.551761415479827,0.9881382155750387,"[[  24  184]
 [  46 3832]]",0.9919207714360178,0.8433734939759037,0.1485472774601141,0.8502427998911041,0.994028230184582,0.8762886597938144,0.11773957039076755,0.9567370341412562,0.7429718875502008,0.2137651465910554
15,0.9446891825746452,0.9713779128672746,0.5545520589518784,0.9889118102114492,"[[  25  183]
 [  43 3835]]",0.9934946656258131,0.823045267489712,0.17044939813610116,0.8284345109908232,0.9953892053159751,0.8638743455497382,0.1315148597662369,0.9570647931303669,0.7489711934156379,0.20809359971472896
16,0.9371023005384239,0.9673899251364041,0.532355843614869,0.9829809179989686,"[[  17  191]
 [  66 3812]]",0.9848879624804586,0.8991935483870968,0.08569441409336187,0.9129906980713431,0.9864277958740499,0.9175257731958762,0.06890202267817369,0.948931735278791,0.7540322580645161,0.19489947721427492
17,0.9373470386686246,0.9675291730086251,0.5302098623398263,0.9834966477565755,"[[  16  192]
 [  64 3814]]",0.9859958506224067,0.8869565217391304,0.09903932888327627,0.8995540104750359,0.9865156418554477,0.9176470588235294,0.06886858303191834,0.9496887966804979,0.7304347826086957,0.21925401407180223
18,0.9388154674498287,0.9682741116751269,0.5423580255484588,0.983754512635379,"[[  21  187]
 [  63 3815]]",0.989065347565738,0.8285714285714286,0.16049391899430943,0.8377317339149402,0.9910496338486574,0.8429319371727748,0.1481176966758826,0.9536579015881281,0.7061224489795919,0.24753545260853627
19,0.9348996573666177,0.9661749745676501,0.5402951065180307,0.979628674574523,"[[  21  187]
 [  79 3799]]",0.9861979166666667,0.8089430894308943,0.17725482723577235,0.8202644476933283,0.9869706840390879,0.8402061855670103,0.14676449847207762,0.9481770833333333,0.7276422764227642,0.22053480691056904
