seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9336759667156143,0.9655084637902508,0.5419253580354664,0.9780814853017019,"[[  22  186]
 [  85 3793]]",0.9823468328141225,0.8333333333333334,0.14901349948078912,0.84830866807611,0.9832432432432432,0.8707865168539326,0.11245672638931059,0.9460020768431984,0.7307692307692307,0.21523284607396764
1,0.9348996573666177,0.9661060142711517,0.5584944162335859,0.9775657555440949,"[[  29  179]
 [  87 3791]]",0.9808587687532333,0.8090909090909091,0.17176785966232422,0.8248801304181052,0.9835623821072487,0.844311377245509,0.1392510048617397,0.9474909467149508,0.7136363636363636,0.2338545830785872
2,0.9368575624082232,0.9672172808132147,0.5436014797476891,0.9814337287261475,"[[  22  186]
 [  72 3806]]",0.9893034176884946,0.7905138339920948,0.19878958369639976,0.7990610563532964,0.9904942965779467,0.8112244897959183,0.17926980678202842,0.9530393947299766,0.691699604743083,0.26133978998689356
3,0.9397944199706314,0.9687738004569687,0.5496984964493989,0.9840123775141826,"[[  24  184]
 [  62 3816]]",0.9867118290776447,0.8588709677419355,0.12784086133570916,0.87043748988475,0.9877949552481693,0.9109947643979057,0.07680019085026357,0.9504950495049505,0.7741935483870968,0.1763015011178537
4,0.9334312285854136,0.9653944020356234,0.5372465981671758,0.9783393501805054,"[[  20  188]
 [  84 3794]]",0.9887962480458572,0.7540322580645161,0.23476398998134107,0.7625759700794764,0.98914223669924,0.7731958762886598,0.21594636041058013,0.9502344971339239,0.6733870967741935,0.27684740035973043
5,0.9405286343612335,0.9691585226551592,0.5523602074820486,0.9845281072717896,"[[  25  183]
 [  60 3818]]",0.9841886988076723,0.8947368421052632,0.08945185670240918,0.909111071067186,0.9870480302212629,0.9302325581395349,0.05681547208172799,0.9515292897874547,0.7543859649122807,0.19714332487517394
6,0.9290259422418012,0.963038490950803,0.5303759868290554,0.9742135121196493,"[[  18  190]
 [ 100 3778]]",0.9812304483837331,0.816,0.16523044838373313,0.8316089266737513,0.9817885294917097,0.8341708542713567,0.14761767522035296,0.9429092805005214,0.716,0.2269092805005214
7,0.9351443954968184,0.9662978506931197,0.5426989526718768,0.979628674574523,"[[  22  186]
 [  79 3799]]",0.9838961038961039,0.8347457627118644,0.14915034118423953,0.8484084441501262,0.9872766648619383,0.8260869565217391,0.1611897083401992,0.9511688311688312,0.673728813559322,0.2774400176095092
8,0.9371023005384239,0.9673733654944776,0.5369056710437577,0.9824651882413615,"[[  19  189]
 [  68 3810]]",0.9828482328482329,0.9117647058823529,0.07108352696587994,0.9276759884281581,0.9846319762739283,0.9349112426035503,0.04972073367037799,0.9514033264033264,0.7058823529411765,0.24552097346214985
9,0.9422418012726382,0.970081135902637,0.5509878208434165,0.9865910263022176,"[[  24  184]
 [  52 3826]]",0.9903896103896104,0.8347457627118644,0.15564384767774597,0.842845839612032,0.992138791000271,0.8783068783068783,0.11383191269339277,0.9527272727272728,0.7711864406779662,0.1815408320493066
10,0.9405286343612335,0.9692599620493358,0.5227863291942715,0.9878803506962351,"[[  12  196]
 [  47 3831]]",0.9911642411642412,0.8949579831932774,0.09620625797096383,0.9029361088955772,0.9924057499321942,0.900523560209424,0.09188218972277018,0.9524428274428275,0.7478991596638656,0.20454366777896194
11,0.9412628487518355,0.9696279422930904,0.5299978676558099,0.9878803506962351,"[[  15  193]
 [  47 3831]]",0.9929815440603067,0.8535564853556485,0.13942505870465816,0.8595894762207278,0.9934959349593496,0.8776595744680851,0.11583636049126456,0.9537301793605407,0.7405857740585774,0.21314440530196332
12,0.9361233480176211,0.9668318719024018,0.5409397687150395,0.9809179989685405,"[[  21  187]
 [  74 3804]]",0.9811961347610342,0.9105058365758755,0.0706902981851587,0.9279549769095096,0.9828897338403042,0.9438775510204082,0.039012182819896046,0.9475058762078872,0.7665369649805448,0.18096891122734238
13,0.9380812530592266,0.9678974749397286,0.5374214008013647,0.9834966477565755,"[[  19  189]
 [  64 3814]]",0.9859776681381459,0.8765957446808511,0.1093819234572948,0.8890624737334627,0.9867674858223062,0.9142857142857143,0.07248177153659197,0.9501428200467411,0.7404255319148936,0.20971728813184753
