seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960539979231568,0.7606837606837606,0.19985621854780733
1,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9599068804966373,0.759090909090909,0.20081597140572827
2,0.9344101811062163,0.9659466327827193,0.5309375867814496,0.98014440433213,"[[  17  191]
 [  77 3801]]",0.9827811114009913,0.8893280632411067,0.09345304815988464,0.9049096008503218,0.9837045084193373,0.9132653061224489,0.07043920229688838,0.9465170884424733,0.7509881422924901,0.19552894614998317
3,0.9356338717572198,0.9666116541830646,0.5293073352640139,0.981691593604951,"[[  16  192]
 [  71 3807]]",0.984627410109432,0.8870967741935484,0.09753063591588362,0.9009466576752683,0.9861676159479251,0.8952879581151832,0.09087965783274188,0.9494528400208442,0.7217741935483871,0.22767864647245706
4,0.9177679882525698,0.9569341194565495,0.5221701809021304,0.9626095925734915,"[[  17  191]
 [ 145 3733]]",0.9648254299114122,0.8911290322580645,0.07369639765334768,0.9236168581707944,0.9652551574375678,0.9123711340206185,0.05288402341694931,0.9283480979676915,0.7540322580645161,0.17431583990317534
5,0.938570729319628,0.9680945722638872,0.5558785753957234,0.9819494584837545,"[[  27  181]
 [  70 3808]]",0.9813374805598756,0.8903508771929824,0.09098660336689313,0.9072830650318348,0.985159201295197,0.9127906976744186,0.0723685036207784,0.9507516848107828,0.7324561403508771,0.21829554445990562
6,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9590719499478624,0.796,0.16307194994786234
7,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9594805194805195,0.7796610169491526,0.17981950253136691
8,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9638773388773388,0.7100840336134454,0.25379330526389343
9,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9581818181818181,0.8008474576271186,0.15733436055469951
10,0.9312285854136074,0.9642174964981536,0.5338112924981157,0.9762764311500773,"[[  19  189]
 [  92 3786]]",0.981029106029106,0.8403361344537815,0.14069297157532445,0.8565863431465301,0.9826417141307295,0.8534031413612565,0.12923857276947304,0.9438669438669439,0.726890756302521,0.21697618756442294
11,0.9419970631424376,0.9699657838043341,0.546309060975126,0.9868488911810211,"[[  22  186]
 [  51 3827]]",0.9903821159344944,0.8493723849372385,0.1410097309972559,0.8576208831636631,0.991869918699187,0.8882978723404256,0.10357204635876138,0.9532102937353782,0.7615062761506276,0.19170401758475064
12,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9616087751371115,0.7626459143968871,0.1989628607402244
13,0.9353891336270191,0.9665314401622718,0.5155289205379459,0.9829809179989686,"[[  10  198]
 [  66 3812]]",0.9836406128278369,0.9446808510638298,0.03895976176400706,0.9603922802129907,0.9843370240345666,0.9542857142857143,0.030051309748852284,0.9478057647364321,0.7319148936170212,0.21589087111941085
14,0.9400391581008322,0.9689912669282369,0.5248033780299123,0.9871067560598247,"[[  13  195]
 [  50 3828]]",0.9893145686734428,0.9116465863453815,0.07766798232806127,0.9214931379892595,0.990770901194354,0.9175257731958762,0.07324512799847771,0.9530883502736512,0.7389558232931727,0.21413252698047858
15,0.9388154674498287,0.9683544303797468,0.5196088884040148,0.9863331614234141,"[[  11  197]
 [  53 3825]]",0.9898516783762685,0.897119341563786,0.0927323368124825,0.9063169373369163,0.9902359641985354,0.9109947643979057,0.07924119980062971,0.9508196721311475,0.7489711934156379,0.2018484787155096
16,0.9488497307880568,0.9737536104483235,0.49987106756059824,0.9997421351211965,"[[   0  208]
 [   1 3877]]",0.9997394476289734,1.0,-0.0002605523710266233,1.0002606202762576,0.999728555917481,1.0,-0.0002714440825190012,0.9596143824908807,0.782258064516129,0.1773563179747517
17,0.9334312285854136,0.9653767820773931,0.5417964255960646,0.9778236204228984,"[[  22  186]
 [  86 3792]]",0.9776970954356846,0.9043478260869565,0.0733492693487281,0.9249775112443779,0.9797734627831716,0.9352941176470588,0.044479345136112736,0.9450207468879668,0.7391304347826086,0.20589031210535813
18,0.929270680372002,0.9631048129707647,0.546429315269568,0.9726663228468283,"[[  25  183]
 [ 106 3772]]",0.9747461598542047,0.8612244897959184,0.11352167005828628,0.8835371969300541,0.9774884730132899,0.8795811518324608,0.09790732118082912,0.9419422025514189,0.7306122448979592,0.21132995765345974
19,0.9393049437102301,0.9685438863521055,0.5403409767128179,0.9845281072717896,"[[  20  188]
 [  60 3818]]",0.990625,0.8211382113821138,0.16948678861788613,0.8289092354645944,0.991585233441911,0.8505154639175257,0.1410697695243852,0.9526041666666667,0.7317073170731707,0.22089684959349598
