seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9393049437102301,0.968678959333165,0.5016674435672631,0.9889118102114492,"[[   3  205]
 [  43 3835]]",0.9890965732087228,0.9829059829059829,0.00619059030273994,0.9937411669695133,0.9889189189189189,0.9887640449438202,0.0001548739750987238,0.9501557632398754,0.7606837606837606,0.18947200255611474
1,0.9427312775330396,0.9704992435703479,0.5034724977188876,0.9925219185146983,"[[   3  205]
 [  29 3849]]",0.9956026901189861,0.9318181818181818,0.06378450830080429,0.9359337726446065,0.995688493667475,0.9221556886227545,0.07353280504472048,0.9560269011898603,0.7090909090909091,0.24693599209895123
2,0.938570729319628,0.9681512498413907,0.5399541793946125,0.983754512635379,"[[  20  188]
 [  63 3815]]",0.9874771719279938,0.8616600790513834,0.12581709287661036,0.8725873402916652,0.9885931558935361,0.8928571428571429,0.09573601303639323,0.9512131489694756,0.7470355731225297,0.20417757584694596
3,0.9375917767988252,0.9675943576057947,0.5485381044947832,0.981691593604951,"[[  24  184]
 [  71 3807]]",0.9843668577384054,0.8588709677419355,0.12549588999646988,0.8725110572243379,0.9856251695145104,0.9057591623036649,0.07986600721084547,0.9486711829077644,0.7661290322580645,0.18254215064969992
4,0.9348996573666177,0.966243654822335,0.5220957968024754,0.981691593604951,"[[  13  195]
 [  71 3807]]",0.9841063053673789,0.907258064516129,0.07684824085124986,0.9219106305567655,0.9850705754614549,0.9175257731958762,0.06754480226557869,0.947107868681605,0.7459677419354839,0.20114012674612114
5,0.9346549192364171,0.9660693861990088,0.5333414329352958,0.98014440433213,"[[  18  190]
 [  77 3801]]",0.9795230689476413,0.9298245614035088,0.04969850754413252,0.9492625450899013,0.9813815434430653,0.9534883720930233,0.02789317135004199,0.9453084499740798,0.7543859649122807,0.1909224850617991
6,0.9395496818404308,0.9687855427777076,0.508621117149998,0.9883960804538422,"[[   6  202]
 [  45 3833]]",0.9893117831074035,0.96,0.029311783107403566,0.9703715415019762,0.9896711062788801,0.964824120603015,0.024846985675865074,0.9499478623566214,0.78,0.1699478623566214
7,0.9486049926578561,0.973604826546003,0.5065668762645297,0.9987106756059825,"[[   3  205]
 [   5 3873]]",0.9981818181818182,0.9957627118644068,0.002419106317411379,0.9975764872958538,0.9986464537087169,1.0,-0.0013535462912831475,0.9587012987012987,0.7838983050847458,0.17480299361655294
8,0.9427312775330396,0.9705215419501134,0.49664775657555443,0.9932955131511089,"[[   0  208]
 [  26 3852]]",0.9932432432432432,1.0,-0.006756756756756799,1.0068027210884354,0.9929900242653006,1.0,-0.007009975734699414,0.9571205821205822,0.7100840336134454,0.24703654850713674
9,0.9407733724914341,0.9694598687531549,0.5024410382036736,0.9904589994842703,"[[   3  205]
 [  37 3841]]",0.9911688311688311,0.9745762711864406,0.01659255998239051,0.9832596027431333,0.9915966386554622,0.9682539682539683,0.02334267040149396,0.9509090909090909,0.7754237288135594,0.17548536209553156
