seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9368575624082232,0.9672505712109672,0.5345018248899116,0.9824651882413615,"[[  18  190]
 [  68 3810]]",0.9844236760124611,0.8888888888888888,0.09553478712357222,0.9029535864978903,0.9862162162162162,0.9044943820224719,0.08172183419374435,0.9496365524402908,0.7264957264957265,0.2231408259445643
1,0.9263338228095938,0.9615433754950811,0.5380573848534137,0.9703455389375967,"[[  22  186]
 [ 115 3763]]",0.9772374547335747,0.7772727272727272,0.19996472746084748,0.7953775446364117,0.9779035300458098,0.8023952095808383,0.17550832046497145,0.9402483186756337,0.6818181818181818,0.258430136857452
2,0.9260890846793931,0.9614599285349668,0.52655388384179,0.9713769984528108,"[[  17  191]
 [ 111 3767]]",0.9752152361074876,0.8695652173913043,0.10565001871618329,0.8916649219531486,0.9769147202607279,0.8673469387755102,0.10956778148521773,0.9410383511609706,0.6996047430830039,0.24143360807796665
3,0.9143416544297601,0.9550128534704371,0.5294647816082834,0.9579680247550284,"[[  21  187]
 [ 163 3715]]",0.9650859822824388,0.7983870967741935,0.1666988855082453,0.8272704312687242,0.9652834282614592,0.8167539267015707,0.14852950155988853,0.9288692027097447,0.6895161290322581,0.2393530736774866
4,0.933920704845815,0.9656138563423331,0.5488790316182013,0.9775657555440949,"[[  25  183]
 [  87 3791]]",0.9807191245440333,0.8467741935483871,0.1339449309956462,0.8634217202015702,0.9834419109663409,0.865979381443299,0.11746252952304193,0.9473684210526315,0.7258064516129032,0.22156196943972828
5,0.9297601566324033,0.9634813589515205,0.5193882155750387,0.9762764311500773,"[[  13  195]
 [  92 3786]]",0.9792638672887507,0.8903508771929824,0.08891299009576825,0.9092042573347078,0.9797625472207232,0.9011627906976745,0.07859975652304874,0.942457231726283,0.7149122807017544,0.22754495102452865
6,0.9248653940283896,0.960756742937492,0.5350088765025588,0.9690562145435792,"[[  21  187]
 [ 120 3758]]",0.9721063607924921,0.864,0.10810636079249214,0.8887916331456155,0.9744495786898614,0.8693467336683417,0.10510284502151968,0.9379562043795621,0.724,0.2139562043795621
7,0.9307391091532061,0.9638892433329079,0.549477823620423,0.9739556472408458,"[[  26  182]
 [ 101 3777]]",0.9755844155844156,0.8601694915254238,0.11541492405899179,0.8816966300247289,0.9788846778559827,0.875,0.10388467785598265,0.9433766233766234,0.7245762711864406,0.2188003521901828
8,0.9373470386686246,0.9675126903553298,0.534759689768715,0.9829809179989686,"[[  18  190]
 [  66 3812]]",0.9833679833679834,0.9159663865546218,0.06740159681336155,0.9314584184625224,0.9849015907252628,0.9408284023668639,0.04407318835839891,0.9514033264033264,0.7100840336134454,0.24131929278988096
9,0.9319627998042095,0.9645769622833844,0.5432977446740985,0.9760185662712738,"[[  23  185]
 [  93 3785]]",0.9776623376623377,0.8728813559322034,0.10478098173013428,0.8928249788360741,0.9796692870696666,0.9047619047619048,0.07490738230776184,0.9415584415584416,0.7754237288135594,0.16613471274488223
10,0.9434654919236417,0.9707853800429999,0.5357080870393145,0.9896854048478597,"[[  17  191]
 [  40 3838]]",0.9924636174636174,0.8823529411764706,0.11011067628714688,0.889053186081974,0.9940330892324383,0.9057591623036649,0.08827392692877334,0.9542619542619543,0.7689075630252101,0.18535439123674413
