seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9412628487518355,0.9695663200608673,0.5481971773713651,0.9858174316658072,"[[  23  185]
 [  55 3823]]",0.9877985462097612,0.8675213675213675,0.1202771786883936,0.8782371373698575,0.9894594594594595,0.9101123595505618,0.07934709990889766,0.9524922118380063,0.7564102564102564,0.19608195542774987
1,0.9439549681840431,0.9710089884795544,0.54734052049034,0.9889118102114492,"[[  22  186]
 [  43 3835]]",0.992240041386446,0.8409090909090909,0.151330950477355,0.8474855436534269,0.9940716787927782,0.874251497005988,0.11982018178679021,0.9562855664769788,0.7272727272727273,0.22901283920425153
2,0.9400391581008322,0.9689204617531397,0.5452776014599119,0.984785972150593,"[[  22  186]
 [  59 3819]]",0.991912340203496,0.8023715415019763,0.18954079870151963,0.8089137608040703,0.9932102118413906,0.826530612244898,0.1666795995964926,0.9556483172449778,0.7035573122529645,0.2520910049920133
3,0.9407733724914341,0.9693049213597158,0.5479393124925617,0.9853017019082001,"[[  23  185]
 [  57 3821]]",0.9919228764981761,0.8024193548387096,0.1895035216594665,0.8089533711244989,0.9943043124491456,0.8115183246073299,0.18278598784181577,0.9577905158936947,0.6774193548387096,0.28037116105498505
4,0.9324522760646109,0.9647779479326186,0.5594800055540128,0.9747292418772563,"[[  30  178]
 [  98 3780]]",0.9843668577384054,0.7258064516129032,0.25856040612550213,0.7373332877952151,0.9858849077090119,0.7628865979381443,0.22299830977086765,0.9484106305367379,0.6854838709677419,0.262926759568996
5,0.9422418012726382,0.9701568032372281,0.5282386836989725,0.9891696750902527,"[[  14  194]
 [  42 3836]]",0.9927423535510628,0.8771929824561403,0.11554937109492247,0.8836058815445924,0.9937938478143551,0.8895348837209303,0.10425896409342483,0.9559357179885951,0.7105263157894737,0.24540940219912144
6,0.9410181106216349,0.9694820818032164,0.534418762645297,0.9871067560598247,"[[  17  191]
 [  50 3828]]",0.9934827945776851,0.832,0.1614827945776851,0.8374578850695356,0.994291927154118,0.8542713567839196,0.14002057037019833,0.9546402502606882,0.732,0.22264025026068823
7,0.9373470386686246,0.9675209337731538,0.5324847760542706,0.983238782877772,"[[  17  191]
 [  65 3813]]",0.9901298701298701,0.8135593220338984,0.17657054809597172,0.8216693047824,0.9916080129940444,0.8152173913043478,0.17639062168969666,0.9532467532467532,0.6779661016949152,0.275280651551838
8,0.938570729319628,0.9681512498413907,0.5399541793946125,0.983754512635379,"[[  20  188]
 [  63 3815]]",0.9875259875259875,0.8529411764705882,0.13458481105539932,0.8637151702786378,0.9884065785926126,0.8816568047337278,0.10674977385888484,0.954002079002079,0.6890756302521008,0.26492644874997817
9,0.9375917767988252,0.9676025917926566,0.5462631907803388,0.9819494584837545,"[[  23  185]
 [  70 3808]]",0.985974025974026,0.8347457627118644,0.15122826326216154,0.8466204389991249,0.9880726484142044,0.8624338624338624,0.12563878598034195,0.9493506493506494,0.7457627118644068,0.2035879374862426
