seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960539979231568,0.7606837606837606,0.19985621854780733
1,0.9488497307880568,0.9737536104483235,0.49987106756059824,0.9997421351211965,"[[   0  208]
 [   1 3877]]",0.9997413347128815,1.0,-0.0002586652871184869,1.0002587322121603,0.9997305308542171,1.0,-0.0002694691457828524,0.9596482152095189,0.759090909090909,0.2005573061186099
2,0.9405286343612335,0.9692132269099202,0.5364358114809378,0.9863331614234141,"[[  18  190]
 [  53 3825]]",0.9890425254369946,0.8853754940711462,0.10366703136584832,0.89518445496563,0.9902227050516024,0.9132653061224489,0.07695739892915343,0.9527785024784764,0.7549407114624506,0.19783779101602583
3,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960656591974987,0.7701612903225806,0.19049530165240636
4,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9598749348619072,0.782258064516129,0.17761687034577822
5,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9606013478486263,0.7543859649122807,0.20621538293634556
6,0.9397944199706314,0.9688370914618698,0.5314991867338438,0.9860752965446106,"[[  16  192]
 [  54 3824]]",0.986444212721585,0.928,0.058444212721584954,0.9407526427061311,0.9880402283229138,0.949748743718593,0.03829148460432086,0.9496871741397289,0.788,0.16168717413972888
7,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9594805194805195,0.7796610169491526,0.17981950253136691
8,0.9490944689182574,0.9738759105752324,0.5022749137144443,0.9997421351211965,"[[   1  207]
 [   1 3877]]",1.0,0.9915966386554622,0.008403361344537785,0.9915966386554622,1.0,0.9940828402366864,0.00591715976331364,0.9638773388773388,0.7100840336134454,0.25379330526389343
9,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9581818181818181,0.8008474576271186,0.15733436055469951
10,0.9309838472834068,0.9640672782874619,0.5382321874876027,0.9755028365136669,"[[  21  187]
 [  95 3783]]",0.9786902286902287,0.8571428571428571,0.12154737154737161,0.8758060845155906,0.9810143748304855,0.8691099476439791,0.1119044271865064,0.943087318087318,0.7352941176470589,0.20779320044025917
11,0.9334312285854136,0.9654032052912745,0.5349716844527315,0.978597215059309,"[[  19  189]
 [  83 3795]]",0.9789446321809202,0.9121338912133892,0.06681074096753103,0.9317522781460191,0.9807588075880759,0.9361702127659575,0.04458859482211841,0.9433324668572914,0.7740585774058577,0.16927388945143373
12,0.9368575624082232,0.9673252279635258,0.5140276014599119,0.984785972150593,"[[   9  199]
 [  59 3819]]",0.988508749020632,0.9066147859922179,0.08189396302841412,0.9171540331741618,0.9891363389462249,0.9030612244897959,0.08607511445642901,0.9522068425176287,0.708171206225681,0.2440356362919477
13,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9615684237860296,0.7446808510638298,0.21688757272219983
14,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9601250977326036,0.7791164658634538,0.18100863186914973
15,0.9468918257464513,0.9727215587680703,0.49883960804538424,0.9976792160907685,"[[   0  208]
 [   9 3869]]",0.9989591465001301,0.9794238683127572,0.019535278187372884,0.9804443672638515,0.9989151071331706,0.9738219895287958,0.025093117604374715,0.9583658600052043,0.7654320987654321,0.19293376123977224
16,0.937836514929026,0.967741935483871,0.5441172095052961,0.9824651882413615,"[[  22  186]
 [  68 3810]]",0.9841063053673789,0.8830645161290323,0.10104178923834661,0.8973263470752517,0.9861563517915309,0.9123711340206185,0.0737852177709124,0.9491922876498177,0.7620967741935484,0.1870955134562693
17,0.9444444444444444,0.9713709168873755,0.5157495933669219,0.9930376482723053,"[[   8  200]
 [  27 3851]]",0.9935165975103735,0.9565217391304348,0.036994858379938655,0.9627637238545959,0.9943365695792881,0.9647058823529412,0.029630687226346875,0.9572095435684648,0.7304347826086957,0.22677476095976912
18,0.9341654429760157,0.9658759355575288,0.514884258340937,0.981691593604951,"[[  10  198]
 [  71 3807]]",0.9835980213486072,0.926530612244898,0.05706740910370922,0.9419809639048843,0.9842690534309737,0.9319371727748691,0.05233188065610461,0.9461077844311377,0.746938775510204,0.1991690089209337
19,0.942486539402839,0.9702945266085198,0.5260927024239299,0.9896854048478597,"[[  13  195]
 [  40 3838]]",0.9934895833333334,0.8861788617886179,0.10731072154471544,0.89198606271777,0.994299674267101,0.9020618556701031,0.09223781859699787,0.9549479166666667,0.7479674796747967,0.20698043699186996
