seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9344101811062163,0.9659725749111224,0.5241128456381163,0.9809179989685405,"[[  14  194]
 [  74 3804]]",0.9815680166147456,0.9273504273504274,0.05421758926431819,0.9447643073667935,0.9829729729729729,0.9382022471910112,0.04477072578196173,0.9462616822429907,0.7393162393162394,0.20694544292675132
1,0.9371023005384239,0.9673401957046639,0.5460053259015353,0.9814337287261475,"[[  23  185]
 [  72 3806]]",0.9886187273667874,0.7681818181818182,0.22043690918496917,0.7770253555967842,0.9897601724602533,0.7964071856287425,0.1933529868315108,0.9516295913088464,0.6818181818181818,0.2698114094906646
2,0.9265785609397944,0.9616858237547892,0.5359114035783711,0.9708612686952037,"[[  21  187]
 [ 113 3765]]",0.978085050873989,0.8023715415019763,0.1757135093720127,0.8203494581427249,0.9790874524714829,0.8163265306122449,0.16276092185923796,0.9423428124184712,0.6877470355731226,0.2545957768453486
3,0.9285364659813999,0.9627740948495666,0.530118121950252,0.9736977823620423,"[[  18  190]
 [ 102 3776]]",0.977853048462741,0.8588709677419355,0.11898208072080552,0.8783231479332663,0.9785733658801193,0.8795811518324608,0.09899221404765857,0.9416362688900469,0.7258064516129032,0.21582981727714368
4,0.9348996573666177,0.9662093495934959,0.5311954516602531,0.980660134089737,"[[  17  191]
 [  75 3803]]",0.9833246482542991,0.8870967741935484,0.09622787406075073,0.9021402806981554,0.9850705754614549,0.8969072164948454,0.08816335896660954,0.9478895257946848,0.7338709677419355,0.21401855805274927
5,0.9341654429760157,0.9658672757264306,0.5171591720553815,0.9814337287261475,"[[  11  197]
 [  72 3806]]",0.9844479004665629,0.8991228070175439,0.08532509344901906,0.9133269587871734,0.9848893685914732,0.9069767441860465,0.07791262440542679,0.9471228615863142,0.7149122807017544,0.23221058088455981
6,0.9251101321585903,0.9608995655507283,0.5328628952275162,0.9695719443011862,"[[  20  188]
 [ 118 3760]]",0.9718456725755996,0.88,0.09184567257559961,0.9054935622317596,0.9741777656972003,0.8844221105527639,0.0897556551444364,0.9376955161626694,0.732,0.20569551616266946
7,0.9358786098874204,0.9667005592272497,0.5408108362756376,0.980660134089737,"[[  21  187]
 [  75 3803]]",0.9825974025974026,0.8771186440677966,0.10547875852960598,0.8926531270581594,0.9848402815376286,0.8967391304347826,0.088101151102846,0.9477922077922077,0.7415254237288136,0.20626678406339416
8,0.9260890846793931,0.9614205416453755,0.5356535386995676,0.9703455389375967,"[[  21  187]
 [ 115 3763]]",0.9721933471933472,0.8781512605042017,0.09404208668914549,0.9032681236087058,0.97357778376921,0.8994082840236687,0.07416949974554132,0.9407484407484408,0.6890756302521008,0.25167281049633994
9,0.9282917278511992,0.9625845996679863,0.5436386717975166,0.9718927282104177,"[[  24  184]
 [ 109 3769]]",0.9735064935064935,0.8686440677966102,0.10486242570988336,0.8922837942948103,0.9764163730008132,0.8835978835978836,0.09281848940292958,0.9394805194805195,0.7457627118644068,0.19371780761611268
10,0.9432207537934411,0.9706180344478217,0.5469537231721348,0.9881382155750387,"[[  22  186]
 [  46 3832]]",0.9896049896049897,0.8823529411764706,0.1072520484285191,0.8916213544241225,0.9913208570653648,0.9267015706806283,0.06461928638473646,0.9519230769230769,0.8025210084033614,0.1494020685197155
11,0.9229074889867841,0.9597649763699068,0.518053020986234,0.9687983496647756,"[[  14  194]
 [ 121 3757]]",0.9698466337405771,0.9205020920502092,0.04934454169036795,0.9491212940544504,0.970460704607046,0.9361702127659575,0.034290491841088566,0.9326748115414609,0.7656903765690377,0.1669844349724232
12,0.9148311306901615,0.9553158705701078,0.5228979053437538,0.9592573491490459,"[[  18  190]
 [ 158 3720]]",0.9600417863671977,0.9105058365758755,0.049535949791322254,0.9484022982179072,0.9614340032590983,0.9183673469387755,0.043066656320322805,0.9273961869939932,0.7276264591439688,0.19976972785002434
13,0.9326970141948115,0.9650260714739922,0.5300350597056374,0.9783393501805054,"[[  17  191]
 [  84 3794]]",0.9787068293949623,0.9191489361702128,0.05955789322474958,0.9391463393981134,0.9792060491493384,0.96,0.019206049149338433,0.9428719813035575,0.7659574468085106,0.1769145344950469
14,0.9397944199706314,0.9688528741453533,0.526949359304955,0.9865910263022176,"[[  14  194]
 [  52 3826]]",0.9874902267396404,0.927710843373494,0.05977938336614641,0.9394633164486926,0.988327904451683,0.9536082474226805,0.03471965702900248,0.9502215272348189,0.7791164658634538,0.17110506137136505
15,0.9358786098874204,0.966692092550216,0.5430857499900821,0.9804022692109334,"[[  22  186]
 [  76 3802]]",0.9856882643767889,0.823045267489712,0.16264299688707695,0.8349955023661466,0.9867100623813398,0.8586387434554974,0.12807131892584245,0.9482175383814728,0.7407407407407407,0.20747679764073212
16,0.9290259422418012,0.963038490950803,0.5303759868290554,0.9742135121196493,"[[  18  190]
 [ 100 3778]]",0.9757686294945284,0.8991935483870968,0.07657508110743161,0.9215233214178044,0.9769272529858849,0.9226804123711341,0.054246840614750824,0.9398124022928609,0.7620967741935484,0.17771562809931252
17,0.9329417523250122,0.9650421025771881,0.5597378704328163,0.9752449716348633,"[[  30  178]
 [  96 3782]]",0.9782157676348547,0.8173913043478261,0.1608244632870286,0.835594079948361,0.9800431499460626,0.8705882352941177,0.1094549146519449,0.9450207468879668,0.7304347826086957,0.21458596427927112
18,0.933186490455213,0.9651207359141434,0.5735162851588844,0.9739556472408458,"[[  36  172]
 [ 101 3777]]",0.9776099973965113,0.7918367346938775,0.18577326270263383,0.8099720101089702,0.9810143748304855,0.837696335078534,0.14331803975195145,0.9458474355636552,0.7346938775510204,0.2111535580126348
19,0.9410181106216349,0.9694820818032164,0.534418762645297,0.9871067560598247,"[[  17  191]
 [  50 3828]]",0.9861979166666667,0.943089430894309,0.04310848577235771,0.9562882003258902,0.988870792616721,0.9536082474226805,0.035262545194040484,0.9518229166666666,0.7723577235772358,0.17946519308943087
