seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9348996573666177,0.966217932435865,0.5289205379458086,0.9809179989685405,"[[  16  192]
 [  74 3804]]",0.9849428868120457,0.8632478632478633,0.12169502356418238,0.8764445886217105,0.985945945945946,0.8764044943820225,0.10954145156392348,0.9485981308411215,0.7094017094017094,0.2391964214394121
1,0.9393049437102301,0.9685119349923819,0.5494406315705955,0.9834966477565755,"[[  24  184]
 [  64 3814]]",0.9904293843766167,0.7681818181818182,0.22224756619479846,0.7756048339229327,0.9921853947722986,0.7904191616766467,0.2017662330956519,0.9544749094671495,0.6727272727272727,0.2817476367398768
2,0.9251101321585903,0.9609394945111055,0.5237632403697385,0.9706034038164002,"[[  16  192]
 [ 114 3764]]",0.978085050873989,0.8181818181818182,0.15990323269217077,0.8365139794854386,0.9788158609451385,0.8163265306122449,0.1624893303328936,0.941821027915471,0.6719367588932806,0.2698842690221903
3,0.9094468918257465,0.9523072956947667,0.5291610465346928,0.9525528623001547,"[[  22  186]
 [ 184 3694]]",0.9564877540385618,0.842741935483871,0.11374581855469079,0.8810796917426034,0.9571467317602387,0.8638743455497382,0.09327238621050049,0.9218342886920271,0.717741935483871,0.2040923532081561
4,0.9348996573666177,0.9661663698804376,0.542570020232475,0.9793708096957194,"[[  22  186]
 [  80 3798]]",0.9822824387701928,0.8629032258064516,0.11937921296374121,0.8784675280225892,0.9847991313789359,0.8762886597938144,0.1085104715851215,0.9484106305367379,0.7258064516129032,0.22260417892383466
5,0.9336759667156143,0.9655960391011805,0.5191762208910223,0.980660134089737,"[[  12  196]
 [  75 3803]]",0.9841886988076723,0.8859649122807017,0.09822378652697061,0.9001982174292724,0.9846195358877496,0.8953488372093024,0.08927069867844728,0.9468636599274235,0.7105263157894737,0.23633734413794982
6,0.9224180127263828,0.9594162079119191,0.5359944658229857,0.9662197008767406,"[[  22  186]
 [ 131 3747]]",0.9692387904066736,0.86,0.10923879040667361,0.8872942442173212,0.9717314487632509,0.864321608040201,0.10740984072304993,0.9356100104275287,0.72,0.2156100104275287
7,0.9280469897209985,0.9623848515864892,0.5594341353592256,0.9698298091799897,"[[  31  177]
 [ 117 3761]]",0.9732467532467532,0.809322033898305,0.1639247193484482,0.8315692101703962,0.976448294531673,0.8369565217391305,0.13949177279254255,0.941038961038961,0.7161016949152542,0.2249372661237068
8,0.9363680861478219,0.9670385395537525,0.5205944777244416,0.9834966477565755,"[[  12  196]
 [  64 3814]]",0.9854469854469855,0.9159663865546218,0.06948059889236369,0.9294933163138672,0.9865192774332704,0.9171597633136095,0.0693595141196609,0.9524428274428275,0.6764705882352942,0.27597223920753333
9,0.9309838472834068,0.9640397857689366,0.5450569286309359,0.9747292418772563,"[[  24  184]
 [  98 3780]]",0.9753246753246754,0.885593220338983,0.08973145498569235,0.9079983750479586,0.9785849823800488,0.8994708994708994,0.07911408290914934,0.9418181818181818,0.7542372881355932,0.18758089368258857
10,0.9346549192364171,0.9660262119862577,0.5447160015075178,0.9788550799381124,"[[  23  185]
 [  82 3796]]",0.9802494802494802,0.8781512605042017,0.10209821974527855,0.895844658117754,0.9823704909140223,0.9109947643979057,0.07137572651611657,0.9441268191268192,0.7815126050420168,0.16261421408480237
11,0.9304943710230054,0.9638860630722278,0.5175000991787995,0.9773078906652913,"[[  12  196]
 [  88 3790]]",0.9792045749935014,0.9163179916317992,0.06288658336170228,0.9357778905780545,0.9802168021680217,0.9202127659574468,0.06000403621057482,0.9420327527943853,0.7447698744769874,0.19726287831739786
12,0.9233969652471855,0.9600102210297687,0.5228607132939262,0.9687983496647756,"[[  16  192]
 [ 121 3757]]",0.9686602246017237,0.933852140077821,0.034808084523902716,0.9640657439627869,0.9703965236284627,0.9387755102040817,0.03162101342438106,0.9360146252285192,0.7354085603112841,0.2006060649172351
13,0.9295154185022027,0.963293397909763,0.5329087654223034,0.9744713769984528,"[[  19  189]
 [  99 3779]]",0.9753310828356271,0.902127659574468,0.07320342326115903,0.924945052455079,0.9765055360518499,0.9314285714285714,0.04507696462327848,0.9410542716177617,0.7404255319148936,0.2006287397028681
14,0.942486539402839,0.9702569295025947,0.5374672709961519,0.9883960804538422,"[[  18  190]
 [  45 3833]]",0.9900964295022153,0.8995983935742972,0.09049803592791816,0.9085967454973882,0.990499457111835,0.9484536082474226,0.042045848864412316,0.9517852488923638,0.7991967871485943,0.1525884617437695
15,0.9373470386686246,0.9674796747967479,0.5438593446264925,0.9819494584837545,"[[  22  186]
 [  70 3808]]",0.9869893312516264,0.8271604938271605,0.15982883742446585,0.8380642704396989,0.9880661784648765,0.8638743455497382,0.12419183291513836,0.9495186052563102,0.7448559670781894,0.2046626381781208
16,0.9251101321585903,0.9609295199182839,0.526038154084183,0.9703455389375967,"[[  17  191]
 [ 115 3763]]",0.9708181344450234,0.9193548387096774,0.051463295735346026,0.9469897667653628,0.9723127035830619,0.9329896907216495,0.039323012861412376,0.9359041167274622,0.7580645161290323,0.17783960059842996
17,0.9375917767988252,0.9675861192322358,0.5508130182092276,0.9814337287261475,"[[  25  183]
 [  72 3806]]",0.9828838174273858,0.8652173913043478,0.11766642612303801,0.880284501548698,0.9835490830636462,0.9352941176470588,0.04825496541658736,0.9470954356846473,0.7782608695652173,0.16883456611942993
18,0.9358786098874204,0.9666327050433012,0.5590101459911929,0.978597215059309,"[[  29  179]
 [  83 3795]]",0.9812548815412653,0.8367346938775511,0.14452018766371422,0.8527190127842064,0.983726606997559,0.8795811518324608,0.10414545516509821,0.9474095287685499,0.7551020408163265,0.1923074879522234
19,0.9371023005384239,0.9673318927164103,0.5482802396159797,0.981175863847344,"[[  24  184]
 [  73 3805]]",0.9807291666666667,0.9065040650406504,0.07422510162601625,0.9243164125746409,0.9842562432138979,0.9226804123711341,0.06157583084276386,0.9484375,0.7601626016260162,0.1882748983739838
