iter,acc,f1-score,auc,recall,cm,params
1,0.942486539402839,0.9702041333840498,0.5533916669972627,0.9865910263022176,"[[  25  183]
 [  52 3826]]","{'max_depth': 31, 'learning_rate': 0.2221423901134277, 'n_estimators': 1650}"
2,0.9422418012726382,0.970111448834853,0.5418881659856389,0.9876224858174316,"[[  20  188]
 [  48 3830]]","{'max_depth': 30, 'learning_rate': 0.21662331565922432, 'n_estimators': 650}"
3,0.9461576113558492,0.9722991689750693,0.5098273792994009,0.9956162970603404,"[[   5  203]
 [  17 3861]]","{'max_depth': 3, 'learning_rate': 0.15823860430552075, 'n_estimators': 350}"
4,0.9427312775330396,0.970372246138263,0.5421460308644424,0.9881382155750387,"[[  20  188]
 [  46 3832]]","{'max_depth': 10, 'learning_rate': 0.1521888191981938, 'n_estimators': 850}"
5,0.9451786588350465,0.9717670783967735,0.5138614769706827,0.9940691077875193,"[[   7  201]
 [  23 3855]]","{'max_depth': 4, 'learning_rate': 0.07896551676477612, 'n_estimators': 1050}"
6,0.9434654919236417,0.970755791872389,0.5448077418970921,0.9886539453326457,"[[  21  187]
 [  44 3834]]","{'max_depth': 7, 'learning_rate': 0.11606641560458879, 'n_estimators': 1500}"
7,0.9449339207048458,0.9715944956444894,0.5273820268179474,0.9922640536358948,"[[  13  195]
 [  30 3848]]","{'max_depth': 50, 'learning_rate': 0.0296192660685174, 'n_estimators': 1400}"
8,0.9461576113558492,0.9722432500630834,0.5280266890149562,0.9935533780299123,"[[  13  195]
 [  25 3853]]","{'max_depth': 41, 'learning_rate': 0.1895285855104962, 'n_estimators': 200}"
9,0.9454233969652471,0.9718611987381703,0.5253649779823065,0.9930376482723053,"[[  12  196]
 [  27 3851]]","{'max_depth': 38, 'learning_rate': 0.02297868986660416, 'n_estimators': 1450}"
10,0.9444444444444444,0.9712985206726515,0.538498730511366,0.9904589994842703,"[[  18  190]
 [  37 3841]]","{'max_depth': 24, 'learning_rate': 0.1143995088761935, 'n_estimators': 700}"
11,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]","{'max_depth': 1, 'learning_rate': 0.07439794089052901, 'n_estimators': 100}"
12,0.9446891825746452,0.9714646464646465,0.5272530943785456,0.9920061887570912,"[[  13  195]
 [  31 3847]]","{'max_depth': 30, 'learning_rate': 0.035159348091152454, 'n_estimators': 1550}"
13,0.942486539402839,0.9702719797596459,0.532917443567263,0.9889118102114492,"[[  16  192]
 [  43 3835]]","{'max_depth': 36, 'learning_rate': 0.15618499578119666, 'n_estimators': 600}"
14,0.9473813020068527,0.9729457656977476,0.5104720414964098,0.9969056214543579,"[[   5  203]
 [  12 3866]]","{'max_depth': 23, 'learning_rate': 0.03132444353580099, 'n_estimators': 200}"
15,0.9468918257464513,0.9726872246696036,0.5102141766176062,0.9963898916967509,"[[   5  203]
 [  14 3864]]","{'max_depth': 45, 'learning_rate': 0.014103205587458678, 'n_estimators': 500}"
