seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7726281352235551,0.7831062103401644,0.7718862416111218,0.7927548441449032,"[[3321 1101]
 [ 984 3764]]",0.6355050424203618,0.30619226821758466,0.3293127742027771,0.48180934497613387,0.8310227569971227,0.6345945945945946,0.19642816240252814,0.7696494317272291,0.7789941840574752,-0.00934475233024612
1,0.7598691384950927,0.7589227063717977,0.7609704597941593,0.7299915754001685,"[[3502  920]
 [1282 3466]]",0.6313394018205462,0.1663353214049039,0.46500408041564223,0.26346418570622265,0.8227176220806794,0.373469387755102,0.4492482343255774,0.7639791937581274,0.7514910536779325,0.012488140080194943
2,0.5235550708833152,0.6839783001808318,0.5061480336694409,0.995787700084246,"[[  73 4349]
 [  20 4728]]",0.9993595901376882,0.969562243502052,0.029797346635636157,0.9701835586212458,1.0,0.9789251844046365,0.021074815595363505,0.6088696765930195,0.34131326949384405,0.26755640709917544
3,0.5179934569247546,0.6820143884892087,0.5002882501027832,0.9983150800336984,"[[  10 4412]
 [   8 4740]]",0.9980766148421222,0.9979529170931423,0.00012369774897991181,0.999876063874115,0.9978869519281564,1.0,-0.0021130480718436484,0.6061868889245071,0.3302627089730467,0.2759241799514604
4,0.629443838604144,0.5626769626769627,0.6356748272118765,0.46040438079191237,"[[3586  836]
 [2562 2186]]",0.33955526700211003,0.3090727816550349,0.03048248534707515,0.9102282063942018,0.4445034519383962,0.5213849287169042,-0.07688147677850804,0.5925986041227074,0.7048853439680958,-0.1122867398453884
5,0.7676117775354416,0.7726448308972582,0.7677951572458608,0.762636899747262,"[[3418 1004]
 [1127 3621]]",0.6416531604538087,222,0.41965316045380874,0.345981308411215,0.833289369559483,0.4827586206896552,0.35053074886982777,0.7679092382495948,767,0.0009092382495947682
6,0.7984732824427481,0.8046511627906977,0.7983580031983758,0.8016006739679865,"[[3516  906]
 [ 942 3806]]",0.6341935483870967,0.26262626262626265,0.3715672857608341,0.41411058705056675,0.8513335093741748,0.6056191467221644,0.2457143626520104,795,0.8057239057239057,-0.010723905723905691
7,0.7990185387131952,0.8120730090751503,0.7975569803582226,0.8386689132266217,"[[3345 1077]
 [ 766 3982]]",0.6692157500813537,0.31283068783068785,0.35638506225066585,0.46745864512701374,0.8732840549102429,0.7020833333333333,0.17120072157690958,0.7909209241783274,0.8154761904761905,-0.024555266297863088
8,0.7886586695747001,0.7956989247311828,0.7884300447673557,0.7948609941027801,"[[3458  964]
 [ 974 3774]]",0.6349791599871754,0.2650068212824011,0.36997233870477425,0.417347273708563,0.8555851063829787,0.5637651821862348,0.29181992419674385,0.7936838730362296,0.7779672578444747,0.015716615191754824
9,0.7324972737186478,0.7513935340022296,0.730718630558626,0.7807497893850042,"[[3010 1412]
 [1041 3707]]",0.6293354943273906,412,0.21733549432739058,0.6546587689930466,0.8093457943925234,0.6739780658025922,0.13536772858993118,0.7461912479740681,0.7043333333333334,0.04185791464073474
