seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7894220283533261,0.8013170079226257,0.788289920543564,0.8201347935973041,"[[3345 1077]
 [ 854 3894]]",0.6465503441651993,0.31885049606568594,0.32769984809951336,0.4931564864873335,0.8529950300810881,0.6843243243243243,0.1686707057567638,0.7854970385785177,0.7978104686965446,-0.01231343011802688
1,0.7907306434023992,0.7989101959551504,0.7902833805240476,0.8028643639427128,"[[3439  983]
 [ 936 3812]]",0.6298764629388817,0.30483764082173626,0.3250388221171454,0.4839641719575023,0.8426220806794055,0.65,0.19262208067940545,0.7898244473342002,0.7925778661365143,-0.002753418802314056
2,0.8068702290076336,0.81418529010597,0.806489971068301,0.8171861836562764,"[[3519  903]
 [ 868 3880]]",0.6440922190201729,0.25991792065663477,0.3841742983635381,0.40354146965482,0.8694393261384575,0.6080084299262382,0.2614308962122194,0.8053154018571886,0.8101915184678523,-0.004876116610663672
3,0.7820065430752454,0.7871819440008516,0.7821305035670236,0.7786436394271272,"[[3474  948]
 [1051 3697]]",0.6194903029331623,0.2661207778915046,0.3533695250416577,0.42958021559252196,0.8296354992076069,0.577962577962578,0.25167292124502894,0.7805738099054336,0.7850562947799385,-0.004482484874504977
4,0.7942202835332607,0.8085624429339556,0.7925585654480147,0.8393007582139849,"[[3298 1124]
 [ 763 3985]]",0.6758643077422496,0.3140578265204387,0.3618064812218109,0.4646758571547605,0.8834306956983536,0.670061099796334,0.21336959590201965,0.7928907644862847,0.7969425058158857,-0.004051741329600955
5,0.7880043620501636,0.7941114170726541,0.7879457064832841,0.7895956192080876,"[[3477  945]
 [ 999 3749]]",0.626418152350081,0.2763333333333333,0.3500848190167477,0.4411323846485554,0.8356634133474018,0.6071055381400209,0.2285578752073809,0.7860615883306321,0.792,-0.005938411669367927
6,0.8025081788440567,0.8130484154020854,0.8015168471039914,0.8294018534119629,"[[3421 1001]
 [ 810 3938]]",0.6427419354838709,0.3212121212121212,0.3215298142717497,0.4997528611079427,0.860575653551624,0.7065556711758585,0.15401998237576553,0.797741935483871,0.8124579124579124,-0.014715976974041478
7,0.7805888767720829,0.7886110527421729,0.7802258238561348,0.7904380791912384,"[[3405 1017]
 [ 995 3753]]",0.6155222909209241,0.3263888888888889,0.28913340203203525,0.5302633124798074,0.8175818373812038,0.6833333333333333,0.13424850404787048,0.7759518385942076,0.7900132275132276,-0.01406138891901998
8,0.7959651035986914,0.7959428509106773,0.7969762411805565,0.7685341196293176,"[[3650  772]
 [1099 3649]]",0.5915357486373838,0.24931787175989087,0.34221787687749294,0.42147557833013527,0.8196808510638298,0.5738866396761133,0.2457942113877165,0.7938441808271882,0.8004774897680764,-0.006633308940888205
9,0.7871319520174482,0.8075709779179812,0.784347200201794,0.8626790227464195,"[[3122 1300]
 [ 652 4096]]",0.6988654781199352,0.36133333333333334,0.3375321447866018,0.5170284477427335,0.9022696929238986,0.7148554336989033,0.18741425922499533,0.7894651539708266,0.7823333333333333,0.007131820637493291
