seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8085059978189749,0.8194158782394076,0.8073786310844491,0.8390901432181971,"[[3430  992]
 [ 764 3984]]",0.6518328797822955,0.3092712966130688,0.34256158316922675,0.47446409379711213,0.8699973842532043,0.7113513513513513,0.15864603290185297,0.801024491756043,0.8244953814574068,-0.023470889701363795
1,0.7994547437295529,0.8112878399179067,0.798234406202883,0.8325610783487785,"[[3378 1044]
 [ 795 3953]]",0.6601105331599479,0.3101391650099404,0.34997136815000757,0.4698291413792547,0.8742038216560509,0.6724489795918367,0.20175484206421423,0.7982769830949284,0.8018555334658715,-0.003578550370943012
2,0.8018538713195201,0.811963158439408,0.8009548737129242,0.8262426284751474,"[[3430  992]
 [ 825 3923]]",0.6440922190201729,0.30506155950752395,0.33903065951264894,0.4736302512264466,0.8620689655172413,0.6828240252897787,0.17924494022746262,0.7963496637848223,0.8136114911080712,-0.01726182732324888
3,0.801308615049073,0.8116601199090344,0.8003662281378587,0.8268744734625105,"[[3422 1000]
 [ 822 3926]]",0.6468985414329219,0.3036506311838963,0.3432479102490256,0.4693945212974056,0.8676703645007924,0.6663201663201663,0.20135019818062605,0.7993268151947428,0.8055271238485159,-0.006200308653773079
4,0.8125408942202835,0.8263110033343438,0.8107470897789524,0.8612047177759057,"[[3362 1060]
 [ 659 4089]]",0.6680733647135205,0.3433034230641409,0.3247699416493796,0.5138708429295851,0.8937865108868827,0.7362525458248472,0.15753396506203543,0.8133419899366986,0.8109006314390163,0.0024413584976823444
5,0.8016357688113414,0.8110522488833489,0.8008762383990289,0.8222409435551812,"[[3447  975]
 [ 844 3904]]",0.6474878444084279,0.2946666666666667,0.3528211777417612,0.4550921985815603,0.8623054603007122,0.6635318704284221,0.1987735898722901,0.7977309562398703,0.8096666666666666,-0.011935710426796309
6,0.8050163576881134,0.8125,0.8046143449864104,0.8159224936815501,"[[3508  914]
 [ 874 3874]]",0.6267741935483871,0.3037037037037037,0.32307048984468345,0.4845504279369436,0.8479007129654079,0.6899063475546305,0.15799436541077738,0.7982258064516129,0.8191919191919191,-0.020966112740306242
7,0.7998909487459106,0.8106490558249922,0.7988807780047454,0.827295703454086,"[[3407 1015]
 [ 820 3928]]",0.6492027334851936,0.3151455026455027,0.33405723083969097,0.4854346514434234,0.8571805702217529,0.709375,0.1478055702217529,0.7910836316303287,0.8177910052910053,-0.02670737366067666
8,0.8070883315158124,0.8185454918453176,0.8058621269085378,0.8403538331929233,"[[3411 1011]
 [ 758 3990]]",0.6535748637383777,0.3151432469304229,0.3384316168079548,0.48218385439096834,0.8803191489361702,0.6882591093117408,0.1920600396244294,0.8049054184033344,0.8117326057298773,-0.006827187326542861
9,0.8035986913849509,0.8156035630183269,0.8022981992084457,0.8388795282224094,"[[3386 1036]
 [ 765 3983]]",0.6611021069692058,0.31333333333333335,0.34776877363587244,0.47395603497589284,0.8835781041388518,0.6719840478564307,0.21159405628242112,0.8045380875202593,0.8016666666666666,0.00287142085359271
10,0.8119956379498364,0.8247254981699877,0.8104379305890704,0.8542544229149115,"[[3390 1032]
 [ 692 4056]]",0.6591856364219301,0.3328785811732606,0.3263070552486695,0.5049845791242217,0.8897721250662427,0.7166324435318275,0.17313968153441517,0.8124398845783906,0.8110504774897681,0.0013894070886224519
11,0.8104689203925846,0.8180104712041885,0.8100194630736949,0.8226621735467565,"[[3526  896]
 [ 842 3906]]",0.6408794788273615,0.2861386138613861,0.3547408649659754,0.44647804043428485,0.8710021321961621,0.6405622489959839,0.23043988320017816,0.8125407166123778,0.8062706270627062,0.006270089549671565
12,0.8066521264994547,0.8156389726525944,0.8059377616017332,0.8260320134793597,"[[3475  947]
 [ 826 3922]]",0.6389822371579452,0.2998972954467648,0.3390849417111804,0.46933588761503464,0.8636003172085647,0.6787564766839378,0.18484384052462688,0.8012481997119539,0.8182129407737077,-0.01696474106175372
13,0.8032715376226827,0.8130569948186528,0.8024247968246384,0.8262426284751474,"[[3443  979]
 [ 825 3923]]",0.6440458878655679,0.30727943643072797,0.33676645143483996,0.47710798596833304,0.864321608040201,0.6773526370217167,0.1869689710184843,0.8010987235417677,0.8077826232807782,-0.006683899739010513
14,0.8019629225736096,0.8128606760098929,0.8009049109968271,0.8306655433866892,"[[3410 1012]
 [ 804 3944]]",0.6499758492996297,0.3105778979384927,0.339397951361137,0.47782990440821854,0.8659820958399157,0.6894736842105263,0.17650841162938935,0.797617130896796,0.8110848259547144,-0.01346769505791845
15,0.8032715376226827,0.8126687435098651,0.8025024319316338,0.8241364785172705,"[[3453  969]
 [ 835 3913]]",0.6364516129032258,0.3151515151515151,0.3213000977517107,0.49516963860602986,0.8610232067510548,0.6778242677824268,0.18319893896862804,0.8051612903225807,0.7993265993265993,0.005834690995981329
16,0.7998909487459106,0.8144402871877844,0.7981121904454902,0.8481465880370682,"[[3308 1114]
 [ 721 4027]]",0.6659744408945687,0.334020618556701,0.3319538223378677,0.5015517083629044,0.887625594923321,0.6935817805383023,0.19404381438501872,0.8023961661341853,0.7945017182130584,0.007894447921126924
17,0.8066521264994547,0.8172353365632409,0.8056116941523521,0.8348778433024431,"[[3433  989]
 [ 784 3964]]",0.6471628355569844,0.3143438453713123,0.33281899018567207,0.48572604621334675,0.8686949559647719,0.7082917082917083,0.16040324767306358,0.7969779778170712,0.82706002034588,-0.03008204252880875
18,0.8015267175572519,0.813141683778234,0.8003284107912607,0.8340353833192923,"[[3390 1032]
 [ 788 3960]]",0.6572077185017026,0.3126873126873127,0.34452040581438986,0.4757815586831131,0.8776824034334764,0.6745098039215687,0.2031725995119077,0.7994162477703908,0.8058608058608059,-0.006444558090415109
19,0.8032715376226827,0.8135593220338982,0.8023238711855443,0.8289806234203876,"[[3430  992]
 [ 812 3936]]",0.6435103481469597,0.3122233571671774,0.3312869909797823,0.485187779910999,0.8678742674480554,0.682092555331992,0.18578171211606342,0.7996149526712658,0.8110316649642493,-0.011416712292983466
