seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7702290076335878,0.7873650216974468,0.7683350784562292,0.821609098567818,"[[3162 1260]
 [ 847 3901]]",0.6684808708179927,0.33698255217242556,0.3314983186455671,0.5041020123134919,0.8577033743133665,0.6724324324324324,0.18527094188093407,0.7693292780534656,0.7721518987341772,-0.002822620680711596
1,0.7564885496183206,0.756568189251063,0.7574342044849659,0.7308340353833193,"[[3467  955]
 [1278 3470]]",0.6253250975292588,0.19151756129887343,0.43380753623038537,0.3062687905148607,0.8163481953290871,0.4020408163265306,0.4143073790025565,0.7621911573472041,0.7448641484426772,0.017327008904526875
2,0.49825517993456925,0.620723765559311,0.4873918204794363,0.7929654591406908,"[[ 804 3618]
 [ 983 3765]]",0.8258085174511688,0.7609439124487004,0.06486460500246838,0.9214532138725441,0.8057383521979469,0.7418335089567967,0.0639048432411502,0.5461095100864554,0.3960328317373461,0.15007667834910926
3,0.631515812431843,0.6096800277232298,0.6343063060282566,0.5558129738837405,"[[3152 1270]
 [2109 2639]]",0.5112998878025324,0.24530876833845103,0.2659911194640814,0.4797747353177417,0.6246698362387745,0.28482328482328484,0.33984655141548964,0.6400064112838596,0.6134425110883658,0.026563900195493817
4,0.629443838604144,0.5539511682856392,0.6362648540250422,0.44439764111204716,"[[3662  760]
 [2638 2110]]",0.3273819185197208,0.28348288467929544,0.04389903384042537,0.86590880144231,0.43441317047265005,0.48268839103869654,-0.048275220566046495,0.5924362928096089,0.705217680292456,-0.11278138748284716
5,0.7640130861504907,0.779678273264101,0.762449003736773,0.8064448188711036,"[[3177 1245]
 [ 919 3829]]",0.6823338735818476,0.288,0.3943338735818476,0.4220807600950119,0.867844895805856,0.5632183908045977,0.3046265050012583,0.7696920583468395,0.7523333333333333,0.017358725013506215
6,0.7955288985823337,0.8021943242958117,0.7953361400091523,0.8007582139848357,"[[3493  929]
 [ 946 3802]]",0.6445161290322581,0.2474747474747475,0.39704138155751056,0.38396982841427285,0.8560866120940058,0.5827263267429761,0.27336028535102974,0.790483870967742,0.806060606060606,-0.015576735092864058
7,0.7990185387131952,0.8128744034927404,0.7973939466335321,0.8430918281381634,"[[3324 1098]
 [ 745 4003]]",0.6726326065733811,0.31977513227513227,0.3528574742982488,0.4754083122793814,0.8780359028511088,0.7052083333333333,0.17282756951777545,0.7933615359583469,0.810515873015873,-0.017154337057526114
8,0.7932388222464558,0.8025411372630702,0.7925657097830141,0.8114995787700084,"[[3421 1001]
 [ 895 3853]]",0.6447579352356525,0.2837653478854025,0.36099258735025,0.4401114470684089,0.8654255319148936,0.6062753036437247,0.25915022827116885,0.7957678743186919,0.7878581173260573,0.007909756992634631
9,0.7282442748091603,0.743990137661804,0.7269765231436446,0.762636899747262,"[[3057 1365]
 [1127 3621]]",0.6050243111831443,0.4176666666666667,0.18735764451647757,0.6903303866416645,0.7829105473965287,0.6869391824526421,0.09597136494388658,0.7384116693679093,0.7073333333333334,0.031078336034575882
