seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8058887677208287,0.8163054695562435,0.8048900686884943,0.8329823083403538,"[[3435  987]
 [ 793 3955]]",0.6497518809028333,0.30208689702360586,0.34766498387922745,0.4649265448894964,0.866073764059639,0.6962162162162162,0.16985754784342277,0.798303185529054,0.8221005815942525,-0.023797396065198484
1,0.8002181025081788,0.8128702757916241,0.7988240519848487,0.8380370682392586,"[[3359 1063]
 [ 769 3979]]",0.6614109232769831,0.32239893969516237,0.3390119835818208,0.4874412084061535,0.8755307855626328,0.6938775510204082,0.1816532345422246,0.7986020806241872,0.8035122597746852,-0.004910179150497962
2,0.8011995637949837,0.8086892643509288,0.8008198934103322,0.8114995787700084,"[[3494  928]
 [ 895 3853]]",0.6316042267050913,0.2859097127222982,0.3456945139827931,0.4526722599907413,0.8531192419057647,0.6448893572181243,0.20822988468764037,0.797950688440602,0.8081395348837209,-0.010188846443118904
3,0.7972737186477644,0.8082516761217122,0.7962447089054994,0.8251895534962089,"[[3393 1029]
 [ 830 3918]]",0.6547523641609232,0.2940975776185602,0.360654786542363,0.4491737544093506,0.8708399366085579,0.6455301455301455,0.2253097910784123,0.7953197627824972,0.8014329580348004,-0.0061131952523032496
4,0.8115594329334788,0.8226600985221675,0.8103582950682751,0.8441449031171019,"[[3434  988]
 [ 740 4008]]",0.6537899691608505,0.32170156198072447,0.33208840718012606,0.4920564357902789,0.8797132235793946,0.7077393075356415,0.17197391604375312,0.8104203863009252,0.8138916583582586,-0.003471272057333441
5,0.8043620501635769,0.8120284995808885,0.8039281554241505,0.8161331086773378,"[[3501  921]
 [ 873 3875]]",0.6426256077795786,0.277,0.36562560777957853,0.43104413619167725,0.8596676338696914,0.6436781609195402,0.21598947295015114,0.7993517017828201,0.8146666666666667,-0.015314964883846538
6,0.802071973827699,0.8082813985423049,0.801934076267967,0.8058129738837405,"[[3529  893]
 [ 922 3826]]",0.614516129032258,0.30606060606060603,0.308455522971652,0.4980513799411437,0.836810139952469,0.6836628511966701,0.15314728875579886,0.7969354838709677,0.8127946127946128,-0.01585912892364516
7,0.8031624863685932,0.8149287398749104,0.8019157867703681,0.8369839932603201,"[[3391 1031]
 [ 774 3974]]",0.6550602017572404,0.3237433862433862,0.3313168155138542,0.4942192875936045,0.8653643083421331,0.725,0.1403643083421331,0.7953140253823625,0.8191137566137566,-0.023799731231394117
8,0.808287895310796,0.8204656862745097,0.8068962932141773,0.8460404380791913,"[[3395 1027]
 [ 731 4017]]",0.6543764026931709,0.3281036834924966,0.3262727192006743,0.5013990146071028,0.8819148936170212,0.7095141700404858,0.17240072357653546,0.8060275729400449,0.8130968622100955,-0.007069289270050572
9,0.7998909487459106,0.8160401002506266,0.7977783594854099,0.8572030328559394,"[[3265 1157]
 [ 678 4070]]",0.6841166936790923,0.3353333333333333,0.348783360345759,0.4901697859906815,0.8990654205607477,0.7008973080757727,0.198168112484975,0.80032414910859,0.799,0.0013241491085899115
