seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7655398037077427,0.7641509433962266,0.7667181725591237,0.7335720303285594,"[[3537  885]
 [1265 3483]]",0.6178965903633744,0.17379404721176872,0.4441025431516057,0.281267205422777,0.8100967826314412,0.4172972972972973,0.39279948533414394,0.7616455898831439,0.7738624700650018,-0.012216880181857848
1,0.7875681570338059,0.7995884773662553,0.7864298214830724,0.8184498736310025,"[[3336 1086]
 [ 862 3886]]",0.6529583875162549,0.3164347249834327,0.3365236625328222,0.48461698483895393,0.8569532908704883,0.6704081632653062,0.18654512760518216,0.784297789336801,0.794234592445328,-0.00993680310852696
2,0.5330425299890948,0.5995136550692106,0.5278090382124759,0.6750210614995787,"[[1683 2739]
 [1543 3205]]",0.6527377521613833,0.6385088919288646,0.01422886023251868,0.9782012604826315,0.6791260858120558,0.6585879873551106,0.02053809845694521,0.5651617034902338,0.46443228454172364,0.10072941894851012
3,0.5285714285714286,0.5791062214000583,0.524966497831742,0.6263689974726201,"[[1873 2549]
 [1774 2974]]",0.6339156916172464,0.5349709996588196,0.09894469195842681,0.843915061155847,0.6603275224511358,0.49272349272349275,0.16760402972764304,0.5606667735213977,0.46025247355851245,0.10041429996288526
4,0.6199563794983642,0.5751554309399001,0.6244945621132295,0.4968407750631845,"[[3326 1096]
 [2389 2359]]",0.37023210517773086,0.39016284479893654,-0.019930739621205673,1.053833093733559,0.47424322889006904,0.5835030549898167,-0.10925982609974766,0.5982795000811556,0.6643403123961449,-0.06606081231498928
5,0.7944383860414395,0.804440294636373,0.7936231666207525,0.8165543386689132,"[[3408 1014]
 [ 871 3877]]",0.6497568881685576,0.294,0.3557568881685576,0.45247692691444247,0.8599314165127935,0.644723092998955,0.21520832351383845,0.7925445705024311,0.7983333333333333,-0.005788762830902239
6,0.795092693565976,0.805627392158891,0.7941696129904205,0.8201347935973041,"[[3397 1025]
 [ 854 3894]]",0.6517741935483871,0.2956228956228956,0.35615129792549144,0.4535664322845714,0.8658568787958807,0.6399583766909469,0.22589850210493378,0.7951612903225806,0.794949494949495,0.00021179537308568808
7,0.7596510359869139,0.7682439537329128,0.7592925412761573,0.7693765796124684,"[[3313 1109]
 [1095 3653]]",0.6592905955092744,0.2347883597883598,0.4245022357209146,0.35612271946181123,0.8413410770855333,0.48541666666666666,0.35592441041886663,0.7614708753660918,0.7559523809523809,0.005518494413710884
8,0.8052344601962923,0.8144993768176153,0.8044756020007187,0.8258213984835721,"[[3463  959]
 [ 827 3921]]",0.6425136261622315,0.29740791268758526,0.34510571347464625,0.46288187608412096,0.8710106382978723,0.6538461538461539,0.21716448445171843,0.8047451106123757,0.8062755798090041,-0.001530469196628359
9,0.5512540894220284,0.627702886094273,0.5446423298228928,0.7306234203875316,"[[1586 2836]
 [1279 3469]]",0.6789303079416532,0.7053333333333334,-0.026403025391680157,1.0388891541338425,0.7225634178905207,0.7607178464606181,-0.03815442857009743,0.5912479740680713,0.469,0.12224797406807131
10,0.7813522355507089,0.7905130080451365,0.7807844155953022,0.7967565290648694,"[[3382 1040]
 [ 965 3783]]",0.6287271561397884,0.3072987721691678,0.32142838397062057,0.4887633199365805,0.8412824589295178,0.6242299794661191,0.21705247946339867,0.7842257133696697,0.7752387448840382,0.008986968485631519
11,0.8163576881134132,0.8253836582330983,0.8155507977459718,0.8382476832350463,"[[3506  916]
 [ 768 3980]]",0.64185667752443,0.31518151815181517,0.3266751593726148,0.49104656722967394,0.8736673773987207,0.7048192771084337,0.16884810029028696,0.8148208469055375,0.8194719471947195,-0.004651100289182031
12,0.7007633587786259,0.7119462523619569,0.7002682364390044,0.714195450716091,"[[3035 1387]
 [1357 3391]]",0.5964154264682349,0.359808284833961,0.23660714163427388,0.6032846718345647,0.738831615120275,0.6176165803108808,0.1212150348093941,0.6927508401344215,0.717904827114002,-0.0251539869795806
13,0.8032715376226827,0.8146702280665709,0.8020987293752574,0.8350884582982309,"[[3401 1021]
 [ 783 3965]]",0.6539020843431895,0.3149949681314995,0.33890711621169,0.48171580374743034,0.8725204972229569,0.688728024819028,0.18379247240392893,0.8012603005332041,0.8074471653807447,-0.006186864847540607
