seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7957470010905126,0.8113986506897592,0.7937999650975419,0.8485678180286437,"[[3268 1154]
 [ 719 4029]]",0.6784056347046582,0.3232979815258296,0.3551076531788286,0.47655556644451574,0.8838608422704682,0.7027027027027027,0.1811581395677655,0.7914198815431407,0.8049948682860075,-0.013574986742866835
1,0.8007633587786259,0.8106539537775934,0.7999173257553849,0.823715248525695,"[[3432  990]
 [ 837 3911]]",0.6524707412223667,0.29390324718356525,0.35856749403880145,0.4504466309599635,0.8659766454352441,0.6612244897959184,0.2047521556393257,0.7958387516254877,0.8108018555334658,-0.01496310390797817
2,0.8145038167938932,0.823199251637044,0.813783860813875,0.8340353833192923,"[[3509  913]
 [ 788 3960]]",0.6474543707973103,0.283515731874145,0.36393863892316525,0.4378929924050222,0.8783890497499341,0.6564805057955743,0.22190854395435988,0.8128402177393532,0.8180574555403557,-0.005217237801002472
3,0.7991275899672846,0.8125763125763126,0.797584652749121,0.8409856781802865,"[[3335 1087]
 [ 755 3993]]",0.6629267510819041,0.32207437734561584,0.3408523737362883,0.48583705035282815,0.8771790808240888,0.6985446985446986,0.1786343822793902,0.7948389164930277,0.8082565677243262,-0.013417651231298455
4,0.8081788440567067,0.8213306246825799,0.8065813709273957,0.8515164279696714,"[[3368 1054]
 [ 705 4043]]",0.6703457230968999,0.3213692256563642,0.34897649744053566,0.47940818384233896,0.8911311736590547,0.6995926680244399,0.19153850563461483,0.8078234052913488,0.8089066134928548,-0.0010832082015059807
5,0.7968375136314068,0.8100723825058619,0.7953654317826507,0.8367733782645325,"[[3334 1088]
 [ 775 3973]]",0.6695299837925446,0.31,0.3595299837925446,0.46301137739046233,0.8765497230282248,0.6792058516196448,0.19734387140858,0.793192868719611,0.8043333333333333,-0.011140464613722312
6,0.8133042529989095,0.8241577649958916,0.8121363771629712,0.8449873631002527,"[[3446  976]
 [ 736 4012]]",0.6532258064516129,0.31582491582491584,0.33740089062669704,0.48348505632456257,0.8790599419065224,0.7107180020811654,0.16834193982535695,0.8098387096774193,0.8205387205387206,-0.010700010861301235
7,0.7941112322791712,0.8126984126984127,0.7915837447517713,0.8626790227464195,"[[3186 1236]
 [ 652 4096]]",0.6954116498535633,0.3498677248677249,0.3455439249858384,0.5031088060451655,0.8917634635691658,0.7479166666666667,0.14384679690249913,0.7875040676863,0.8075396825396826,-0.020035614853382566
8,0.8089422028353326,0.8216975371463464,0.8074194490517468,0.8502527379949453,"[[3381 1041]
 [ 711 4037]]",0.663674254568772,0.3199181446111869,0.34375610995758515,0.4820409145131845,0.8914893617021277,0.6933198380566802,0.1981695236454475,0.8082718820134659,0.810368349249659,-0.002096467236193056
9,0.7981461286804798,0.8107555464676415,0.7967843919713679,0.8350884582982309,"[[3354 1068]
 [ 783 3965]]",0.6641815235008104,0.31166666666666665,0.35251485683414374,0.46924922726533264,0.8819759679572764,0.6600199401794616,0.22195602777781476,0.7995137763371151,0.7953333333333333,0.004180443003781731
10,0.8178844056706652,0.8276929426330993,0.8168931230345934,0.844776748104465,"[[3489  933]
 [ 737 4011]]",0.6405899326707278,0.32332878581173263,0.3172611468589952,0.5047359774508479,0.8786433492315845,0.7135523613963038,0.16509098783528064,0.8175697338890671,0.8185538881309686,-0.0009841542419015692
11,0.8136314067611777,0.8244478685156652,0.8124678266780518,0.8451979780960405,"[[3448  974]
 [ 735 4013]]",0.654885993485342,0.3188118811881188,0.3360741122972232,0.4868204303643495,0.8832622601279317,0.7018072289156626,0.18145503121226914,0.8135179153094463,0.8138613861386138,-0.0003434708291675248
12,0.8057797164667394,0.8180239092673955,0.8044043491663226,0.8430918281381634,"[[3386 1036]
 [ 745 4003]]",0.657225156024964,0.31906881205066756,0.33815634397429645,0.4854786964949164,0.8789320644990748,0.7025906735751295,0.1763413909239453,0.8015682509201473,0.8147894556658678,-0.013221204745720527
13,0.8047982551799345,0.8163349066283604,0.8035807978564709,0.8378264532434709,"[[3402 1020]
 [ 770 3978]]",0.6519631604459525,0.3230459577323046,0.3289172027136479,0.4954972571016687,0.8733139381116107,0.6990692864529473,0.17424465165866343,0.8041686863790596,0.8061053337806106,-0.0019366474015509727
14,0.7949836423118866,0.810369174904176,0.793101630165783,0.8460404380791913,"[[3273 1149]
 [ 731 4017]]",0.6760586056995653,0.32679959445758705,0.3492590112419783,0.4833894453860617,0.8796735123749342,0.7115789473684211,0.1680945650065131,0.7882788600869425,0.8090571138898276,-0.020778253802885116
