seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7840785169029444,0.7997977755308392,0.7822758669698151,0.8329823083403538,"[[3235 1187]
 [ 793 3955]]",0.6686409476548744,0.3301402668491276,0.33850068080574675,0.493748203736294,0.8665969134187811,0.6940540540540541,0.17254285936472702,0.7800544261245398,0.7926787547040711,-0.01262432857953133
1,0.7914940021810251,0.8019063406547866,0.7906245939636276,0.8150800336983993,"[[3388 1034]
 [ 878 3870]]",0.648407022106632,0.30318091451292245,0.3452261075937096,0.46757808625808445,0.8585456475583864,0.6479591836734694,0.21058646388491697,0.7907997399219766,0.792909211398277,-0.002109471476300362
2,0.8091603053435115,0.8196619950535862,0.8081114017109063,0.8376158382476833,"[[3443  979]
 [ 771 3977]]",0.6517771373679154,0.3026675786593707,0.3491095587085447,0.4643728067566764,0.8768096867596736,0.6807165437302424,0.19609314302943126,0.8065962215818123,0.8146374829001368,-0.0080412613183245
3,0.7744820065430752,0.7835461586769938,0.7739714824819001,0.7883319292333614,"[[3359 1063]
 [1005 3743]]",0.632473152748838,0.2934152166496076,0.33905793609923035,0.46391726727747135,0.8341257263602747,0.6081081081081081,0.2260176182521666,0.7730405513704119,0.7775503241214603,-0.004509772751048358
4,0.7883315158124319,0.7992968669217247,0.7873843522679167,0.8140269587194608,"[[3364 1058]
 [ 883 3865]]",0.6500568089595845,0.3050847457627119,0.3449720631968726,0.46932012949914304,0.8584705257567711,0.6435845213849287,0.21488600437184235,0.7881837364064276,0.7886340977068793,-0.0004503613004517293
5,0.7814612868047982,0.7927611168562565,0.7805093110689183,0.8072872788542544,"[[3333 1089]
 [ 915 3833]]",0.6473257698541329,0.30933333333333335,0.3379924365207996,0.47786346185945583,0.8472698496438934,0.6489028213166145,0.19836702832727893,0.779416531604538,0.7856666666666666,-0.00625013506212857
6,0.798691384950927,0.8107443100266557,0.7974351456320298,0.8327716933445661,"[[3370 1052]
 [ 794 3954]]",0.6520967741935484,0.3242424242424242,0.32785434995112417,0.49723052938487017,0.8671771851069449,0.6971904266389178,0.16998675846802702,0.7964516129032259,0.8033670033670034,-0.006915390463777538
7,0.7760087241003272,0.7911752745018301,0.7744054770186747,0.819502948609941,"[[3225 1197]
 [ 857 3891]]",0.662382037097299,0.33630952380952384,0.3260725132877752,0.5077274215999346,0.8537486800422387,0.684375,0.16937368004223874,0.7736739342661894,0.7807539682539683,-0.0070800339877789
8,0.7983642311886586,0.8077762761201788,0.7976316148445183,0.8182392586352149,"[[3436  986]
 [ 863 3885]]",0.6352997755690927,0.3096862210095498,0.3256135545595429,0.4874647102340579,0.8582446808510639,0.6659919028340081,0.19225277801705576,0.7965694132734851,0.8021828103683493,-0.005613397094864192
9,0.7844056706652126,0.7982447188488622,0.7829566744663754,0.823715248525695,"[[3282 1140]
 [ 837 3911]]",0.6525121555915722,0.3416666666666667,0.3108454889249055,0.5236173207484682,0.8616822429906542,0.6819541375872383,0.17972810540341588,0.786547811993517,0.78,0.00654781199351695
10,0.8091603053435115,0.8198105436573312,0.8080803476681081,0.8384582982308341,"[[3439  983]
 [ 767 3981]]",0.647643475472908,0.3151432469304229,0.3325002285424851,0.4865998946415787,0.8783783783783784,0.6837782340862423,0.19460014429213612,0.8101955755049696,0.8069577080491133,0.0032378674558563025
11,0.7973827699018539,0.807461139896373,0.7965285771494828,0.8205560235888796,"[[3416 1006]
 [ 852 3896]]",0.6480456026058632,0.30462046204620463,0.34342514055965856,0.47006022542440223,0.8667377398720683,0.6465863453815262,0.2201513944905421,0.8001628664495114,0.7917491749174917,0.008413691532019651
12,0.7949836423118866,0.8081632653061224,0.7935441502756571,0.8340353833192923,"[[3330 1092]
 [ 788 3960]]",0.6610657705232837,0.3153029784320438,0.34576279209123995,0.47696158611034656,0.8717948717948718,0.6860103626943005,0.18578450910057132,0.7890862538006082,0.8076001369394044,-0.018513883138796206
13,0.7967284623773173,0.8062772812305133,0.7959821307798146,0.8169755686604886,"[[3427  995]
 [ 869 3879]]",0.6387138471481661,0.3089567259308957,0.32975712121727047,0.4837169685773623,0.856651679449881,0.6618407445708376,0.19481093487904333,0.7970592987558571,0.7960415967796042,0.0010177019762529493
14,0.7792802617230098,0.7908226539892517,0.7783022354719472,0.8058129738837405,"[[3320 1102]
 [ 922 3826]]",0.646916760586057,0.3075363298411626,0.3393804307448944,0.4753877911009111,0.8438651922064244,0.6536842105263158,0.19018098168010866,0.7736274351956207,0.7911456573166611,-0.017518222121040372
15,0.8047982551799345,0.8138906217508838,0.8040776625412418,0.8243470935130581,"[[3466  956]
 [ 834 3914]]",0.637258064516129,0.30942760942760944,0.32783045508851955,0.4855609158317334,0.8618143459915611,0.6757322175732218,0.18608212841833938,0.8053225806451613,0.8037037037037037,0.0016188769414575699
16,0.8057797164667394,0.8161833006502219,0.8047847611906005,0.8327716933445661,"[[3435  987]
 [ 794 3954]]",0.6424920127795527,0.31580756013745703,0.32668445264209567,0.49153538698669347,0.8733474352194606,0.6739130434782609,0.1994343917411997,0.8086261980830671,0.7996563573883162,0.00896984069475093
17,0.7973827699018539,0.8080578512396693,0.7964121244889896,0.823715248525695,"[[3401 1021]
 [ 837 3911]]",0.6376788297701335,0.32722956934554087,0.3104492604245926,0.5131573357445449,0.8553509474246064,0.7052947052947053,0.1500562421299011,0.7903873975245137,0.8121397083757206,-0.02175231085120688
18,0.7934569247546347,0.8077547706049533,0.7918136494520581,0.8380370682392586,"[[3297 1125]
 [ 769 3979]]",0.6700178368736825,0.32367632367632365,0.3463415131973589,0.48308612974634263,0.8819742489270386,0.6774509803921569,0.20452326853488167,0.7917950381060483,0.7968697968697969,-0.005074758763748521
19,0.7940021810250818,0.8092111907888093,0.7921693897061374,0.8437236731255265,"[[3275 1147]
 [ 742 4006]]",0.6739932616717471,0.324140279196459,0.3498529824752881,0.4809251036018874,0.8875865743207245,0.6780684104627767,0.20951816385794786,0.7928766244184181,0.7963908750425605,-0.0035142506241423455
