seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8173391494002181,0.8279050652419605,0.8161880247990346,0.8485678180286437,"[[3466  956]
 [ 719 4029]]",0.663998719385305,0.2863496407800205,0.37764907860528446,0.4312502907311447,0.8890923358618885,0.6810810810810811,0.2080112547808074,0.8122298703377622,0.8282586383852206,-0.016028768047458453
1,0.811123227917121,0.8217006382540663,0.8100379907157939,0.840564448188711,"[[3447  975]
 [ 757 3991]]",0.6635240572171651,0.292909211398277,0.3706148458188881,0.44144474976046066,0.8848195329087049,0.6704081632653062,0.21441136964339869,0.8078673602080624,0.8177601060304838,-0.00989274582242139
2,0.8122137404580153,0.8213692946058091,0.8114171331441132,0.8338247683235046,"[[3489  933]
 [ 789 3959]]",0.6559398014729427,0.2718878248974008,0.3840519765755419,0.41450118484480486,0.883127138720716,0.6364594309799789,0.2466677077407371,0.8101184758245277,0.8166894664842681,-0.006570990659740428
3,0.8101417666303162,0.8210136732805593,0.8090048246170541,0.8409856781802865,"[[3436  986]
 [ 755 3993]]",0.659400544959128,0.29512111907198907,0.36427942588713896,0.4475597136339669,0.8858954041204438,0.6642411642411642,0.22165423987927957,0.808943740984132,0.812691914022518,-0.003748173038385927
4,0.8242093784078517,0.8337458745874587,0.8232105727013245,0.8513058129738837,"[[3516  906]
 [ 706 4042]]",0.6565492614835254,0.3000997008973081,0.35644956058621735,0.4570863429489036,0.8927243759957515,0.6924643584521385,0.200260017543613,0.8235676026619055,0.8255234297108675,-0.001955827048961911
5,0.8195201744820065,0.8282304099636741,0.8187522218881849,0.8403538331929233,"[[3525  897]
 [ 758 3990]]",0.6560777957860616,0.2796666666666667,0.37641112911939495,0.4262705862977602,0.883671854391981,0.6687565308254964,0.21491532356648468,0.8153970826580227,0.828,-0.012602917341977271
6,0.8177753544165758,0.8267496111975117,0.8169663762827891,0.8397219882055602,"[[3512  910]
 [ 761 3987]]",0.6519354838709678,0.2878787878787879,0.3640566959921799,0.44157557764682953,0.8814364932664378,0.6753381893860562,0.20609830388038164,0.8140322580645162,0.8255892255892255,-0.01155696752470936
7,0.8101417666303162,0.8217466980649126,0.8088495544030633,0.8451979780960405,"[[3416 1006]
 [ 735 4013]]",0.666124308493329,0.3058862433862434,0.36023806510708567,0.45920294378403803,0.880675818373812,0.7052083333333333,0.1754674850404787,0.803123983078425,0.8244047619047619,-0.021280778826336832
8,0.8175572519083969,0.8272229680884025,0.8166004910730106,0.8435130581297389,"[[3492  930]
 [ 743 4005]]",0.6532542481564604,0.2933151432469304,0.35993910490952996,0.4490061014906385,0.8893617021276595,0.6690283400809717,0.22033336204668785,0.8161269637704393,0.820600272851296,-0.004473309080856747
9,0.8179934569247547,0.8278849128596473,0.8169829035110882,0.8454085930918281,"[[3487  935]
 [ 734 4014]]",0.6602917341977309,0.2916666666666667,0.3686250675310642,0.4417239404352807,0.8942590120160213,0.6630109670987039,0.23124804491731743,0.8183144246353322,0.8173333333333334,0.0009810913019988599
