seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8085059978189749,0.8203764320785597,0.807176779806261,0.8445661331086773,"[[3404 1018]
 [ 738 4010]]",0.6534336481511125,0.32364009579199454,0.32979355235911795,0.4952914449810363,0.8713052576510594,0.7340540540540541,0.13725120359700527,0.801024491756043,0.8244953814574068,-0.023470889701363795
1,0.8003271537622683,0.8110618099267362,0.7993175350177198,0.8277169334456613,"[[3409 1013]
 [ 818 3930]]",0.651332899869961,0.3101391650099404,0.34119373486002064,0.4761607544649746,0.8667728237791932,0.6775510204081633,0.1892218033710299,0.7979518855656696,0.805168986083499,-0.007217100517829311
2,0.7973827699018539,0.8095530955309553,0.7961171110824068,0.8317186183656277,"[[3363 1059]
 [ 799 3949]]",0.664905539545309,0.2924076607387141,0.37249787880659485,0.4397732359677362,0.8768096867596736,0.6512118018967334,0.2255978848629402,0.7934678194044188,0.8057455540355677,-0.012277734631148896
3,0.798691384950927,0.809297520661157,0.7977223955279129,0.8249789385004213,"[[3407 1015]
 [ 831 3917]]",0.6493027728802693,0.3005800068236097,0.3487227660566596,0.4629273420322145,0.8676703645007924,0.656964656964657,0.21070570753613538,0.7969225837473954,0.8024564994882293,-0.005533915740833839
4,0.8114503816793893,0.8208104466784123,0.81061787257326,0.8340353833192923,"[[3481  941]
 [ 788 3960]]",0.6474598279500081,0.30309072781655033,0.3443691001334578,0.46812283130553184,0.8741370154009559,0.6802443991853361,0.19389261621561982,0.8099334523616296,0.8145563310069791,-0.004622878645349493
5,0.8054525627044711,0.814899356713011,0.8046551629537082,0.8270850884582982,"[[3459  963]
 [ 821 3927]]",0.6424635332252836,0.30866666666666664,0.33379686655861696,0.48044231416078037,0.8604589817989976,0.6948798328108673,0.1655791489881303,0.8004862236628849,0.8156666666666667,-0.01518044300378174
6,0.8079607415485278,0.8177961717537506,0.8070617083838676,0.8323504633529908,"[[3457  965]
 [ 796 3952]]",0.6469354838709678,0.30505050505050507,0.3418849788204627,0.4715315710080108,0.8677053076313704,0.6930280957336108,0.17467721189775964,0.802258064516129,0.8198653198653199,-0.01760725534919083
7,0.8034896401308615,0.8141884924726747,0.8024568510743365,0.83150800336984,"[[3420 1002]
 [ 800 3948]]",0.6456231695411649,0.3247354497354497,0.32088771980571523,0.5029798573775388,0.8582365364308342,0.7260416666666667,0.1321948697641675,0.7959648551903677,0.8187830687830688,-0.022818213592701087
8,0.8023991275899672,0.8095037846930193,0.802086965036958,0.8108677337826453,"[[3508  914]
 [ 898 3850]]",0.6301699262584162,0.284106412005457,0.34606351425295917,0.45084095601374735,0.8563829787234043,0.6376518218623481,0.21873115686105615,0.7994549535107406,0.8086630286493861,-0.009208075138645522
9,0.8062159214830971,0.8171246269424719,0.8051128290537813,0.8361415332771693,"[[3423  999]
 [ 778 3970]]",0.6520259319286872,0.31533333333333335,0.33669259859535383,0.4836208467975806,0.8785046728971962,0.6779661016949152,0.20053857120228102,0.8074554294975689,0.8036666666666666,0.003788762830902237
10,0.8099236641221375,0.8205867215645909,0.8088330271747641,0.8395113732097725,"[[3441  981]
 [ 762 3986]]",0.6458800897723629,0.3199181446111869,0.325961945161176,0.4953212673329819,0.8751987281399046,0.7012320328542094,0.1739666952856952,0.8081115742225072,0.8137789904502046,-0.005667416227697397
11,0.8076335877862595,0.8159048215403883,0.807056326318168,0.8232940185341197,"[[3497  925]
 [ 839 3909]]",0.6363192182410423,0.30594059405940593,0.3303786241816364,0.48079735027508386,0.8659381663113006,0.6626506024096386,0.20328756390166203,0.8109120521172638,0.800990099009901,0.009921953107362769
12,0.8035986913849509,0.8137346157823974,0.8026786112327234,0.8285593934288121,"[[3435  987]
 [ 814 3934]]",0.6399423907825252,0.3156453269428278,0.3242970638396974,0.49324022207195073,0.8620142743854085,0.6974093264248704,0.16460494796053804,0.7983677388382141,0.8147894556658678,-0.0164217168276537
