seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8184296619411123,0.8292482822274639,0.817210045735175,0.8515164279696714,"[[3462  960]
 [ 705 4043]]",0.6652793340803586,0.2897707834416695,0.37550855063868904,0.43556258040426116,0.8898770599006016,0.692972972972973,0.19690408692762862,0.8119097166639987,0.8323640095791994,-0.020454292915200734
1,0.8106870229007633,0.8211046990931574,0.809640051256317,0.8390901432181971,"[[3450  972]
 [ 764 3984]]",0.6615734720416124,0.2935719019218025,0.36800157011980994,0.4437479952390489,0.8824309978768577,0.6724489795918367,0.20998201828502105,0.8068920676202861,0.8184227965540093,-0.0115307289337232
2,0.8112322791712104,0.8206031713130896,0.8103994940667726,0.8338247683235046,"[[3480  942]
 [ 789 3959]]",0.6549791866794749,0.2770177838577291,0.37796140282174573,0.422941353697232,0.8818110028954989,0.6417281348788199,0.240082868016679,0.8094780659622158,0.8149794801641587,-0.005501414201942834
3,0.8088331515812431,0.8197799938316028,0.8076945535781307,0.8397219882055602,"[[3430  992]
 [ 761 3987]]",0.6595608270556179,0.2947799385875128,0.36478088846810514,0.4469336663055874,0.8858954041204438,0.658004158004158,0.22789124611628575,0.8087834588876422,0.8089389286932788,-0.00015546980563652113
4,0.8235550708833151,0.833161476593112,0.8225476736711632,0.8508845829823083,"[[3512  910]
 [ 708 4040]]",0.6576854406752151,0.29843801927550684,0.3592474213997082,0.4537701472745305,0.8927243759957515,0.6904276985743381,0.20229667742141344,0.8224314234702159,0.8258557660352277,-0.0034243425650117842
5,0.8197382769901854,0.8285447567679701,0.8189473098625735,0.8411962931760741,"[[3523  899]
 [ 754 3994]]",0.6572123176661264,0.2793333333333333,0.3778789843327931,0.4250275380189067,0.8865734634661039,0.6614420062695925,0.2251314571965114,0.8178282009724474,0.8236666666666667,-0.005838465694219308
6,0.8166848418756816,0.8258933195235629,0.8158356661968552,0.8397219882055602,"[[3502  920]
 [ 761 3987]]",0.6527419354838709,0.2895622895622896,0.36317964592158136,0.4436091414099816,0.8817005545286506,0.6742976066597295,0.2074029478689211,0.8135483870967742,0.8232323232323232,-0.009683936135548965
7,0.8107960741548528,0.8219234322077389,0.8095978520509195,0.8433024431339511,"[[3431  991]
 [ 744 4004]]",0.6648226488773186,0.3005952380952381,0.3642274107820805,0.4521434981236743,0.8814677930306231,0.6927083333333334,0.1887594596972897,0.8054018874064433,0.8217592592592593,-0.01635737185281605
8,0.818102508178844,0.8277215451353026,0.8171503190945785,0.8439342881213142,"[[3495  927]
 [ 741 4007]]",0.6542160949022122,0.2909276944065484,0.3632884004956638,0.4446966326165276,0.8912234042553191,0.6639676113360324,0.22725579291928666,0.8174094260981084,0.8195770804911323,-0.00216765439302391
9,0.8177753544165758,0.8278207109737249,0.8167334709618028,0.8460404380791913,"[[3482  940]
 [ 731 4017]]",0.6607779578606159,0.29333333333333333,0.36744462452728255,0.4439211838770338,0.8945260347129506,0.6650049850448654,0.22952104966808518,0.8181523500810373,0.817,0.0011523500810373122
