seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7176663031624864,0.7548991763703494,0.7131671903940511,0.8397219882055602,"[[2594 1828]
 [ 761 3987]]",0.7043380822794941,0.4840916866233322,0.22024639565616194,0.6873001741672627,0.8642427413026419,0.7383783783783784,0.1258643629242635,0.7414759084360493,0.6667807047553883,0.07469520368066096
1,0.715485278080698,0.7503110345487606,0.7114259254390527,0.8256107834877844,"[[2641 1781]
 [ 828 3920]]",0.7105006501950585,0.44068919814446655,0.2698114520505919,0.6202516465304869,0.85828025477707,0.7,0.15828025477707008,0.7283810143042913,0.6891981444665342,0.039182869837757095
2,0.5359869138495092,0.6888027499451473,0.5191856353523796,0.9917860151642797,"[[ 206 4216]
 [  39 4709]]",0.9830291386487352,0.9524623803009576,0.030566758347777556,0.9689055419152739,0.9939457752040011,0.9831401475237092,0.010805627680291918,0.6178354146653858,0.36114911080711354,0.2566863038582723
3,0.5431842966194111,0.6933606617377938,0.526438707130656,0.9974726200505476,"[[ 245 4177]
 [  12 4736]]",0.9778810706844046,0.9593995223473217,0.01848154833708282,0.9811004130347386,0.9978869519281564,0.9958419958419958,0.00204495608616051,0.6263824330822247,0.366086659843057,0.26029577323916775
4,0.7624863685932388,0.7574069948763645,0.7641965557065709,0.7160909856781803,"[[3592  830]
 [1348 3400]]",0.6159714332088947,0.14456630109670987,0.4714051321121848,0.23469643769613424,0.8093467870419543,0.35845213849287166,0.4508946485490826,0.7622139263106639,0.7630442007311399,-0.0008302744204760071
5,0.7949836423118866,0.803470625130671,0.794452481027504,0.8093934288121314,"[[3447  975]
 [ 905 3843]]",0.6424635332252836,0.2846666666666667,0.3577968665586169,0.44308610830810635,0.8559746768662622,0.6248693834900731,0.231105293376189,0.7949756888168558,0.795,-2.4311183144276605e-05
6,0.7893129770992366,0.8040567951318458,0.7876334037860022,0.8348778433024431,"[[3274 1148]
 [ 784 3964]]",0.6743548387096774,0.31346801346801345,0.36088682524166393,0.464841349797102,0.876419329284394,0.6711758584807492,0.2052434708036448,0.785483870967742,0.7973063973063973,-0.011822526338655326
7,0.7856052344601963,0.8007701661937576,0.7838899151329206,0.832139848357203,"[[3253 1169]
 [ 797 3951]]",0.6931337455255451,0.2843915343915344,0.40874221113401066,0.4102982090071292,0.8896515311510031,0.6052083333333333,0.2844431978176698,0.7871786527822975,0.7824074074074074,0.004771245374890043
8,0.801308615049073,0.8123197362999587,0.8002342484559664,0.8304549283909014,"[[3405 1017]
 [ 805 3943]]",0.643635780698942,0.3223055934515689,0.3213301872473731,0.5007577314946169,0.8686170212765958,0.6852226720647774,0.1833943492118184,0.8007374158384097,0.8025238744884038,-0.0017864586499940494
9,0.7696837513631407,0.777496839443742,0.7694078241708666,0.7771693344566133,"[[3368 1054]
 [1058 3690]]",0.6453808752025932,0.254,0.39138087520259324,0.393566047212456,0.8496662216288384,0.5064805583250249,0.3431856633038135,0.7790923824959481,0.7503333333333333,0.028759049162614847
