seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.80567066521265,0.8166666666666667,0.804555237521514,0.8359309182813817,"[[3419 1003]
 [ 779 3969]]",0.6524731871298223,0.3065343824837496,0.3459388046460727,0.4698037996506339,0.8673816374574941,0.705945945945946,0.1614356915115481,0.797182647670882,0.823811152925077,-0.026628505254195
1,0.7990185387131952,0.809390836694591,0.7980926625964915,0.8241364785172705,"[[3414 1008]
 [ 835 3913]]",0.651332899869961,0.3028495692511597,0.3484833306188013,0.4649689418600285,0.8665074309978769,0.6612244897959184,0.2052829412019584,0.797626788036411,0.8018555334658715,-0.0042287454294605
2,0.8021810250817885,0.811708532281503,0.8013950123777985,0.8235046335299073,"[[3446  976]
 [ 838 3910]]",0.6428113992955492,0.2978796169630643,0.3449317823324849,0.4634012671360646,0.8623321926822848,0.6680716543730242,0.1942605383092606,0.797950688440602,0.811217510259918,-0.0132668218193159
3,0.8025081788440567,0.8131255804354556,0.8015013200825924,0.8298230834035384,"[[3419 1003]
 [ 808 3940]]",0.6451354383715339,0.3132036847492323,0.3319317536223015,0.4854851650063256,0.8663497094558901,0.6860706860706861,0.1802790233852039,0.7994870972912326,0.8089389286932788,-0.0094518314020461
4,0.8124318429661941,0.8216507673164662,0.8116199846292014,0.8344566133108677,"[[3488  934]
 [ 786 3962]]",0.6456744035059243,0.3050847457627119,0.3405896577432124,0.4725055602423499,0.8738714816781731,0.6832993890020367,0.1905720926761364,0.8113942541795163,0.8145563310069791,-0.0031620768274628
5,0.8031624863685932,0.8129339827961448,0.8023194893267446,0.8260320134793597,"[[3443  979]
 [ 826 3922]]",0.6499189627228525,0.297,0.3529189627228525,0.4569800498753116,0.8644157214455289,0.6739811912225705,0.1904345302229584,0.7978930307941653,0.814,-0.0161069692058346
6,0.8077426390403489,0.8178907137692387,0.806781221791784,0.8338247683235046,"[[3448  974]
 [ 789 3959]]",0.6498387096774193,0.3043771043771043,0.3454616053003149,0.4683886937547896,0.8695537364668603,0.6930280957336108,0.1765256407332495,0.8016129032258065,0.8205387205387206,-0.018925817312914
7,0.8016357688113414,0.8145580589254766,0.80016975892537,0.8414069081718618,"[[3356 1066]
 [ 753 3995]]",0.6625447445493003,0.3270502645502645,0.3354944799990358,0.4936274376045987,0.8698521647307286,0.7291666666666666,0.1406854980640619,0.7933615359583469,0.8184523809523809,-0.025090844994034
8,0.8076335877862595,0.8195211786372008,0.8063110292910115,0.8435130581297389,"[[3401 1021]
 [ 743 4005]]",0.6558191728117987,0.3188949522510232,0.3369242205607755,0.4862543906482235,0.8821808510638298,0.6963562753036437,0.185824575760186,0.8049054184033344,0.8134379263301501,-0.0085325079268157
9,0.8037077426390403,0.8147767030253138,0.8025975944738283,0.8338247683235046,"[[3411 1011]
 [ 789 3959]]",0.6497568881685576,0.3203333333333333,0.3294235548352242,0.4930049056290014,0.8761014686248331,0.6759720837487537,0.2001293848760793,0.806807131280389,0.7973333333333333,0.0094737979470556
10,0.8105779716466739,0.8191566892243622,0.8099151557827009,0.8285593934288121,"[[3499  923]
 [ 814 3934]]",0.6348188521962167,0.3059345156889495,0.3288843365072671,0.4819241184009261,0.8661897191308956,0.6827515400410678,0.1834381790898278,0.8082718820134659,0.8154843110504775,-0.0072124290370115
11,0.809814612868048,0.8193494924383675,0.8089606249978567,0.8329823083403538,"[[3471  951]
 [ 793 3955]]",0.6488599348534202,0.3042904290429042,0.3445695058105159,0.4689616552016647,0.8760660980810234,0.6706827309236948,0.2053833671573286,0.8107491856677524,0.807920792079208,0.0028283935885444
12,0.8076335877862595,0.8191140278917145,0.8063964279087066,0.8411962931760741,"[[3412 1010]
 [ 754 3994]]",0.6529044647143543,0.3163300239643957,0.3365744407499585,0.4844966469984091,0.8762886597938144,0.7036269430051814,0.172661716788633,0.8026884301488239,0.8182129407737077,-0.0155245106248838
13,0.8046892039258452,0.8153417878131766,0.8036540511046666,0.8327716933445661,"[[3425  997]
 [ 794 3954]]",0.6530941993860074,0.3049312311304931,0.3481629682555143,0.4669023724558689,0.8738428987040465,0.672182006204757,0.2016608924992895,0.8036839554047503,0.8067762495806776,-0.0030922941759272
14,0.8023991275899672,0.8140394088669951,0.8011863977958107,0.8352990732940185,"[[3392 1030]
 [ 782 3966]]",0.6544839800354211,0.3146333220682663,0.3398506579671547,0.4807349479375158,0.8699315429173249,0.6968421052631579,0.1730894376541669,0.7979391402350668,0.8117607299763434,-0.0138215897412765
15,0.8031624863685932,0.8140133951571354,0.8021021110271571,0.8319292333614153,"[[3415 1007]
 [ 798 3950]]",0.6495161290322581,0.3131313131313131,0.3363848159009449,0.4820993646422005,0.8715717299578059,0.6746861924686193,0.1968855374891865,0.805,0.7993265993265993,0.0056734006734007
16,0.8026172300981461,0.8130937629078893,0.8016376816232843,0.8291912384161753,"[[3423  999]
 [ 811 3937]]",0.6381789137380192,0.3233676975945017,0.3148112161435174,0.5067038265185434,0.8670015864621893,0.6811594202898551,0.1858421661723341,0.8052715654952076,0.7969072164948454,0.0083643490003622
17,0.8061068702290076,0.813860971524288,0.8056441294332504,0.8186604886267902,"[[3505  917]
 [ 861 3887]]",0.627391094679312,0.3055272973889454,0.3218637972903665,0.4869806090332128,0.8513477448625567,0.6963036963036963,0.1550440485588604,0.7958527567915126,0.8277382163445236,-0.031885459553011
18,0.8023991275899672,0.8131188118811881,0.8013727220525999,0.8302443133951137,"[[3416 1006]
 [ 806 3942]]",0.6513701962056105,0.31002331002331,0.3413468861823005,0.4759556268144767,0.875,0.6666666666666666,0.2083333333333333,0.8020107021242096,0.8031968031968032,-0.0011861010725936
19,0.8015267175572519,0.8095835948943294,0.8010348902649195,0.8148694187026116,"[[3481  941]
 [ 879 3869]]",0.6265040911278678,0.3081375553285665,0.3183665357993012,0.4918364615526134,0.8529568460309004,0.6710261569416499,0.1819306890892504,0.7986523343494305,0.8076268300987403,-0.0089744957493097
