seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8106870229007633,0.8232539197719405,0.8091820041250438,0.8515164279696714,"[[3391 1031]
 [ 705 4043]]",0.6633584120377781,0.3181662675333561,0.345192144504422,0.4796295061005974,0.8817682448339,0.7264864864864865,0.1552817583474135,0.8039058748199136,0.8251796099897366,-0.021273735169823
1,0.7995637949836423,0.8088204701477013,0.7988521054069471,0.818871103622578,"[[3444  978]
 [ 860 3888]]",0.6432054616384916,0.3011928429423459,0.3420126186961456,0.4682684785901724,0.8585456475583864,0.6663265306122449,0.1922191169461414,0.7960013003901171,0.8068257123923128,-0.0108244120021957
2,0.80567066521265,0.8162886597938145,0.8046328726285095,0.8338247683235046,"[[3429  993]
 [ 789 3959]]",0.654178674351585,0.2961696306429549,0.3580090437086302,0.452735074154649,0.8744406422742828,0.6712328767123288,0.2032077655619539,0.8013128402177394,0.8149794801641587,-0.0136666399464192
3,0.8037077426390403,0.8135874067937033,0.8028382633055142,0.827295703454086,"[[3442  980]
 [ 820 3928]]",0.6430517711171662,0.305697714090754,0.3373540570264121,0.4753858519970624,0.8658214474379292,0.6756756756756757,0.1901457717622535,0.800929636159641,0.8096212896622313,-0.0086916535025903
4,0.8131952017448201,0.8222106901920083,0.8124192452000547,0.8342459983150801,"[[3496  926]
 [ 787 3961]]",0.6422658659308553,0.3090727816550349,0.3331930842758204,0.4812224937520015,0.8712161444503452,0.6924643584521385,0.1787517859982067,0.8115565654926148,0.8165503489531406,-0.0049937834605258
5,0.8029443838604144,0.8139223560910308,0.8018604419885713,0.8323504633529908,"[[3411 1011]
 [ 796 3952]]",0.6552674230145867,0.3066666666666666,0.3486007563479201,0.4680023085167779,0.8691638090213664,0.6865203761755486,0.1826434328458177,0.7983792544570503,0.8123333333333334,-0.013954078876283
6,0.8088331515812431,0.8177186232712904,0.8081215466666057,0.8281381634372368,"[[3485  937]
 [ 816 3932]]",0.6411290322580645,0.301010101010101,0.3401189312479635,0.4695000317641827,0.8637443886981779,0.6878251821019771,0.1759192065962008,0.8032258064516129,0.8205387205387206,-0.0173129140871076
7,0.8021810250817885,0.8150112176218641,0.8007273504576374,0.8416175231676495,"[[3360 1062]
 [ 752 3996]]",0.6633582818093069,0.3244047619047619,0.338953519904545,0.4890340119368817,0.8709081309398099,0.7260416666666667,0.1448664642731432,0.7938496583143508,0.8191137566137566,-0.0252640982994057
8,0.8092693565976009,0.8194114610221993,0.8082943443157955,0.8357203032855939,"[[3453  969]
 [ 780 3968]]",0.6455594741904457,0.3103683492496589,0.3351911249407867,0.4807742147055804,0.874468085106383,0.6882591093117408,0.1862089757946421,0.8058672651490862,0.8165075034106412,-0.0106402382615549
9,0.8055616139585605,0.8159768809990712,0.8045663826841133,0.8325610783487785,"[[3434  988]
 [ 795 3953]]",0.6491085899513777,0.312,0.3371085899513776,0.4806591760299625,0.8758344459279038,0.67098703888335,0.2048474070445538,0.807131280388979,0.8023333333333333,0.0047979470556456
10,0.8124318429661941,0.8222405952873089,0.8114957684580086,0.8378264532434709,"[[3472  950]
 [ 770 3978]]",0.6425136261622315,0.3137789904502046,0.3287346357120269,0.4883616123823294,0.8751987281399046,0.6930184804928131,0.1821802476470915,0.8114780378326387,0.8144611186903138,-0.002983080857675
11,0.8100327153762268,0.8179728317659353,0.809505070953725,0.8243470935130581,"[[3514  908]
 [ 834 3914]]",0.637785016286645,0.299009900990099,0.3387751152965459,0.4688255342388171,0.8672707889125799,0.6626506024096386,0.2046201865029413,0.8110749185667753,0.807920792079208,0.0031541264875672
12,0.8088331515812431,0.8186239006725298,0.8079352224098166,0.8331929233361416,"[[3461  961]
 [ 792 3956]]",0.6460233637381981,0.3012666894899007,0.3447566742482974,0.4663402384499354,0.8707375099127677,0.6860103626943005,0.1847271472184671,0.8028484557529205,0.8216364258815474,-0.0187879701286268
13,0.8034896401308615,0.8166463166463167,0.8019522228788659,0.8451979780960405,"[[3355 1067]
 [ 735 4013]]",0.6650508967523024,0.3233814156323381,0.3416694811199643,0.4862506271497912,0.8823062681830204,0.7001034126163392,0.1822028555666811,0.8020681854903862,0.8064407916806441,-0.0043726061902579
14,0.8046892039258452,0.8158733422432404,0.8035453619548729,0.8357203032855939,"[[3411 1011]
 [ 780 3968]]",0.6519079053292546,0.3142953700574518,0.3376125352718027,0.4821162122565653,0.8688783570300158,0.7031578947368421,0.1657204622931737,0.7992271775881501,0.8161541061169314,-0.0169269285287813
15,0.8076335877862595,0.8192252510760402,0.8063731373766079,0.8418281381634373,"[[3409 1013]
 [ 751 3997]]",0.6541935483870968,0.3212121212121212,0.3329814271749755,0.4910047217739526,0.8784282700421941,0.696652719665272,0.1817755503769221,0.8087096774193548,0.8053872053872054,0.0033224720321494
16,0.8044711014176663,0.8166479190101239,0.8031251321701975,0.8409856781802865,"[[3384 1038]
 [ 755 3993]]",0.6509584664536742,0.3285223367697594,0.3224361296839147,0.5046748044610292,0.878900052882073,0.6925465838509317,0.1863534690311412,0.8068690095846646,0.7993127147766323,0.0075562948080322
17,0.8088331515812431,0.8205548162555022,0.8075315198534402,0.8441449031171019,"[[3409 1013]
 [ 740 4008]]",0.6516637196592188,0.3279077653441845,0.3237559543150343,0.5031855471648179,0.874032559380838,0.7322677322677322,0.1417648271131057,0.7989069281466002,0.8297728043404544,-0.0308658761938541
18,0.8026172300981461,0.8132865690117599,0.8015988640697866,0.8302443133951137,"[[3418 1004]
 [ 806 3942]]",0.6508837360142695,0.3103563103563103,0.3405274256579592,0.4768229611278938,0.8728540772532188,0.6745098039215687,0.1983442733316501,0.7999027079617318,0.8081918081918081,-0.0082891002300763
19,0.8027262813522356,0.8127135314214722,0.8018439147602724,0.8266638584667229,"[[3436  986]
 [ 823 3925]]",0.6422268570511792,0.3091590057882192,0.3330678512629599,0.48138598128353,0.8678742674480554,0.6710261569416499,0.1968481105064055,0.8008984437670463,0.8066053796390875,-0.0057069358720411
