seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7894220283533261,0.8054800040294148,0.7874825154308108,0.8420387531592249,"[[3241 1181]
 [ 750 3998]]",0.6705618696974548,0.3386931235032501,0.3318687461942047,0.50508855156954,0.8720899816897725,0.7178378378378378,0.15425214385193464,0.7848567312309909,0.7991789257612042,-0.014322194530213328
1,0.7892039258451472,0.8008653548985268,0.7881181231012738,0.8186604886267902,"[[3350 1072]
 [ 861 3887]]",0.6516579973992198,0.314777998674619,0.33687999872460084,0.4830417180958483,0.857484076433121,0.6693877551020408,0.18809632133108012,0.7862483745123537,0.7952286282306164,-0.00898025371826261
2,0.808287895310796,0.8180877483443708,0.8073931578989483,0.8325610783487785,"[[3459  963]
 [ 795 3953]]",0.6456932436759526,0.301983584131327,0.3437096595446256,0.46768893292444047,0.8707554619636747,0.6796628029504742,0.1910926590132005,0.8053154018571886,0.8146374829001368,-0.009322081042948183
3,0.7792802617230098,0.7946845201866504,0.7775957559982883,0.8249789385004213,"[[3229 1193]
 [ 831 3917]]",0.6696585991344767,0.31798021153190037,0.3516783876025763,0.4748392866796377,0.8684627575277337,0.6538461538461539,0.21461660368157987,0.7775284500721269,0.7830092118730808,-0.005480761800953915
4,0.7931297709923664,0.8111498257839721,0.7907369029098209,0.8580454928390902,"[[3199 1223]
 [ 674 4074]]",0.6917708164259049,0.3439680957128614,0.34780272071304347,0.49722839926957746,0.8983005841741901,0.7036659877800407,0.19463459639414937,0.7951631228696641,0.7889664340312396,0.006196688838424502
5,0.7824427480916031,0.7930712581682398,0.7816045852532543,0.8051811288963774,"[[3352 1070]
 [ 925 3823]]",0.6541329011345218,0.2856666666666667,0.36846623446785515,0.43671043937892307,0.8517541545766288,0.6206896551724138,0.23106449940421503,0.7781199351701783,0.7913333333333333,-0.013213398163155032
6,0.7976008724100327,0.8108438646555238,0.7961181112893068,0.8378264532434709,"[[3336 1086]
 [ 770 3978]]",0.6614516129032258,0.3242424242424242,0.33720918866080163,0.4901982517198318,0.8727224716134143,0.700312174817898,0.17241029679551634,0.7938709677419354,0.8053872053872054,-0.011516237645269989
7,0.7797164667393675,0.7941715916038312,0.7782033102466528,0.8207666385846673,"[[3253 1169]
 [ 851 3897]]",0.6539212495932314,0.3462301587301587,0.30769109086307267,0.5294676674684139,0.8482048574445618,0.7125,0.13570485744456173,0.7753010087862025,0.7886904761904762,-0.013389467404273714
8,0.797164667393675,0.8041280539174389,0.7969079889668605,0.8041280539174389,"[[3492  930]
 [ 930 3818]]",0.6300096184674575,0.2789904502046385,0.35101916826281904,0.4428352235054796,0.8537234042553191,0.6153846153846154,0.2383387888707037,0.7964091054825264,0.7987721691678036,-0.002363063685277167
9,0.7826608505997819,0.8009189891119768,0.7803867142803255,0.8443555181128897,"[[3168 1254]
 [ 739 4009]]",0.6896272285251216,336,0.3536272285251216,0.48721974148061103,0.8910547396528705,0.6699900299102692,0.22106470974260128,0.7850891410048623,0.7776666666666666,0.00742247433819565
10,0.8078516902944384,0.8193191140278917,0.8066148064151937,0.8414069081718618,"[[3413 1009]
 [ 753 3995]]",0.6503687079192049,0.32298772169167805,0.3273809862275268,0.49662248161515593,0.8786433492315845,0.6971252566735113,0.18151809255807316,0.8077909586405899,0.807980900409277,-0.00018994176868702972
