seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8046892039258452,0.8215957764717601,0.8023342542857437,0.8685762426284751,"[[3255 1167]
 [ 624 4124]]",0.6985753161517528,0.31713992473486147,0.38143539141689137,0.4539810059162877,0.9058331153544337,0.7145945945945946,0.19123852075983905,0.7981431086921722,0.8186794389326035,-0.020536330240431333
1,0.8032715376226827,0.8139822643844091,0.8022384725678492,0.8312973883740522,"[[3419 1003]
 [ 801 3947]]",0.6662873862158648,0.281974817760106,0.3843125684557588,0.42320299557457236,0.8819002123142251,0.636734693877551,0.2451655184366741,0.8015279583875162,0.8068257123923128,-0.005297754004796595
2,0.8106870229007633,0.8203270544400746,0.8098030849810075,0.8346672283066554,"[[3471  951]
 [ 785 3963]]",0.6520973422990715,0.28761969904240764,0.3644776432566638,0.441068657063314,0.879441958410108,0.6554267650158061,0.22401519339430187,0.8094780659622158,0.8132694938440492,-0.003791427881833398
3,0.8029443838604144,0.8156310580553005,0.8015110840070917,0.8418281381634373,"[[3366 1056]
 [ 751 3997]]",0.6749479083186408,0.2872739679290345,0.38767394038960634,0.4256239102135469,0.8943475964078182,0.6351351351351351,0.25921246127268316,0.803654431799968,0.8014329580348004,0.0022214737651675698
4,0.8169029443838605,0.8289004381942321,0.8154407273580783,0.8565711878685762,"[[3424  998]
 [ 681 4067]]",0.6729427041064763,0.30541708208707213,0.36752562201940414,0.45385302526253046,0.9001593202336696,0.6894093686354379,0.21074995159823173,0.816263593572472,0.8182120305749419,-0.0019484370024698272
5,0.8063249727371865,0.8194020744356315,0.8047678529311016,0.8485678180286437,"[[3365 1057]
 [ 719 4029]]",0.6855753646677472,0.2853333333333333,0.40024203133441383,0.4161954294720252,0.8965972039039831,0.658307210031348,0.23828999387263516,0.8017828200972448,0.8156666666666667,-0.013883846569421876
6,0.8121046892039259,0.8232639245050775,0.8108848325577442,0.8451979780960405,"[[3434  988]
 [ 735 4013]]",0.6664516129032259,0.29259259259259257,0.3738590203106333,0.4390305116345774,0.8880380248217586,0.676378772112383,0.2116592527093757,0.8075806451612904,0.8215488215488216,-0.013968176387531228
7,0.7961832061068702,0.8140483533976718,0.7937709114685438,0.861625947767481,"[[3210 1212]
 [ 657 4091]]",0.6978522616335828,0.3353174603174603,0.36253480131612253,0.48049920986502936,0.8970432946145723,0.721875,0.17516829461457228,0.7915717539863326,0.8055555555555556,-0.013983801569222964
8,0.8097055616139586,0.820860281285289,0.8085137230291828,0.8420387531592249,"[[3427  995]
 [ 750 3998]]",0.6665597948060276,0.28478854024556616,0.3817712545604614,0.42725130208077,0.8944148936170213,0.6427125506072875,0.2517023430097338,0.8089131131773004,0.8113915416098226,-0.0024784284325222172
9,0.7998909487459106,0.8154480539072715,0.7979025756566026,0.8538331929233361,"[[3281 1141]
 [ 694 4054]]",0.6907617504051864,311,0.3797617504051864,0.4502275926794932,0.9057409879839786,0.6600199401794616,0.24572104780451698,0.8017828200972448,796,0.005782820097244734
10,0.81886586695747,0.8285330855786105,0.8178952350905349,0.8451979780960405,"[[3496  926]
 [ 735 4013]]",0.6484450144277012,0.3049113233287858,0.3435336910989154,0.470219242255863,0.885002649708532,0.6909650924024641,0.19403755730606798,0.8174094260981084,0.8219645293315143,-0.0045551032334059105
11,0.811886586695747,0.8212620453838981,0.8110468660755348,0.8346672283066554,"[[3482  940]
 [ 785 3963]]",0.6561889250814332,0.28844884488448846,0.36774008019694476,0.4395820073444426,0.8832622601279317,0.6516064257028112,0.2316558344251205,0.8122149837133551,0.8112211221122112,0.0009938616011438972
12,0.8077426390403489,0.8201937786843447,0.806299884128412,0.8468828980623421,"[[3386 1036]
 [ 727 4021]]",0.6701872299567931,0.29750085587127695,0.3726863740855162,0.4439070793552076,0.8910917261432726,0.6735751295336787,0.21751659660959388,0.8033285325652104,0.8171858952413557,-0.013857362676145235
13,0.8074154852780807,0.8211102106969207,0.8057122387602464,0.8536225779275485,"[[3351 1071]
 [ 695 4053]]",0.6787849410243981,0.30962764173096274,0.3691572992934354,0.45614983924611485,0.8976461253636604,0.6814891416752844,0.216156983688376,0.8070770722249152,0.8081180811808119,-0.0010410089558966495
14,0.8008724100327154,0.8170340681362726,0.7987416539878535,0.8586773378264533,"[[3267 1155]
 [ 671 4077]]",0.7000483014007406,0.2987495775599865,0.4012987238407541,0.4267556638052153,0.9052132701421801,0.6726315789473685,0.23258169119481165,0.7955240701980357,0.8120986819871578,-0.016574611789122118
15,0.8175572519083969,0.8275079905144861,0.8165383829874141,0.8451979780960405,"[[3484  938]
 [ 735 4013]]",0.6574193548387097,0.2946127946127946,0.3628065602259151,0.44813526167795054,0.8881856540084389,0.6746861924686193,0.21349946153981958,0.8174193548387096,0.8178451178451178,-0.0004257630064081752
16,0.8081788440567067,0.8189397838394235,0.8070859991228662,0.8378264532434709,"[[3433  989]
 [ 770 3978]]",0.6547923322683706,0.29828178694158075,0.3565105453267899,0.4555364689568908,0.8820729772607087,0.6645962732919255,0.21747670396878316,0.8068690095846646,0.8109965635738832,-0.004127553989218602
