seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8079607415485278,0.8188830607837089,0.8068365665735808,0.8384582982308341,"[[3428  994]
 [ 767 3981]]",0.6511925724347687,0.31029763941156346,0.3408949330232052,0.47650672404229033,0.8692126602144913,0.7113513513513513,0.15786130886313998,0.8007043380822795,0.8234690386589121,-0.0227647005766326
1,0.8008724100327154,0.8112076095947063,0.7999372346355836,0.8262426284751474,"[[3421 1001]
 [ 825 3923]]",0.6511703511053316,0.30417495029821073,0.3469954008071209,0.46712039296919433,0.8680997876857749,0.6653061224489796,0.20279366523679532,0.7997399219765929,0.8031809145129225,-0.003440992536329568
2,0.8005452562704471,0.8100529650015578,0.799776582355893,0.8213984835720304,"[[3441  981]
 [ 848 3900]]",0.6474543707973103,0.2862517099863201,0.3612026608109902,0.44211873901447957,0.8657541458278495,0.6438356164383562,0.2219185293894933,0.797470381043868,0.8071135430916553,-0.009643162047787257
3,0.8027262813522356,0.8122080348800996,0.8019448403993663,0.8239258635214828,"[[3449  973]
 [ 836 3912]]",0.6406475396698189,0.3029682702149437,0.3376792694548752,0.4729094415489201,0.8642366613840465,0.6652806652806653,0.19895599610338122,0.8014104824491104,0.8055271238485159,-0.004116641399405485
4,0.8115594329334788,0.8234212139791539,0.8101952613435845,0.8485678180286437,"[[3413 1009]
 [ 719 4029]]",0.6557377049180327,0.33167165171153207,0.32406605320650067,0.5057992688600864,0.8810408921933085,0.7240325865580448,0.1570083056352637,0.8100957636747281,0.8145563310069791,-0.004460567332250975
5,0.8027262813522356,0.8127910586774293,0.8018283877388732,0.8270850884582982,"[[3434  988]
 [ 821 3927]]",0.6528363047001621,0.2956666666666667,0.3571696380334954,0.45289556438265477,0.8662621999472435,0.6718913270637409,0.19437087288350263,0.7972447325769854,0.814,-0.016755267423014586
6,0.8063249727371865,0.8191446028513238,0.8048221975059984,0.8470935130581297,"[[3372 1050]
 [ 726 4022]]",0.6577419354838709,0.3346801346801347,0.32306180080373625,0.5088319850458154,0.8761552680221811,0.7325702393340271,0.14358502868815404,0.8017741935483871,0.8158249158249158,-0.014050722276528704
7,0.7989094874591057,0.8079966680549772,0.7982357874409831,0.8171861836562764,"[[3446  976]
 [ 868 3880]]",0.641880898145135,0.3012566137566138,0.34062428438852127,0.4693341313430034,0.8492608236536431,0.690625,0.15863582365364304,0.7886430198503092,0.8197751322751323,-0.031132112424823166
8,0.8051254089422029,0.8137571651902031,0.8044945106740176,0.8222409435551812,"[[3479  943]
 [ 844 3904]]",0.6349791599871754,0.30218281036834926,0.3327963496188261,0.47589405985300753,0.863031914893617,0.667004048582996,0.19602786631062097,0.8026611093299134,0.810368349249659,-0.007707239919745534
9,0.8,0.8048936170212767,0.8001195580647731,0.7967565290648694,"[[3553  869]
 [ 965 3783]]",0.6183144246353323,0.279,0.33931442463533223,0.45122673656618617,0.8469959946595461,0.609172482552343,0.2378235121072031,0.8029173419773096,0.794,0.008917341977309534
10,0.8076335877862595,0.8173156586578293,0.8067690764222847,0.8310867733782645,"[[3460  962]
 [ 802 3946]]",0.6405899326707278,0.31105047748976805,0.3295394551809598,0.48556878843372697,0.8696343402225755,0.6817248459958932,0.18790949422668224,0.8066688041038794,0.8096862210095498,-0.003017416905670367
11,0.8103598691384951,0.8190238318243314,0.8096812502548145,0.8287700084245998,"[[3496  926]
 [ 813 3935]]",0.6395765472312703,0.30825082508250823,0.3313257221487621,0.481960801122129,0.8694029850746269,0.6757028112449799,0.193700173829647,0.8118892508143323,0.8072607260726072,0.0046285247417250375
