seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8131952017448201,0.8262148726793141,0.8115574955124051,0.8576242628475147,"[[3385 1037]
 [ 676 4072]]",0.667200256122939,0.32192952446117,0.34527073166176897,0.482508094843793,0.8862150143866073,0.7394594594594595,0.14675555492714787,0.8055066431887306,0.8296270954498802,-0.024120452261149672
1,0.804143947655398,0.8143861099627946,0.8031973852114934,0.8298230834035384,"[[3434  988]
 [ 808 3940]]",0.6510078023407022,0.30583167660702454,0.3451761257336777,0.46978189125753184,0.8691613588110403,0.6785714285714286,0.19058993023961168,0.8012028608582574,0.8101391650099403,-0.008936304151682894
2,0.804907306434024,0.8146306082271267,0.8040587538679429,0.827927548441449,"[[3450  972]
 [ 817 3931]]",0.6463336535382644,0.2961696306429549,0.35016402289530957,0.4582302484508041,0.8681231903132404,0.667017913593256,0.20110527671998435,0.8014729426833174,0.8122435020519836,-0.010770559368666222
3,0.8003271537622683,0.8125703756781657,0.7990147581004375,0.8359309182813817,"[[3370 1052]
 [ 779 3969]]",0.6574771598012502,0.3135448652337086,0.3439322945675416,0.47689088595638907,0.8763866877971473,0.6767151767151767,0.19967151108197068,0.7993268151947428,0.8024564994882293,-0.003129684293486479
4,0.812649945474373,0.822190022769613,0.8117684915393926,0.8365627632687447,"[[3480  942]
 [ 776 3972]]",0.649894497646486,0.30242605516782983,0.34746844247865616,0.4653463850871627,0.8770578863515667,0.6812627291242362,0.19579515722733043,0.8110696315533192,0.8158856763044201,-0.0048160447511008675
5,0.8061068702290076,0.8177905308464849,0.8048444878311971,0.8403538331929233,"[[3402 1020]
 [ 758 3990]]",0.6643435980551053,0.30366666666666664,0.3606769313884387,0.45709278685858334,0.8786599841730414,0.6886102403343782,0.19004974383866313,0.8009724473257699,0.8166666666666667,-0.015694219340896765
6,0.8083969465648855,0.8181724102245679,0.8075062289075416,0.8325610783487785,"[[3460  962]
 [ 795 3953]]",0.6509677419354839,0.295959595959596,0.3550081459758879,0.4546455636643942,0.8737787166622657,0.6701352757544224,0.20364344090784325,0.8056451612903226,0.8141414141414142,-0.008496252851091568
7,0.8027262813522356,0.8156527055946194,0.8012461244364072,0.8428812131423757,"[[3359 1063]
 [ 746 4002]]",0.6643345265213146,0.3247354497354497,0.33959907678586493,0.4888131457443238,0.8732840549102429,0.7229166666666667,0.1503673882435762,0.7958021477383664,0.8167989417989417,-0.020996794060575308
8,0.8086150490730644,0.8185671456631863,0.8076857898605312,0.8338247683235046,"[[3456  966]
 [ 789 3959]]",0.643635780698942,0.31036834924965895,0.33326743144928306,0.4822111488466681,0.8715425531914893,0.6902834008097166,0.1812591523817727,0.8042641872394999,0.8178717598908595,-0.01360757265135959
9,0.8061068702290076,0.8180888070390832,0.8047823797456006,0.8420387531592249,"[[3394 1028]
 [ 750 3998]]",0.6611021069692058,0.31566666666666665,0.34543544030253914,0.47748549481081964,0.8870493991989319,0.6739780658025922,0.21307133339633966,0.8087520259319287,0.8006666666666666,0.008085359265262104
