seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7745910577971646,0.7963346142477091,0.7717710273020286,0.8510951979780961,"[[3062 1360]
 [ 707 4041]]",0.692012165839603,0.3687991789257612,0.3232129869138418,0.5329374209459242,0.8778446246403349,0.7405405405405405,0.13730408409979433,0.7704498159116376,0.7834416695176188,-0.012991853605981207
1,0.7533260632497274,0.7646691635455681,0.7525636255423502,0.7740101095197978,"[[3233 1189]
 [1073 3675]]",0.6705136540962289,0.24486414844267726,0.42564950565355164,0.3651889069622668,0.8535031847133758,0.4683673469387755,0.3851358377746003,0.7625162548764629,0.7345924453280318,0.0279238095484311
2,0.5395856052344602,0.5652800658978584,0.5381645136498712,0.5781381634372368,"[[2203 2219]
 [2003 2745]]",0.5959013768812039,0.42476060191518467,0.17114077496601926,0.7128035248689532,0.604369570939721,0.4731296101159115,0.1312399608238095,0.5310598783221262,0.5577975376196991,-0.02673765929757288
3,0.5797164667393675,0.6515370705244122,0.5731135526320301,0.7588458298230834,"[[1713 2709]
 [1145 3603]]",0.8276967462734413,0.39167519617877855,0.4360215500946627,0.47321098934147937,0.8563127311146329,0.37525987525987525,0.48105285585475765,0.6047443500560987,0.5264414875469123,0.07830286250918639
4,0.6304252998909488,0.5671222378336952,0.6364285069254326,0.4675652906486942,"[[3561  861]
 [2528 2220]]",0.3440999837688687,0.3193752077102027,0.024724776058665965,0.9281465352370561,0.44954859267126923,0.5366598778004074,-0.08711128512913813,0.5942217172536925,0.7045530076437354,-0.11033129039004286
5,0.7647764449291167,0.7680395741477577,0.7652434865574098,0.752106149957877,"[[3442  980]
 [1177 3571]]",0.6385737439222042,0.20366666666666666,0.43490707725553757,0.3189399323181049,0.830123977842258,0.4430512016718913,0.3870727761703667,0.7670988654781199,0.76,0.007098865478119887
6,0.79432933478735,0.8044785403275969,0.7934868050800604,0.8171861836562764,"[[3404 1018]
 [ 868 3880]]",0.6514516129032258,0.2892255892255892,0.3622260236776366,0.44397094657059993,0.8626881436493267,0.6378772112382934,0.22481093241103323,0.7916129032258065,0.8,-0.008387096774193581
7,0.798691384950927,0.81387376487195,0.7967985377546669,0.8500421229991575,"[[3288 1134]
 [ 712 4036]]",0.6807679791734461,0.32605820105820105,0.35470977811524507,0.47895643013950856,0.8846356916578669,0.7135416666666666,0.1710940249912003,0.7933615359583469,0.8095238095238095,-0.016162273565462626
8,0.7911668484187568,0.7984422692348175,0.7908831712617124,0.7988626790227464,"[[3462  960]
 [ 955 3793]]",0.6367425456877204,0.26637107776261937,0.370371467925101,0.418334034008867,0.8569148936170212,0.5779352226720648,0.27897967094495646,0.7935235652452709,0.7861527967257844,0.007370768519486481
9,0.7267175572519083,0.7532493107522646,0.7238097728406295,0.8056023588879528,"[[2839 1583]
 [ 923 3825]]",0.6585089141004862,0.4483333333333333,0.21017558076715287,0.6808310772007548,0.8317757009345794,0.707876370887338,0.12389933004724141,0.7442463533225283,0.6906666666666667,0.05357968665586166
10,0.7201744820065431,0.7352455633512175,0.7190595521283069,0.7504212299915753,"[[3041 1381]
 [1185 3563]]",0.62263546008336,0.3615279672578445,0.26110749282551554,0.5806414674959922,0.78060413354531,0.63347022587269,0.14713390767262002,0.7168964411670408,0.7271487039563438,-0.010252262789303024
11,0.8079607415485278,0.8149626983293055,0.8076362081756341,0.8167649536647009,"[[3531  891]
 [ 870 3878]]",0.6359934853420195,0.2851485148514851,0.35084497049053437,0.4483513140046399,0.8635394456289979,0.6405622489959839,0.22297719663301396,0.8083061889250814,0.8072607260726072,0.0010454628524741993
12,0.5528898582333697,0.6608206485771012,0.5422625518345319,0.8411962931760741,"[[1076 3346]
 [ 754 3994]]",0.8094095055208833,0.781239301609038,0.028170203911845326,0.9651965986071329,0.8424530795664816,0.8362694300518134,0.00618364951466821,0.6052168346935509,0.4409448818897638,0.16427195280378715
13,0.7763358778625954,0.7869976113822827,0.7755365681358086,0.7980202190395956,"[[3330 1092]
 [ 959 3789]]",0.6585878170948457,0.27004360952700435,0.38854420756784136,0.410034322709183,0.86061888389315,0.5532574974146846,0.30736138647846545,0.7820326385522701,0.7645085541764508,0.017524084375819315
14,0.5042529989094875,0.652340165188131,0.48972897060229986,0.8982729570345409,"[[ 359 4063]
 [ 483 4265]]",0.9083883432619546,0.9077391010476512,0.0006492422143034027,0.99928528121357,0.8954713006845708,0.9094736842105263,-0.014002383525955509,0.5752696828208018,0.35518756336600205,0.22008211945479977
15,0.4382769901853871,0.5766417358428537,0.42719798800285164,0.7388374052232519,"[[ 511 3911]
 [1240 3508]]",0.7691935483870967,0.8922558922558923,-0.12306234386879555,1.1599887884224225,0.7167721518987342,0.8263598326359832,-0.109587680737249,0.4959677419354839,0.3178451178451178,0.17812262409036606
16,0.7029443838604144,0.7075370410135281,0.7032749536380287,0.6939764111204718,"[[3151 1271]
 [1453 3295]]",0.5787539936102236,0.32405498281786943,0.2546990107923542,0.5599183528677513,0.7252776308831306,0.5714285714285714,0.15384905945455918,0.6934504792332269,0.7233676975945017,-0.02991721836127481
17,0.813413304252999,0.82190069740814,0.8127463128563357,0.83150800336984,"[[3511  911]
 [ 800 3948]]",0.6326957080855168,0.3129874533740251,0.31970825471149167,0.4946887569714965,0.862823592207099,0.7142857142857143,0.14853787792138473,0.8043722874135991,0.8324855883350288,-0.028113300921429718
18,0.7876772082878953,0.7950742027155037,0.7873891151579165,0.7954928390901432,"[[3446  976]
 [ 971 3777]]",0.6273714934327874,0.2943722943722944,0.332999199060493,0.46921528544686986,0.846030042918455,0.6107843137254902,0.23524572919296471,0.79098427112048,0.7808857808857809,0.010098490234699109
19,0.6617230098146129,0.6844354018311292,0.6599984301514561,0.7085088458298231,"[[2704 1718]
 [1384 3364]]",0.5969837959249158,0.463398025195778,0.1335857707291378,0.7762321663653008,0.7149706979222163,0.6841046277665996,0.03086607015561671,0.6619605326488047,0.6612189308818522,0.0007416017669524821
