seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7764449291166848,0.7913273615635179,0.7748888150958464,0.8186604886267902,"[[3233 1189]
 [ 861 3887]]",0.6628781815271331,0.3198768388641806,0.34300134266295246,0.48255750117955476,0.8566570755950824,0.6616216216216216,0.19503545397346078,0.7736513526492717,0.7824153267191242,-0.00876397406985252
1,0.7634678298800436,0.7614648630814913,0.7647328571205396,0.7291491154170177,"[[3539  883]
 [1286 3462]]",0.6319895968790638,0.15142478462557984,0.4805648122534839,0.23960012217504298,0.8248407643312102,0.36122448979591837,0.46361627453529186,0.7659297789336801,0.7584493041749503,0.007480474758729816
2,0.606979280261723,0.7216128533910089,0.5930898753532636,0.9837826453243471,"[[ 895 3527]
 [  77 4671]]",0.9514889529298751,0.771203830369357,0.1802851225605181,0.8105231574098947,0.9944722295340879,0.9409905163329821,0.05348171320110573,0.6500160102465578,0.5150478796169631,0.13496813062959467
3,0.6790621592148309,0.7546068539981656,0.6689632845956326,0.9530328559393428,"[[1702 2720]
 [ 223 4525]]",0.843244109632954,0.6769020812009553,0.16634202843199875,0.802735617679673,0.9704173269941891,0.8846153846153846,0.08580194237880456,0.7276807180637923,0.5755714773114978,0.15210924075229448
4,0.6486368593238823,0.6009412930393857,0.6537120821564232,0.5109519797809604,"[[3522  900]
 [2322 2426]]",0.3832170102256127,0.3207045530076437,0.062512457217969,0.8368745239644613,0.5034519383961763,0.539714867617108,-0.03626292922093166,0.6210030839149489,0.705217680292456,-0.08421459637750717
5,0.7758996728462377,0.7814062333794278,0.7759848513425824,0.7735888795282224,"[[3442  980]
 [1075 3673]]",0.6484602917341977,0.21733333333333332,0.4311269584008644,0.3351528784470549,0.8467422843576893,0.48380355276907,0.3629387315886193,0.7776337115072933,0.7723333333333333,0.0053003781739600075
6,0.7972737186477644,0.8039649899820731,0.7970676410396513,0.8028643639427128,"[[3499  923]
 [ 936 3812]]",0.6374193548387097,0.2636363636363636,0.3737829912023461,0.4135995583364004,0.8518616318986004,0.6097814776274714,0.24208015427112906,0.7924193548387096,0.8074074074074075,-0.01498805256869784
7,0.8031624863685932,0.8165090983023279,0.8015897193209872,0.8458298230834035,"[[3349 1073]
 [ 732 4016]]",0.6714936544093719,0.31812169312169314,0.3533719612876788,0.4737523445422646,0.8780359028511088,0.71875,0.15928590285110877,0.794500488122356,0.8207671957671958,-0.02626670764483985
8,0.7913849509269356,0.7973302256594978,0.7913422185998857,0.7925442291491154,"[[3494  928]
 [ 985 3763]]",0.6314523885860853,0.25648021828103684,0.3749721703050485,0.4061750702302888,0.8526595744680852,0.5637651821862348,0.2888943922818503,0.7936838730362296,0.786493860845839,0.0071900121903905045
9,0.7372955288985823,0.7588829946952256,0.7350416200379735,0.798441449031171,"[[2970 1452]
 [ 957 3791]]",0.6424635332252836,0.42633333333333334,0.21613019989195026,0.663591490077363,0.8253671562082777,0.6979062811565304,0.1274608750517473,0.7525121555915721,0.706,0.04651215559157218
