seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8087241003271538,0.8191379665910495,0.8076979352300304,0.8365627632687447,"[[3444  978]
 [ 776 3972]]",0.6465503441651993,0.311666096476223,0.3348842476889762,0.4820445914055374,0.8668584880983521,0.7113513513513513,0.1555071367470007,0.8024651832879782,0.8221005815942525,-0.0196353983062742
1,0.798691384950927,0.8079883503224465,0.797978591380998,0.8180286436394272,"[[3440  982]
 [ 864 3884]]",0.6428803641092328,0.3018555334658714,0.3410248306433613,0.469536091499884,0.8580148619957537,0.6642857142857143,0.1937291477100394,0.7956762028608583,0.8048376408217363,-0.0091614379608779
2,0.8033805888767721,0.8120504534556447,0.8027552461328191,0.8203454085930918,"[[3472  950]
 [ 853 3895]]",0.643611911623439,0.2821477428180574,0.3614641688053815,0.438381791453131,0.8652276914977626,0.6406743940990516,0.224553297398711,0.8006724303554275,0.8091655266757866,-0.0084930963203591
3,0.8010905125408943,0.8135731807031888,0.7997208565428963,0.8382476832350463,"[[3366 1056]
 [ 768 3980]]",0.659400544959128,0.3145684066871375,0.3448321382719905,0.4770520878271878,0.878499735868991,0.6798336798336798,0.1986660560353111,0.799967943580702,0.8034800409416581,-0.0035120973609561
4,0.8123227917121046,0.82230252968508,0.811351643406617,0.8386689132266217,"[[3467  955]
 [ 766 3982]]",0.6472975166369096,0.3153871718178797,0.3319103448190299,0.4872368017978828,0.8757302177376527,0.6965376782077393,0.1791925395299134,0.8120434994319105,0.8128946493851777,-0.0008511499532672
5,0.8052344601962923,0.8156101589923601,0.8042504601904318,0.8319292333614153,"[[3434  988]
 [ 798 3950]]",0.6528363047001621,0.3033333333333333,0.3495029713668287,0.4646391923204237,0.8696913743075706,0.6823406478578893,0.1873507264496813,0.8014586709886548,0.813,-0.0115413290113451
6,0.8094874591057797,0.8202119995883503,0.8083885066510901,0.8393007582139849,"[[3438  984]
 [ 763 3985]]",0.6506451612903226,0.3148148148148148,0.3358303464755077,0.4838502359573257,0.8727224716134143,0.7075962539021852,0.1651262177112291,0.8046774193548387,0.8195286195286196,-0.0148512001737808
7,0.8003271537622683,0.8123013839056894,0.7990691026753345,0.8344566133108677,"[[3377 1045]
 [ 786 3962]]",0.6552229092092418,0.324074074074074,0.3311488351351677,0.4946012563345566,0.8632523759239704,0.7208333333333333,0.1424190425906371,0.7925479986983404,0.8161375661375662,-0.0235895674392258
8,0.8085059978189749,0.8194158782394076,0.8073786310844491,0.8390901432181971,"[[3430  992]
 [ 764 3984]]",0.6489259378005771,0.3165075034106412,0.3324184343899358,0.4877405647913982,0.8773936170212766,0.6933198380566802,0.1840737789645964,0.8060275729400449,0.8137789904502046,-0.0077514175101597
9,0.8050163576881134,0.812853255181076,0.8045444733901146,0.8178180286436394,"[[3499  923]
 [ 865 3883]]",0.6299837925445705,0.3063333333333333,0.3236504592112371,0.4862558957207787,0.8606141522029372,0.6580259222333001,0.2025882299696371,0.8077795786061588,0.7993333333333333,0.0084462452728254
10,0.8110141766630317,0.8235413908970574,0.8095134536401244,0.8517270429654591,"[[3393 1029]
 [ 704 4044]]",0.6566207117665919,0.3332196452933151,0.3234010664732767,0.5074765984716064,0.8868574456809751,0.715605749486653,0.1712516961943221,0.8114780378326387,0.8100272851296043,0.0014507527030344
11,0.8109051254089422,0.8203481143804394,0.8100602810409925,0.8338247683235046,"[[3477  945]
 [ 789 3959]]",0.65,0.3013201320132013,0.3486798679867987,0.4635694338664636,0.878731343283582,0.6646586345381527,0.2140727087454293,0.8128664495114006,0.806930693069307,0.0059357564420936
12,0.806979280261723,0.8155481450604419,0.8063468462238095,0.8241364785172705,"[[3487  935]
 [ 835 3913]]",0.6349815970555289,0.3012666894899007,0.3337149075656282,0.4744494815076586,0.8614855934443564,0.677720207253886,0.1837653861904703,0.8026884301488239,0.8161588497090038,-0.0134704195601799
13,0.8002181025081788,0.8122181221812219,0.7989560316667409,0.8344566133108677,"[[3376 1046]
 [ 786 3962]]",0.6530941993860074,0.3240523314324052,0.3290418679536022,0.4961800789795042,0.8701401745569955,0.6949327817993796,0.175207392757616,0.7991597996445307,0.8024152968802415,-0.0032554972357108
14,0.8014176663031625,0.8130198172296951,0.800223103293367,0.8338247683235046,"[[3390 1032]
 [ 789 3959]]",0.6578650780872646,0.3058465697870902,0.3520185083001743,0.4649077447253101,0.8712480252764613,0.6842105263157895,0.1870374989606718,0.7961680888745774,0.8124366339979723,-0.0162685451233949
15,0.8066521264994547,0.8146366962885521,0.8061396128799215,0.8205560235888796,"[[3501  921]
 [ 852 3896]]",0.6379032258064516,0.2902356902356902,0.3476675355707614,0.4549838886122072,0.8652426160337553,0.643305439330544,0.2219371767032113,0.8088709677419355,0.802020202020202,0.0068507657217334
16,0.8025081788440567,0.8145037386049369,0.8012218336974086,0.8374052232518955,"[[3383 1039]
 [ 772 3976]]",0.6506389776357827,0.3237113402061856,0.3269276374295971,0.4975283549449354,0.8765203595980963,0.6842650103519669,0.1922553492461294,0.8043130990415336,0.7986254295532647,0.0056876694882689
17,0.8068702290076336,0.818452075858534,0.8056204578699517,0.8407750631844987,"[[3407 1015]
 [ 756 3992]]",0.6526281948239833,0.3211258053577484,0.3315023894662349,0.4920501564360967,0.874032559380838,0.7162837162837162,0.1577488430971217,0.7979424529818357,0.8257036283485928,-0.027761175366757
18,0.8009814612868048,0.8091203848969772,0.800477298732652,0.814658803706824,"[[3477  945]
 [ 880 3868]]",0.6409923787903357,0.2863802863802864,0.3546120924100492,0.4467764295743046,0.864538626609442,0.6323529411764706,0.2321856854329714,0.7997405545646181,0.8035298035298035,-0.0037892489651853
19,0.8006543075245365,0.8099396964025786,0.7999284709179842,0.8203454085930918,"[[3447  975]
 [ 853 3895]]",0.634205037702551,0.3122233571671774,0.3219816805353735,0.4923066494366346,0.8604155567394779,0.6690140845070423,0.1914014722324356,0.799935825445211,0.8021790943139258,-0.0022432688687147
