seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7815703380588876,0.7928859476786269,0.7806146185668121,0.8074978938500421,"[[3333 1089]
 [ 914 3834]]",0.6524731871298223,0.2897707834416695,0.36270240368815276,0.44411140435723984,0.8495945592466649,0.6335135135135135,0.21608104573315146,0.7754121978549704,0.7947314403010606,-0.01931924244609018
1,0.7914940021810251,0.8061638280616383,0.7898016618294756,0.8374052232518955,"[[3282 1140]
 [ 772 3976]]",0.6657997399219766,0.3379721669980119,0.3278275729239647,0.5076183523856859,0.8712845010615711,0.7071428571428572,0.1641416439187139,0.7890117035110533,0.7965540092776673,-0.007542305766613966
2,0.8076335877862595,0.8185185185185184,0.8065206440798992,0.8378264532434709,"[[3428  994]
 [ 770 3978]]",0.6517771373679154,0.3081395348837209,0.3436376024841945,0.4727682473308084,0.8749670966043696,0.6891464699683878,0.18582062663598176,0.8043547870637208,0.8146374829001368,-0.010282695836416056
3,0.7809160305343511,0.7921795800144823,0.7799750100687496,0.8064448188711036,"[[3332 1090]
 [ 919 3829]]",0.6451354383715339,0.30501535312180145,0.3401200852497324,0.4727927423917812,0.8491811938721606,0.6382536382536382,0.2109275556185224,0.7786504247475557,0.7857386557488911,-0.007088231001335377
4,0.7923664122137405,0.8094094094094094,0.7901860746813533,0.8515164279696714,"[[3223 1199]
 [ 705 4043]]",0.6834929394578803,0.3426387504154204,0.34085418904245984,0.501305471695418,0.8911311736590547,0.6995926680244399,0.19153850563461483,0.7946761889303684,0.7876370887337986,0.007039100196569836
5,0.781897491821156,0.7933457325893779,0.7809150140390945,0.8085509688289806,"[[3331 1091]
 [ 909 3839]]",0.6551053484602918,0.296,0.3591053484602918,0.4518357248886689,0.8538644157214456,0.6290491118077325,0.22481530391371307,0.7797406807131281,0.7863333333333333,-0.006592652620205253
6,0.8008724100327154,0.8135593220338984,0.7994636604829113,0.8390901432181971,"[[3360 1062]
 [ 764 3984]]",0.662741935483871,0.3154882154882155,0.34725371999565546,0.47603478608589345,0.8761552680221811,0.6930280957336108,0.18312717228857034,0.7967741935483871,0.8094276094276094,-0.012653415879222307
7,0.7791712104689203,0.795969773299748,0.7772264891366099,0.8319292333614153,"[[3195 1227]
 [ 798 3950]]",0.6752359258054019,0.3396164021164021,0.33561952368899983,0.5029596162427488,0.8653643083421331,0.7,0.16536430834213312,0.7751383013342011,0.7873677248677249,-0.012229423533523742
8,0.7924754634678299,0.8088781761574773,0.7904233618611393,0.8481465880370682,"[[3240 1182]
 [ 721 4027]]",0.6665597948060276,0.35845839017735337,0.3081014046286742,0.537773794595077,0.8792553191489362,0.729757085020243,0.14949823412869323,0.7906380250080154,0.7963847203274216,-0.005746695319406192
9,0.7739367502726281,0.7735663571818678,0.7749743566002415,0.745787700084246,"[[3556  866]
 [1207 3541]]",0.5858995137763371,0.264,0.3218995137763371,0.4505892116182573,0.8013351134846461,0.5383848454636092,0.26295026802103694,0.779902755267423,0.7616666666666667,0.018236088600756317
10,0.8094874591057797,0.8224773905090945,0.8079071689877182,0.8523588879528222,"[[3376 1046]
 [ 701 4047]]",0.6611093299134337,0.3304911323328786,0.33061819758055516,0.4999038999739323,0.8871224165341812,0.7176591375770021,0.16946327895717916,0.807310035267714,0.8141200545702592,-0.006810019302545101
11,0.7990185387131952,0.8091934982917486,0.7981314801499892,0.823083403538332,"[[3419 1003]
 [ 840 3908]]",0.6509771986970684,0.30165016501650166,0.3493270336805667,0.46338053870435836,0.8696695095948828,0.6475903614457831,0.22207914814909968,0.800814332247557,0.7953795379537953,0.005434794293761702
12,0.7961832061068702,0.8105039034776437,0.7945006814743011,0.8418281381634373,"[[3304 1118]
 [ 751 3997]]",0.6693871019363098,0.31906881205066756,0.35031828988564223,0.47665814164585746,0.8836901929685435,0.677720207253886,0.2059699857146574,0.795167226756281,0.7983567271482369,-0.0031895003919558684
13,0.7980370774263904,0.8120178643930166,0.7963995980882902,0.8424599831508003,"[[3318 1104]
 [ 748 4000]]",0.6673129746324123,0.3267359946326736,0.34057697999973874,0.4896293149592293,0.8828352287754563,0.6845915201654602,0.19824370860999607,0.800452415576022,0.7930224756793023,0.007429939896719695
14,0.7837513631406762,0.7988231713503094,0.7820763971366267,0.8291912384161753,"[[3250 1172]
 [ 811 3937]]",0.66398325551441,0.3328827306522474,0.33110052486216257,0.5013420562757295,0.8604528699315429,0.7042105263157895,0.1562423436157534,0.7768475285783287,0.7982426495437648,-0.021395120965436054
15,0.80567066521265,0.818126148193509,0.8042524606042316,0.8441449031171019,"[[3380 1042]
 [ 740 4008]]",0.6582258064516129,0.32626262626262625,0.33196318018898663,0.4956697581054356,0.8802742616033755,0.700836820083682,0.17943744151969354,0.8069354838709677,0.803030303030303,0.0039051808406647126
16,0.8019629225736096,0.8146560522555624,0.8005400259939486,0.840564448188711,"[[3363 1059]
 [ 757 3991]]",0.6512779552715655,0.33436426116838486,0.31691369410318065,0.513397173145472,0.8781068217874141,0.6935817805383023,0.18452504124911173,0.8055910543130991,0.7941580756013745,0.01143297871172455
17,0.7972737186477644,0.8046242774566476,0.7969434248684586,0.806234203875316,"[[3483  939]
 [ 920 3828]]",0.621764989551519,0.3048491013903018,0.31691588816121724,0.49029634429913843,0.8393381371764078,0.6823176823176823,0.1570204548587255,0.787011734447838,0.8189216683621566,-0.03190993391431862
18,0.7942202835332607,0.8099889235726512,0.7922713155521314,0.8470935130581297,"[[3261 1161]
 [ 726 4022]]",0.6748824387870926,0.33999333999333997,0.33488909879375267,0.5037815780247303,0.8878755364806867,0.6980392156862745,0.18983632079441226,0.7940651856656397,0.7945387945387945,-0.00047360887315484046
19,0.7908396946564885,0.8045649072753209,0.7893406140775023,0.83150800336984,"[[3304 1118]
 [ 800 3948]]",0.6666131878710091,0.310180456247872,0.3564327316231371,0.46530801053982823,0.8782631859350026,0.6549295774647887,0.22333360847021388,0.7890261511310765,0.7946884576098059,-0.00566230647872934
