seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.774154852780807,0.7815170376622007,0.7739350463734022,0.7801179443976411,"[[3395 1027]
 [1044 3704]]",0.6270209700656315,0.27848101265822783,0.3485399574074037,0.44413349146692604,0.8270991368035574,0.585945945945946,0.24115319085761144,0.7733311989755083,0.7759151556619911,-0.0025839566864828134
1,0.7618320610687023,0.7584605175846051,0.7632929878447238,0.7221988205560236,"[[3557  865]
 [1319 3429]]",0.6280884265279584,0.1424784625579854,0.48560996396997297,0.22684459152606787,0.8190021231422505,0.35,0.46900212314225054,0.7626788036410923,0.7601060304837641,0.0025727731573281787
2,0.7031624863685932,0.7527702089009991,0.6969098750713004,0.8727885425442291,"[[2304 2118]
 [ 604 4144]]",0.9026577009285943,0.213406292749658,0.6892514081789363,0.23641995468505922,0.9836799157673072,0.42887249736564803,0.5548074184016591,0.6857188600704451,0.7404240766073872,-0.05470521653694205
3,0.7351145038167939,0.7562957760610013,0.7329509971014958,0.7938079191238416,"[[2972 1450]
 [ 979 3769]]",0.7183843564673826,0.2514500170590242,0.46693433940835843,0.35002156546882013,0.8858954041204438,0.4313929313929314,0.4545024727275124,0.7499599294758775,0.7035141589901057,0.04644577048577181
4,0.7006543075245365,0.6892335559832447,0.7028491036431537,0.641112047177759,"[[3381 1041]
 [1704 3044]]",0.512741438078234,0.3077434363575939,0.20499800172064014,0.6001922479895967,0.6715347849176846,0.5244399185336049,0.14709486638407965,0.6969647784450577,0.7082087072116983,-0.011243928766640598
5,0.7695747001090513,0.776141540417417,0.7695043679511608,0.7714827295703454,"[[3394 1028]
 [1085 3663]]",0.6487844408427876,0.22933333333333333,0.4194511075094543,0.3534815555000417,0.842785544711158,0.4890282131661442,0.35375733154501376,0.7724473257698541,0.7636666666666667,0.008780659103187372
6,0.7961832061068702,0.8046817849305047,0.7956419175471345,0.8108677337826453,"[[3451  971]
 [ 898 3850]]",0.6506451612903226,0.264983164983165,0.3856619963071576,0.40726217721755653,0.8626881436493267,0.6066597294484911,0.25602841420083555,0.7924193548387096,0.804040404040404,-0.011621049201694378
7,0.8007633587786259,0.8142726440988107,0.7991875557496274,0.8435130581297389,"[[3338 1084]
 [ 743 4005]]",0.6736088512853888,0.31382275132275134,0.3597860999626375,0.4658827607801038,0.8780359028511088,0.7072916666666667,0.17074423618444212,0.792385291246339,0.8177910052910053,-0.025405714044666294
8,0.7910577971646674,0.7958226768968456,0.7912281473843924,0.7864363942712721,"[[3520  902]
 [1014 3734]]",0.6269637704392433,0.24727148703956345,0.37969228339967986,0.39439517672022417,0.8481382978723404,0.5516194331983806,0.2965188646739598,0.7927220262904777,0.7875170532060027,0.005204973084474984
9,0.7402399127589967,0.764345073209339,0.737535564499628,0.8136057287278854,"[[2925 1497]
 [ 885 3863]]",0.6628849270664505,0.42333333333333334,0.23955159373311719,0.6386226568867156,0.8456608811748999,0.6939182452642074,0.15174263591069248,0.7567260940032415,0.7063333333333334,0.050392760669908165
10,0.7352235550708833,0.7526487367563162,0.733646331412555,0.7780117944397641,"[[3048 1374]
 [1054 3694]]",0.6519717858287912,0.34140518417462484,0.3105666016541664,0.5236502431476051,0.8190249072602014,0.6190965092402464,0.199928398019955,0.7340493747996153,0.7377216916780355,-0.0036723168784201787
11,0.8112322791712104,0.8198938716054521,0.8105470007700641,0.8298230834035384,"[[3499  923]
 [ 808 3940]]",0.6465798045602605,0.2947194719471947,0.3518603326130658,0.4558129868402458,0.8752665245202559,0.6586345381526104,0.21663198636764547,0.8120521172638436,0.8095709570957096,0.0024811601681340445
12,0.6243184296619411,0.7071823204419889,0.6150353196870819,0.8761583824768323,"[[1565 2857]
 [ 588 4160]]",0.8233317330772923,0.6408764121876069,0.1824553208896854,0.7783939163771343,0.8979645783769495,0.7906735751295336,0.10729100324741592,0.6585053608577373,0.5511811023622047,0.10732425849553251
13,0.777535441657579,0.7894736842105263,0.7765008628451524,0.8056023588879528,"[[3305 1117]
 [ 923 3825]]",0.6663435126837939,0.2744045622274405,0.3919389504563534,0.4118064586871069,0.8680243321872521,0.56153050672182,0.306493825465432,0.7833252544837616,0.7655149278765515,0.017810326607210047
14,0.5184296619411123,0.6825761932144911,0.5006784260515604,1.0,"[[   6 4416]
 [   0 4748]]",1.0,0.9979722879351132,0.002027712064886833,0.9979722879351132,1.0,1.0,0.0,0.611495733376268,0.32308212233862793,0.28841361103764
15,0.6477644492911668,0.7200554688854222,0.6393921675988595,0.8748946925021062,"[[1786 2636]
 [ 594 4154]]",0.7833870967741936,0.6508417508417509,0.13254534593244272,0.830804787979999,0.9026898734177216,0.7646443514644351,0.13804552195328645,0.7091935483870968,0.5195286195286195,0.1896649288584773
16,0.7229007633587786,0.7373100382508013,0.7218630368110431,0.7510530749789385,"[[3063 1359]
 [1182 3566]]",0.6332268370607029,0.3302405498281787,0.30298628723252424,0.5215201417569119,0.7927022739291381,0.587991718426501,0.20471055550263706,0.7204472843450479,0.7281786941580756,-0.007731409813027668
17,0.8148309705561614,0.8250206100577081,0.8137892428795748,0.8430918281381634,"[[3469  953]
 [ 745 4003]]",0.6439479183411028,0.3221430993557138,0.321804818985389,0.5002626612810522,0.8724312783560182,0.7332667332667333,0.13916454508928489,0.8046937791351872,0.8362156663275687,-0.03152188719238147
18,0.7877862595419848,0.7966987045549521,0.7872226997813263,0.8030749789385004,"[[3411 1011]
 [ 935 3813]]",0.6346683963029025,0.30303030303030304,0.33163809327259947,0.47746241154519137,0.8535407725321889,0.6186274509803922,0.23491332155179667,0.7927679584887304,0.7775557775557775,0.015212180932952846
19,0.7212649945474373,0.7469807958820036,0.7185599249673361,0.7946503791069924,"[[2841 1581]
 [ 975 3773]]",0.6829776993422109,0.3735103847463398,0.30946731459587107,0.5468851839614601,0.8359083644112946,0.6388329979879276,0.19707536642336698,0.7216428686025991,0.7204630575417093,0.0011798110608898238
